
[00:00:00.000 --> 00:00:08.000]  在這裡看到大家,再次為大家一起向神感恩。
[00:00:08.000 --> 00:00:22.000]  在這裡見到大家,我們一起真的是感恩。
[00:00:22.000 --> 00:00:29.000]  所以有今天的崇拜,實在是神給我們很大的恩典。
[00:00:29.000 --> 00:00:41.000]  能夠今天大家在這裡崇拜,真的是神給我們的極大的恩典。
[00:00:52.000 --> 00:01:10.000]  今天讓我也很開心的是,本來我應該是十一點十四分開始講到,但是現在十一點零四分我就開始了。
[00:01:13.000 --> 00:01:35.000]  所以我們多了十分鐘的時間。
[00:01:35.000 --> 00:01:54.000]  所以我們真的非常感謝弟兄姊妹的拜上,他們在提早就安排好所有的這些設備。
[00:01:54.000 --> 00:02:13.000]  大家知不知道最早來到這裡的那一批弟兄姊妹,是今早七點鐘已經進來了。
[00:02:13.000 --> 00:02:21.000]  大家知不知道今天最早的一批弟兄姊妹來這裡服侍的是七點鐘就來到這裡了。
[00:02:21.000 --> 00:02:39.000]  在大家在做所有的預備和試音的時候,其實時間是超出了四十五分鐘的。
[00:02:39.000 --> 00:02:55.000]  但是到了現在,我們竟然是早過我們本來應該完成的時間。
[00:02:55.000 --> 00:03:20.000]  但是我們現在還是早過了四十五分鐘的時間。
[00:03:20.000 --> 00:03:46.000]  現在這些服侍的人,因為下面比較黑,我們看不太清楚。但是等我現在說完以後,先請這些服侍員站起來,我們真的是要感謝你的付出。
[00:03:46.000 --> 00:03:55.000]  好,我們一起鼓掌多謝。
[00:03:55.000 --> 00:04:07.000]  也請大家鼓掌多一次,多謝我們的全能偉大的神。
[00:04:07.000 --> 00:04:16.000]  對,我們鼓掌多謝我們全能偉大的神。
[00:04:16.000 --> 00:04:27.000]  我們開始看這段經文的時候,我們再一個祈禱多謝我們的主。
[00:04:27.000 --> 00:04:36.000]  我們在看這個經文的時候,我們先祈禱來謝謝我們的主。
[00:04:36.000 --> 00:04:48.000]  多謝你召聚我們成為你的兒女。
[00:04:48.000 --> 00:04:54.000]  謝謝你召聚我們成為你的兒女。
[00:04:54.000 --> 00:05:00.000]  今天我們讀到聖經的說話。
[00:05:00.000 --> 00:05:06.000]  今天我們讀到聖經的說話。
[00:05:06.000 --> 00:05:13.000]  令到我們的生命更加豐富。
[00:05:13.000 --> 00:05:22.000]  令到我們的教會更加被你使用。
[00:05:22.000 --> 00:05:31.000]  求你的說話今天就激勵我們每一位。
[00:05:31.000 --> 00:05:39.000]  求你的說話今天就激勵我們每一位。
[00:05:39.000 --> 00:05:43.000]  同心祈禱奉靠救主耶穌基督的名。
[00:05:43.000 --> 00:05:52.000]  同心祈禱奉靠救主耶穌基督的名。
[00:05:52.000 --> 00:05:55.000]  我們一起大聲說:阿們!
[00:05:55.000 --> 00:05:58.000]  阿們!
[00:05:58.000 --> 00:06:01.000]  今天我們讀的馬太福音第十六章,
[00:06:01.000 --> 00:06:08.000]  這段經文是很多基督徒都非常喜歡的一段經文。
[00:06:08.000 --> 00:06:13.000]  今天我們讀的馬太福音第十六章,
[00:06:13.000 --> 00:06:22.000]  這段經文是很多基督徒都非常喜歡的一段經文。
[00:06:22.000 --> 00:06:30.000]  這讓我們很肯定地知道耶穌基督的大能和祂的德性。
[00:06:30.000 --> 00:06:41.000]  這讓我們很肯定地知道耶穌基督的大能和祂的德性。
[00:06:41.000 --> 00:06:47.000]  當彼得宣稱耶穌就是彌賽亞的時候,
[00:06:47.000 --> 00:06:59.000]  當彼得宣稱耶穌就是彌賽亞的時候,
[00:06:59.000 --> 00:07:02.000]  祂是代表了當時的使徒,
[00:07:02.000 --> 00:07:07.000]  也代表了我們今天的基督徒。
[00:07:07.000 --> 00:07:17.000]  祂都代表了當時的使徒和我們現在的基督徒。
[00:07:17.000 --> 00:07:20.000]  所以今天我們每一個人都知道,
[00:07:20.000 --> 00:07:26.000]  在耶穌基督裡面的教會是一定會勝利的。
