
[00:00:00.000 --> 00:00:03.080]  今天很高興再一次在這裡和大家見面
[00:00:03.080 --> 00:00:06.580]  特別這一次是有一個實體的崇拜
[00:00:06.580 --> 00:00:08.700]  也很高興在座的當中
[00:00:08.700 --> 00:00:12.860]  有些姐妹真的這一年半都沒有見過面的
[00:00:12.860 --> 00:00:14.820]  只是聽到她的聲音而已
[00:00:14.820 --> 00:00:15.800]  沒有見過面的
[00:00:15.800 --> 00:00:18.240]  今天在兩位當中很開心
[00:00:18.240 --> 00:00:21.040]  當然也有路過的姐妹
[00:00:21.040 --> 00:00:22.220]  新來的朋友
[00:00:22.220 --> 00:00:23.340]  有些舊的朋友
[00:00:23.340 --> 00:00:24.920]  有老有嫩
[00:00:24.920 --> 00:00:26.720]  我們教育會真的是很開心的
[00:00:26.720 --> 00:00:29.120]  每次看到大家回到兩位當中
[00:00:29.120 --> 00:00:30.480]  就好像一家人一樣
[00:00:30.480 --> 00:00:32.060]  因為教會就是我們的家
[00:00:32.060 --> 00:00:33.100]  這是上帝的家
[00:00:33.100 --> 00:00:35.100]  是地上建立的家給我們
[00:00:35.100 --> 00:00:40.200]  沒有其他東西可以代替這種興奮的心情
[00:00:40.200 --> 00:00:43.820]  大家都知道我這幾堂都是和舊約屬
[00:00:43.820 --> 00:00:48.200]  去看我們今天屬靈生命的成長和更新
[00:00:48.200 --> 00:00:50.280]  先後大家如果一直都有聽
[00:00:50.280 --> 00:00:51.980]  這幾堂都有聽我說到的
[00:00:51.980 --> 00:00:54.040]  就是先後我在《哈該書》說到
[00:00:54.040 --> 00:00:57.520]  怎樣重建我們心中的聖殿
[00:00:57.520 --> 00:00:58.720]  就好像昔日
[00:00:58.720 --> 00:01:00.720]  猶太人回到耶路撒冷
[00:01:00.720 --> 00:01:02.980]  怎樣去建立那個聖殿
[00:01:02.980 --> 00:01:07.420]  接著我又說到我們怎樣去打碎心中的偶像
[00:01:07.420 --> 00:01:09.480]  很多時候我們被偶像
[00:01:09.480 --> 00:01:12.340]  很多屬世的東西去纏繞了我們
[00:01:12.340 --> 00:01:16.060]  使得我們不可以完全地去親近神
[00:01:16.060 --> 00:01:18.580]  就好像摩西在《生命記》那裡
[00:01:18.580 --> 00:01:19.800]  要提醒意識的人
[00:01:19.800 --> 00:01:21.540]  你要打碎的偶像
[00:01:21.540 --> 00:01:22.800]  不可以留下
[00:01:22.800 --> 00:01:24.040]  一點都不可以留下
[00:01:24.040 --> 00:01:26.780]  因為如果不是我們人的軟弱
[00:01:26.780 --> 00:01:29.760]  很快就會跟從這個世界
[00:01:29.760 --> 00:01:33.600]  被魔鬼去引誘我們離開真道
[00:01:33.600 --> 00:01:35.200]  上堂在歷代之下
[00:01:35.200 --> 00:01:37.860]  說到我們怎樣去除去心中的驕傲
[00:01:37.860 --> 00:01:41.660]  看到皇帝本來是個國家是很興盛的
[00:01:41.660 --> 00:01:42.680]  但後來怎樣?
[00:01:42.680 --> 00:01:44.040]  後來因為他驕傲
[00:01:44.040 --> 00:01:45.880]  他以為他自己很厲害
[00:01:45.880 --> 00:01:47.680]  他忘記了原來他這麼厲害
