
[00:00:00.000 --> 00:00:03.920]  在《創世紀》二十八章十到二十二字那裏
[00:00:03.920 --> 00:00:07.200]  記載了雅各在伯特利發夢
[00:00:07.200 --> 00:00:11.320]  夢見有一道樓梯由地下通到天上
[00:00:11.320 --> 00:00:13.800]  神在樓梯上面對雅各說
[00:00:13.800 --> 00:00:15.800]  你無論往哪裏去
[00:00:15.800 --> 00:00:17.480]  我必保佑你
[00:00:17.480 --> 00:00:19.680]  令你歸回這地
[00:00:19.680 --> 00:00:21.680]  總不離棄你
[00:00:21.680 --> 00:00:24.680]  直到你到達了最高之地
[00:00:24.680 --> 00:00:32.680]  令你歸回這地 總不離棄你 直到我成全了向你所應許的
[00:00:32.680 --> 00:00:36.680]  雅各一向以爲自己能夠掌握自己的將來
[00:00:36.680 --> 00:00:40.680]  爲了長子的名分又不惜欺騙他哥哥
[00:00:40.680 --> 00:00:45.680]  結果是要逃離家鄉 避開哥哥的追殺
[00:00:45.680 --> 00:00:48.680]  在伯特利 上帝透過夢境
[00:00:48.680 --> 00:00:51.680]  讓雅各能夠肯定無論他去到哪裏
[00:00:51.680 --> 00:00:53.680]  上帝都會與他同在
[00:00:53.680 --> 00:00:57.680]  同時上帝亦都會實現所賜給他的應許
[00:00:57.680 --> 00:01:01.680]  鼎姐妹 今天我們可以心裏面很不平安
[00:01:01.680 --> 00:01:04.680]  感到孤單 無助
[00:01:04.680 --> 00:01:08.680]  因爲有很多事都不是我們可以預先計劃好的
[00:01:08.680 --> 00:01:13.680]  願以神昔日對雅各所應許的同在和保佑
[00:01:13.680 --> 00:01:16.680]  你都可以聽到和確信
[00:01:16.680 --> 00:01:21.680]  上帝在抗疫的旅程裏面一直和我們同在同行
[00:01:21.680 --> 00:01:24.680]  世紀重戰第八十八首《每一天》
[00:01:24.680 --> 00:01:26.680]  第一節的歌詞這樣說
[00:01:26.680 --> 00:01:29.680]  「每一天我所度過的每一刻
[00:01:29.680 --> 00:01:32.680]  我得着能力勝過思念
[00:01:32.680 --> 00:01:35.680]  我已靠天父周誠的供應
[00:01:35.680 --> 00:01:38.680]  我不用再恐慌與掛念」
[00:01:38.680 --> 00:01:42.680]  希望你在今天唱幾次這首詩歌
[00:01:42.680 --> 00:01:44.680]  使它成爲你的鼓勵
[00:01:44.680 --> 00:01:47.680]  不再恐慌和掛念
[00:01:51.680 --> 00:01:53.680]  我只想知道你到底是誰啊?
