
[00:00:00.000 --> 00:00:04.220]  我們在進入這個新的訊息之前
[00:00:04.220 --> 00:00:06.560]  我們都一起去宣告神的名
[00:00:06.560 --> 00:00:10.140]  預備了,我們在家裡可能小聲一點
[00:00:10.140 --> 00:00:12.740]  耶和華已立
[00:00:12.740 --> 00:00:15.000]  耶和華必有預備
[00:00:15.000 --> 00:00:16.800]  耶和華拉法
[00:00:16.800 --> 00:00:19.260]  耶和華是依治你的
[00:00:19.260 --> 00:00:21.400]  耶和華彌西
[00:00:21.400 --> 00:00:24.040]  耶華是我的升旗
[00:00:24.040 --> 00:00:26.200]  耶和華沙龍
[00:00:26.200 --> 00:00:28.620]  耶和華賜平安
[00:00:29.120 --> 00:00:31.220]  耶和華羅爾
[00:00:31.220 --> 00:00:33.700]  耶和華是我的牧者
[00:00:33.700 --> 00:00:35.960]  耶和華齊根廬
[00:00:35.960 --> 00:00:38.720]  耶和華是我們的兒
[00:00:38.720 --> 00:00:40.800]  耶和華沙瑪
[00:00:40.800 --> 00:00:43.080]  耶和華的所在
[00:00:43.080 --> 00:00:45.820]  請姐妹請我們一齊同心討覺
[00:00:45.820 --> 00:00:48.720]  再讓我們能夠宣告你的名
[00:00:48.720 --> 00:00:51.280]  讓我們能夠從你的名字當中
[00:00:51.280 --> 00:00:54.040]  我們可以來得著信心
[00:00:54.040 --> 00:00:55.480]  得著盼望
[00:00:55.480 --> 00:00:58.360]  讓我們可以去堅守
[00:00:58.360 --> 00:01:00.260]  你給我們有的指望
[00:01:00.260 --> 00:01:02.520]  讓我們能夠在主你的愛裡
[00:01:02.520 --> 00:01:04.360]  我們能夠彼此相顧
[00:01:04.360 --> 00:01:06.980]  最後讓聖靈在我們中間帶著我們
[00:01:06.980 --> 00:01:10.720]  讓我們今天我們能夠得著的是神祢的說話
[00:01:10.720 --> 00:01:13.780]  主啊,求祢在我們當中帶著我們
[00:01:13.780 --> 00:01:16.560]  我們呼求祢,我們祈禱靠耶穌的名
[00:01:16.560 --> 00:01:17.700]  阿門
[00:01:17.700 --> 00:01:22.000]  大家接著看我們今天的訊息講題
[00:01:22.000 --> 00:01:24.140]  我們看一看
[00:01:24.140 --> 00:01:26.180]  好像我們的powerpoint說的
[00:01:26.180 --> 00:01:28.000]  就是這個堅守指望
[00:01:28.360 --> 00:01:29.800]  彼此相顧
[00:01:29.800 --> 00:01:32.100]  今天我們的經文有兩段
[00:01:32.100 --> 00:01:34.100]  都是在這個希伯來書
[00:01:34.100 --> 00:01:36.100]  大家看這個powerpoint
[00:01:36.100 --> 00:01:38.400]  希伯來書十三章也是說到
[00:01:38.400 --> 00:01:42.120]  耶穌基督是那位昨日,今日
[00:01:42.120 --> 00:01:45.560]  一直到永遠都是一樣的上帝
[00:01:45.560 --> 00:01:48.580]  是那位可信可靠的上帝
[00:01:48.580 --> 00:01:54.220]  讓我們一齊用心去讀出
[00:01:54.220 --> 00:01:56.340]  頭一段的經文
[00:01:56.340 --> 00:02:00.060]  在這個希伯來書二章十四節
[00:02:00.060 --> 00:02:02.060]  到十八節
[00:02:02.060 --> 00:02:04.060]  我們可以慢慢讀
[00:02:26.340 --> 00:02:31.360]  救拔天使乃是救拔阿伯拉罕的後裔
[00:02:31.360 --> 00:02:33.360]  十七節
[00:02:33.360 --> 00:02:37.740]  所以他凡事該與他的弟兄相同
[00:02:37.740 --> 00:02:43.540]  為要在神的事上成為慈悲忠信的大祭司
[00:02:43.540 --> 00:02:47.700]  為百姓的罪獻上挽回祭
[00:02:47.700 --> 00:02:51.700]  他自己既然被試探而受苦
[00:02:51.700 --> 00:02:55.700]  就能答救被試探的人
[00:02:55.700 --> 00:02:59.700]  在我們剛剛讀完的五節經文裏
[00:02:59.700 --> 00:03:02.700]  正好提了五點
[00:03:02.700 --> 00:03:06.700]  讓我們的信心可以在當中得堅固
[00:03:06.700 --> 00:03:08.700]  我們可以得著從神而來的信心
[00:03:08.700 --> 00:03:10.700]  我們繼續看下去
[00:03:10.700 --> 00:03:14.700]  回頭看第十四節說什麼呢?
[00:03:14.700 --> 00:03:18.700]  十四節說主耶穌是要敗壞那個掌死權的
[00:03:18.700 --> 00:03:20.700]  兒女既同有血肉之體
[00:03:20.700 --> 00:03:23.700]  這裡說的兒女是說誰呢?
[00:03:23.700 --> 00:03:26.700]  就是我們這些信耶穌的人
[00:03:26.700 --> 00:03:29.700]  我們能夠成為天父爸爸的兒女
[00:03:29.700 --> 00:03:33.700]  他也照樣親自成了血肉之體
[00:03:33.700 --> 00:03:35.700]  這裡說的就是主耶穌
[00:03:35.700 --> 00:03:39.700]  他怎樣道成肉身來到這個世界裏
[00:03:39.700 --> 00:03:42.700]  他又被稱為是那位以馬來尼的上帝
[00:03:42.700 --> 00:03:44.700]  什麼意思呢?
[00:03:44.700 --> 00:03:46.700]  他和我們在一起
[00:03:46.700 --> 00:03:48.700]  他和我們在一起
[00:03:48.700 --> 00:03:52.700]  我們的主是我們可以去見到的
[00:03:52.700 --> 00:03:57.700]  是我們可以去觸摸到的
[00:03:57.700 --> 00:03:59.700]  那位上帝
[00:03:59.700 --> 00:04:04.700]  他為我們釘死在十字架之上
[00:04:04.700 --> 00:04:05.700]  直接死
[00:04:05.700 --> 00:04:07.700]  敗壞那個掌死權
[00:04:07.700 --> 00:04:09.700]  他雖然死在十字架之上
[00:04:09.700 --> 00:04:11.700]  但是第三天
[00:04:11.700 --> 00:04:14.700]  他能勝過死亡而復活
[00:04:14.700 --> 00:04:18.700]  他敗壞了那惡者的權勢
[00:04:18.700 --> 00:04:19.700]  就是魔鬼
[00:04:19.700 --> 00:04:21.700]  他敗壞魔鬼的權勢
[00:04:21.700 --> 00:04:24.700]  他來就是要敗壞魔鬼的權勢
[00:04:24.700 --> 00:04:27.700]  主耶穌要我們在這裏得到信心
[00:04:27.700 --> 00:04:31.700]  因為他是能夠勝過死亡而復活那位上帝
[00:04:31.700 --> 00:04:34.700]  他敗壞了那個掌死權
[00:04:34.700 --> 00:04:37.700]  我們接著再看第十五節
[00:04:37.700 --> 00:04:41.700]  主耶穌是要釋放那些一生怕死的
[00:04:41.700 --> 00:04:44.700]  主耶穌是要釋放那些一生怕死的
[00:04:44.700 --> 00:04:46.700]  在十五節經文裏面說到
[00:04:46.700 --> 00:04:52.700]  他是要釋放那些一生因怕死而為奴僕的人
[00:04:52.700 --> 00:04:57.700]  今天我們還是不是奴僕?
[00:04:57.700 --> 00:04:59.700]  弟兄姊妹
[00:04:59.700 --> 00:05:02.700]  如果我們還要做奴僕的話
[00:05:02.700 --> 00:05:04.700]  我們都要做義的奴僕
[00:05:04.700 --> 00:05:06.700]  不要做罪的奴僕
[00:05:06.700 --> 00:05:10.700]  因為在神的裏面我們不需要怕
[00:05:10.700 --> 00:05:13.700]  在神的裏面我們不需要怕
[00:05:13.700 --> 00:05:16.700]  剛剛在上一個主日的訊息裏面
[00:05:16.700 --> 00:05:18.700]  若君舉提到
[00:05:18.700 --> 00:05:25.700]  原來我們人裏面最基本的是一種恐懼
[00:05:25.700 --> 00:05:31.700]  是一種恐懼
[00:05:31.700 --> 00:05:34.700]  今天可能你怕沒有口罩
[00:05:34.700 --> 00:05:37.700]  但其實第二天你又會有另一種恐懼
[00:05:37.700 --> 00:05:40.700]  原來我們心裏面有一種恐懼
[00:05:40.700 --> 00:05:42.700]  有一種懼怕
[00:05:42.700 --> 00:05:48.700]  主耶穌就是要釋放那些一生怕死的人
[00:05:48.700 --> 00:05:50.700]  今天我們信了耶穌
[00:05:50.700 --> 00:05:52.700]  我們有耶穌在我們裏面
[00:05:52.700 --> 00:05:54.700]  然後我們靠著耶穌
[00:05:54.700 --> 00:05:57.700]  我們可以勝過這種恐懼
[00:05:57.700 --> 00:05:59.700]  你問真實裏面我們恐不恐懼呢?
[00:05:59.700 --> 00:06:00.700]  其實我們會恐懼的
[00:06:00.700 --> 00:06:03.700]  信了耶穌都會恐懼
[00:06:03.700 --> 00:06:06.700]  不過信了耶穌我們可以來到耶穌的面前
