
[00:00:00.000 --> 00:00:02.800]  大家在剛才聽到一位金融才俊
[00:00:02.800 --> 00:00:05.800]  葛偉良先生Stanley的分享時
[00:00:05.800 --> 00:00:08.960]  我不知道大家有什麼感受
[00:00:08.960 --> 00:00:10.520]  在他的經歷中
[00:00:10.520 --> 00:00:14.680]  我們實在看到人生是由高低起跌的
[00:00:14.680 --> 00:00:16.160]  有時非常順利
[00:00:16.160 --> 00:00:18.200]  有時又會跌落谷底
[00:00:18.200 --> 00:00:20.560]  有些事似乎自己可以掌控
[00:00:20.560 --> 00:00:23.520]  靠著自己的努力可以爭取回來
[00:00:23.520 --> 00:00:28.200]  不過有時亦有一些是我們掌控不到的
[00:00:28.200 --> 00:00:32.040]  這一切構成了一個變幻莫測的人生
[00:00:32.040 --> 00:00:36.760]  亦令我們覺得人生有一種患得患失的感覺
[00:00:36.760 --> 00:00:39.680]  在回應他這個經歷時
[00:00:39.680 --> 00:00:43.840]  我很想引用《聖經》傳道書的一段經文
[00:00:43.840 --> 00:00:48.160]  《傳道書》第三章第一至十一節
[00:00:48.160 --> 00:00:51.600]  論到人生裏有不同的經歷
[00:00:51.600 --> 00:00:53.600]  請聽我讀出
[00:00:53.600 --> 00:00:59.200]  「凡事都有定時,天下萬物都有定時
[00:00:59.200 --> 00:01:01.600]  生有時,死有時
[00:01:01.600 --> 00:01:05.600]  栽種有時,拔出所栽種的也有時
[00:01:05.600 --> 00:01:08.600]  殺戮有時,醫治有時
[00:01:08.600 --> 00:01:11.600]  拆毀有時,建造有時
[00:01:11.600 --> 00:01:14.200]  哭有時,笑有時
[00:01:14.200 --> 00:01:17.200]  哀動有時,跳舞有時
[00:01:17.200 --> 00:01:21.600]  拋砸石頭有時,堆砌石頭有時
[00:01:21.600 --> 00:01:25.600]  懷抱懷抱有時,不懷抱有時
[00:01:25.600 --> 00:01:28.600]  尋找有時,失落有時
[00:01:28.600 --> 00:01:31.600]  保守有時,捨棄有時
[00:01:31.600 --> 00:01:34.600]  撕裂有時,逢補有時
[00:01:34.600 --> 00:01:38.600]  靜默有時,言語有時
[00:01:38.600 --> 00:01:41.600]  喜愛有時,恨惡有時
[00:01:41.600 --> 00:01:44.600]  爭戰有時,和好有時」
[00:01:44.600 --> 00:01:50.600]  這樣看來,做事的人在他勞碌上有甚麼益處呢?
[00:01:50.600 --> 00:01:53.600]  「我見神叫世人勞苦
[00:01:53.600 --> 00:01:56.600]  使他們在其中受精煉
[00:01:56.600 --> 00:02:00.600]  神造萬物,各按其時成為美好
[00:02:00.600 --> 00:02:04.600]  又將永生安置在世人心裡
