
[00:00:00.000 --> 00:00:03.800]  看看我們今天講道第一個的powerpoint
[00:00:03.800 --> 00:00:06.100]  這個大家很熟悉的powerpoint
[00:00:06.100 --> 00:00:09.500]  以忽所殊 基督的奧秘
[00:00:09.500 --> 00:00:11.500]  如果大家有印象
[00:00:11.500 --> 00:00:14.700]  這個其實是上個主日
[00:00:14.700 --> 00:00:20.700]  杜牧師的講道所用的投影片
[00:00:20.700 --> 00:00:22.700]  至於杜牧師上次講道的內容
[00:00:22.700 --> 00:00:24.700]  大家還記不記得
[00:00:24.700 --> 00:00:28.700]  要不要杜牧師上來再講一次
[00:00:28.700 --> 00:00:32.700]  主要有三點 杜牧師講了
[00:00:32.700 --> 00:00:36.700]  宣教是我們所看重的
[00:00:36.700 --> 00:00:38.700]  也是需要實踐的
[00:00:38.700 --> 00:00:44.700]  而神的恩典就是讓我們在祂的計劃當中有份
[00:00:44.700 --> 00:00:51.700]  第三點就是從一個新的眼光去看我們所遭遇的事情
[00:00:51.700 --> 00:00:54.700]  這個就是杜牧師上個主日裡
[00:00:54.700 --> 00:00:57.700]  他和大家一起來分享的訊息
[00:00:57.700 --> 00:01:01.700]  用的經文是以忽所殊的三章一到十三節
[00:01:01.700 --> 00:01:05.700]  這個也可以說上個主日是上集
[00:01:05.700 --> 00:01:07.700]  今天我們看完下集
[00:01:07.700 --> 00:01:10.700]  至於有沒有第三集呢
[00:01:10.700 --> 00:01:13.700]  我們看看聖人的感動如何帶領
[00:01:13.700 --> 00:01:18.700]  因為以忽所殊還有幾章
[00:01:18.700 --> 00:01:22.700]  我們先看看今天的主題
[00:01:22.700 --> 00:01:28.700]  主題的重點是我們要起來為主作見證
[00:01:28.700 --> 00:01:32.700]  這個起來的意思不是我們坐下來起來的那個起來
[00:01:32.700 --> 00:01:37.700]  這個起來的意思是我們要剛強起來為主作見證
[00:01:37.700 --> 00:01:40.700]  要剛強起來為主作見證
[00:01:40.700 --> 00:01:47.700]  我們今天會繼續看的經文就是在三章十四節到十九節
[00:01:47.700 --> 00:01:49.700]  我們一起禱告
[00:01:49.700 --> 00:01:53.700]  主要我們今天來到你面前
[00:01:53.700 --> 00:01:55.700]  我們感謝你讚美你
[00:01:55.700 --> 00:01:59.700]  因為能夠親近你這個實在是好得無比
[00:01:59.700 --> 00:02:02.700]  我們知道你就是愛
[00:02:02.700 --> 00:02:04.700]  你閱讀我們在你面前的敬拜
[00:02:04.700 --> 00:02:07.700]  你又願意我們親近你
[00:02:07.700 --> 00:02:10.700]  因為你的愛我們也懂得愛
[00:02:10.700 --> 00:02:13.700]  我們也願意學習愛
[00:02:13.700 --> 00:02:19.700]  當我們從口袋裏拿出少少金錢來奉獻的時候
[00:02:19.700 --> 00:02:23.700]  這個已經是代表了我們對你的愛
[00:02:23.700 --> 00:02:29.700]  就好像你來讚賞聖經裏面一個窮的寡婦一樣
[00:02:29.700 --> 00:02:33.700]  就是兩個小時前在你面前都蒙月了
[00:02:33.700 --> 00:02:35.700]  主我們感謝你讚美你
[00:02:35.700 --> 00:02:39.700]  聖靈啊我們今天在你面前我們又要來呼求你
[00:02:39.700 --> 00:02:40.700]  你就是真理的聖靈
[00:02:40.700 --> 00:02:42.700]  你是我們的保衛師
[00:02:42.700 --> 00:02:44.700]  你很希望我們來成長
[00:02:44.700 --> 00:02:46.700]  你很希望我們來結果子
[00:02:46.700 --> 00:02:52.700]  聖靈啊求你今天就將今天需要的話來給我們
[00:02:52.700 --> 00:02:54.700]  給我們每一個弟兄姊妹
