
[00:00:00.000 --> 00:00:03.400]  我們這個講道的系列
[00:00:03.400 --> 00:00:07.000]  其實與人際關係的衝突與重建有關
[00:00:07.000 --> 00:00:09.300]  今天是最後一課
[00:00:09.300 --> 00:00:12.200]  所以今天我們會完結這個系列
[00:00:12.200 --> 00:00:15.300]  下星期開始進入聖誕節和聖誕節
[00:00:15.300 --> 00:00:17.600]  我們會有一個新的講道系列
[00:00:17.600 --> 00:00:21.200]  去預備大家的心去慶祝
[00:00:21.200 --> 00:00:23.600]  神的愛在這個聖誕節
[00:00:23.600 --> 00:00:25.400]  今天我們會結束的時候
[00:00:25.400 --> 00:00:29.600]  我們想講講神與人關係的衝突和復合
[00:00:29.600 --> 00:00:35.000]  大家有沒有聽過一個term叫做irreconcilable differences
[00:00:35.000 --> 00:00:40.000]  現在大部份的人離婚都是用這個理由
[00:00:40.000 --> 00:00:42.600]  叫做irreconcilable differences
[00:00:42.600 --> 00:00:45.400]  difference當然就是我跟你不同
[00:00:45.400 --> 00:00:48.400]  irreconcilable意思就是這種不同是不可以復合的
[00:00:48.400 --> 00:00:49.800]  是不可以磨合的
[00:00:49.800 --> 00:00:53.000]  太不同了 我們三觀不同 價值觀不同
[00:00:53.000 --> 00:00:55.400]  金錢觀不同 我們生活態度不同
[00:00:55.400 --> 00:00:58.000]  生活方式不同 我們照顧子女的方法都不同
[00:00:58.000 --> 00:01:00.400]  所以沒有辦法和你磨合
[00:01:00.400 --> 00:01:01.800]  所以唯有離婚
[00:01:01.800 --> 00:01:06.800]  所以離婚的人通常用的理由就是irreconcilable differences
[00:01:06.800 --> 00:01:09.200]  到了我這個年紀
[00:01:09.200 --> 00:01:12.600]  我身邊的朋友都陸續離婚了
[00:01:12.600 --> 00:01:14.200]  我記得我結婚的時候Shirley說
[00:01:14.200 --> 00:01:15.800]  我們結婚都太遲了
[00:01:15.800 --> 00:01:17.800]  我的中學同學都已經離婚三次
[00:01:17.800 --> 00:01:19.600]  我第一次都沒有結婚
[00:01:19.600 --> 00:01:22.600]  我很多同學都開始離婚了
[00:01:22.600 --> 00:01:26.400]  幾年前我有個同學離婚的時候
[00:01:26.400 --> 00:01:28.200]  他在中國大陸
