
[00:00:00.000 --> 00:00:03.280]  「弟兄姊妹主內平安」
[00:00:03.280 --> 00:00:07.220]  有沒有覺得今天樣子不同了?
[00:00:07.220 --> 00:00:08.200]  是嗎?
[00:00:08.200 --> 00:00:11.400]  變帥了是因為我媽媽生了我
[00:00:11.400 --> 00:00:13.380]  我改變不了的事實
[00:00:13.380 --> 00:00:16.520]  不是
[00:00:16.520 --> 00:00:18.760]  平時是沒有打領帶的
[00:00:18.760 --> 00:00:20.420]  我前幾天老婆說
[00:00:20.420 --> 00:00:22.760]  人家是盧傳道來港島打領帶的
[00:00:22.760 --> 00:00:24.500]  為甚麼你不打?
[00:00:24.500 --> 00:00:28.760]  我說我是貼地的傳道
[00:00:28.760 --> 00:00:30.320]  衰到貼地的那種
[00:00:30.320 --> 00:00:32.860]  跟會友打成一片
[00:00:32.860 --> 00:00:35.400]  滾在地上的那種傳道
[00:00:35.400 --> 00:00:36.840]  所以我很少打領帶
[00:00:36.840 --> 00:00:38.040]  不過今天是母親節
[00:00:38.040 --> 00:00:39.840]  我覺得要尊敬我媽媽
[00:00:39.840 --> 00:00:41.720]  也要尊敬每一位母親
[00:00:41.720 --> 00:00:43.400]  雖然是香港的母親節
[00:00:43.400 --> 00:00:45.680]  但我們很多人從香港過來沒多久
[00:00:45.680 --> 00:00:47.800]  還有很多母親還在香港
[00:00:47.800 --> 00:00:51.240]  所以我們今天都紀念我們所有的母親
[00:00:51.240 --> 00:00:52.600]  我們給母親鼓掌好不好?
[00:00:52.600 --> 00:00:55.240]  (掌聲)
[00:00:55.240 --> 00:01:00.000]  大家不知道大家有沒有聽過程文輝這個名字
[00:01:00.000 --> 00:01:01.800]  或者不太熟悉
[00:01:01.800 --> 00:01:05.800]  有一齣舞台劇或者電影叫做《伴我同行》
[00:01:05.800 --> 00:01:08.040]  已經二十多年前了
[00:01:08.040 --> 00:01:11.800]  是很修得的舞台劇和電影
[00:01:11.800 --> 00:01:12.520]  很賣座
[00:01:12.520 --> 00:01:12.960]  為甚麼?
[00:01:12.960 --> 00:01:15.000]  因為故事是很感人的
[00:01:15.000 --> 00:01:17.160]  程文輝是一個真人真事的
[00:01:17.160 --> 00:01:18.880]  他是香港社會福利署
[00:01:18.880 --> 00:01:22.000]  第一位失明的社會工作者
[00:01:22.000 --> 00:01:22.960]  很出名
[00:01:22.960 --> 00:01:24.680]  他是熱心幫助人
[00:01:24.680 --> 00:01:29.600]  被譽為東方凱倫凱勒
[00:01:29.600 --> 00:01:33.240]  因為他做了很多很多好的事
[00:01:33.240 --> 00:01:35.400]  不是很多人知道他是基督徒
[00:01:35.400 --> 00:01:37.040]  但他是基督徒
[00:01:37.040 --> 00:01:41.440]  特別是在約翰福音九章一至三節
[00:01:41.440 --> 00:01:43.280]  大家很熟悉的故事
[00:01:43.280 --> 00:01:46.040]  可以說是感動了他
[00:01:46.040 --> 00:01:48.080]  這個故事就是說
[00:01:48.080 --> 00:01:51.000]  有一次耶穌和那些門徒一起
[00:01:51.000 --> 00:01:54.360]  見到一個生出來失明的人
[00:01:54.360 --> 00:01:55.280]  門徒就問
[00:01:55.280 --> 00:01:59.040]  拉比這個人生出來失明是犯了罪嗎?
[00:01:59.040 --> 00:02:01.760]  還是他父母犯了罪?
[00:02:01.760 --> 00:02:05.120]  耶穌說不是犯罪也不是關他父母的事
[00:02:05.120 --> 00:02:09.080]  而是在他身上顯出神的作為
[00:02:09.080 --> 00:02:11.440]  這個金句就提醒了他
[00:02:11.440 --> 00:02:13.080]  雖然他是失明
[00:02:13.080 --> 00:02:17.240]  但是他都可以顯出神的作為出來
[00:02:17.240 --> 00:02:18.880]  其實他六個月大已經失明
[00:02:18.880 --> 00:02:21.240]  其實他那時在國內廣州
[00:02:21.240 --> 00:02:25.280]  他的眼睛是普通的傳染病
[00:02:25.280 --> 00:02:26.680]  即是有些眼疾
[00:02:26.680 --> 00:02:29.000]  父母帶他去看醫生
[00:02:29.000 --> 00:02:31.080]  那些醫生就不知道是什麼醫生
[00:02:31.080 --> 00:02:32.200]  結果就給了他一些藥
[00:02:32.200 --> 00:02:33.160]  他放在眼睛上
[00:02:33.160 --> 00:02:35.200]  結果令到他失明
[00:02:35.200 --> 00:02:35.960]  六歲
[00:02:35.960 --> 00:02:38.960]  那時是六個月大
[00:02:38.960 --> 00:02:42.920]  後來父母沒有怎麼理他
[00:02:42.920 --> 00:02:47.760]  結果他就帶了一個工人叫和姐
