
[00:00:00.000 --> 00:00:02.540]  和李家廷說一聲 你要遵行神的旨意
[00:00:02.540 --> 00:00:08.320]  如果你是習慣早上靈修 未睡醒
[00:00:08.320 --> 00:00:11.860]  又晚上靈修 靈修到凌晨就會睡著覺
[00:00:11.860 --> 00:00:15.040]  讀這段經文 你是覺得他是不是印錯了
[00:00:15.040 --> 00:00:17.920]  還是說你剛剛看重覆了
[00:00:17.920 --> 00:00:21.560]  為什麼兩次的經文是差不多的
[00:00:21.560 --> 00:00:25.880]  究竟約翰是不是已經年紀老邁 說話沉醉
[00:00:25.880 --> 00:00:29.480]  第二個問題 為什麼要提這三類的人
[00:00:29.480 --> 00:00:31.040]  這三類姐妹
[00:00:31.040 --> 00:00:34.740]  第三個問題 就是這三類人的特性
[00:00:34.740 --> 00:00:37.480]  究竟為什麼你要提這些特性
[00:00:37.480 --> 00:00:40.560]  因為可以有很多東西提 為什麼要提這些
[00:00:40.560 --> 00:00:43.800]  第四個問題 就是究竟這些特性
[00:00:43.800 --> 00:00:47.680]  是不是真的這些人所擁有的
[00:00:47.680 --> 00:00:51.360]  連續四個問題 你看這段經文的時候會自然產生
[00:00:51.360 --> 00:00:53.560]  我的個案體樣一書提到
[00:00:53.560 --> 00:00:55.960]  我必須要與神相交
[00:00:55.960 --> 00:00:59.160]  以至我可以和弟兄姊妹相交
[00:00:59.160 --> 00:01:01.000]  相交的希臘文說
[00:01:01.000 --> 00:01:03.320]  Colonia 就是我與神的生命
[00:01:03.320 --> 00:01:05.160]  有生命影響生命
[00:01:05.160 --> 00:01:07.400]  有一種生命的交流
[00:01:07.400 --> 00:01:09.640]  我們先與上帝的生命有交流
[00:01:09.640 --> 00:01:11.080]  我們受上帝的影響
[00:01:11.080 --> 00:01:14.280]  以至我們的生命去影響身邊的人
[00:01:14.280 --> 00:01:19.280]  約翰一書第二章就集中講弟兄姊妹之間相交的那種影響
[00:01:19.280 --> 00:01:23.160]  也是開始了一個新的段落的基礎
[00:01:23.160 --> 00:01:26.840]  請你記住 二章十二到十七節
[00:01:26.840 --> 00:01:30.360]  是一個新的大段落的基礎
[00:01:30.360 --> 00:01:33.840]  所以約翰這裏差不多是講另一個隱言
[00:01:33.840 --> 00:01:36.720]  他要提的問題是眾多的
[00:01:36.720 --> 00:01:39.560]  但是我們只能夠逐一去看
[00:01:39.560 --> 00:01:42.360]  我們先了解了第一個問題
[00:01:42.360 --> 00:01:44.560]  這三類是什麼人來的呢
[00:01:44.560 --> 00:01:46.920]  究竟是用年齡分呢
[00:01:46.920 --> 00:01:49.200]  是用他真正的年齡分呢
[00:01:49.200 --> 00:01:51.320]  用他信主的年日分呢
[00:01:51.320 --> 00:01:53.840]  有些人的樣子 你看一看你旁邊的人
[00:01:53.840 --> 00:01:57.160]  他的樣子很年輕 但是他的心已經很老
[00:01:57.160 --> 00:02:01.240]  又或者他的樣子很老 但是他的心很年輕
[00:02:01.240 --> 00:02:04.440]  究竟用什麼去標準去講這件事呢
[00:02:04.440 --> 00:02:08.200]  我們看一下這三類的人在解經上有三個可能性
[00:02:08.200 --> 00:02:11.560]  第一就是三種年齡的分佈
[00:02:11.560 --> 00:02:13.960]  在一個群體裏面 家會當中
[00:02:13.960 --> 00:02:17.920]  有父老 有孩子 有少年人
[00:02:17.920 --> 00:02:20.320]  你看一下四周圍的弟兄姊妹就知道了
[00:02:20.320 --> 00:02:25.760]  你看一下旁邊那個究竟是像父老 像少年人 還是像孩子
[00:02:25.760 --> 00:02:29.160]  你說你的樣子像孩子 但是你的心不像父老
[00:02:29.160 --> 00:02:30.360]  可以是這樣的
[00:02:30.360 --> 00:02:34.520]  我們看一下第二個可能性是指所有的信徒
[00:02:34.520 --> 00:02:38.880]  無論講孩子 父老 少年 都是講所有的信徒
[00:02:38.880 --> 00:02:41.600]  任何人身上都有父老的特質
