
[00:00:00.000 --> 00:00:02.440]  請問大家禮拜一是什麼節日?
[00:00:02.440 --> 00:00:07.000]  Memorial Day(紀念日)
[00:00:07.000 --> 00:00:10.760]  今天那篇道其實都很應時
[00:00:10.760 --> 00:00:13.900]  很應節 是講戰爭的
[00:00:13.900 --> 00:00:16.620]  我們剛剛才講完十六
[00:00:16.620 --> 00:00:20.120]  十七章 十八章
[00:00:20.120 --> 00:00:23.180]  今天要講十九至二十一章
[00:00:23.180 --> 00:00:26.400]  是講到殺略 是講到戰爭
[00:00:27.380 --> 00:00:30.160]  今天的題目叫做從殺略
[00:00:30.160 --> 00:00:32.540]  徵戰看神的憐憫
[00:00:32.540 --> 00:00:35.760]  有人說你有沒有搞錯
[00:00:35.760 --> 00:00:38.840]  戰爭殺略還說見到神的憐憫
[00:00:38.840 --> 00:00:41.500]  見到神的殘忍就差不多了
[00:00:41.500 --> 00:00:44.700]  我們一般人的心目當中
[00:00:44.700 --> 00:00:46.980]  認為神都是很殘忍
[00:00:46.980 --> 00:00:51.100]  我們一起來看看今天的經文十九至二十一章
[00:00:51.100 --> 00:00:54.920]  究竟看看我們的這位真神
[00:00:54.920 --> 00:00:58.480]  是憐憫的神還是一位殘忍的神
[00:00:58.480 --> 00:01:03.480]  十九至二十一章其實
[00:01:03.480 --> 00:01:05.540]  我們要明白經文的時候
[00:01:05.540 --> 00:01:08.500]  要看到經文的結構
[00:01:08.500 --> 00:01:11.940]  三章的經文有一個很有趣的結構
[00:01:11.940 --> 00:01:13.860]  就是十九和二十一章
[00:01:13.860 --> 00:01:16.320]  是將二十章夾在中間
[00:01:16.320 --> 00:01:19.400]  十九章是講屠城
[00:01:19.400 --> 00:01:21.660]  反正會講屠城是什麼
[00:01:21.660 --> 00:01:24.120]  但是十九章十節很重要
[00:01:24.120 --> 00:01:28.500]  神不要令到流無辜人血的罪
[00:01:28.500 --> 00:01:30.840]  歸給以色列人
[00:01:30.840 --> 00:01:35.260]  二十一章講沒有牛毒的憲制
[00:01:35.260 --> 00:01:38.300]  又有一節的經文二十一章八節
[00:01:38.300 --> 00:01:42.260]  又是不要令到流無辜人的血
[00:01:42.260 --> 00:01:44.260]  歸給以色列人
[00:01:44.260 --> 00:01:49.600]  而兩章經文中間夾在當中的二十章
[00:01:49.600 --> 00:01:51.200]  是講打仗
[00:01:51.200 --> 00:01:55.760]  神給了以色列人有三個戰略
[00:01:55.760 --> 00:01:59.640]  怎樣可以不流無辜人的血
[00:01:59.640 --> 00:02:02.900]  這個就是我們今天要和大家分享
[00:02:02.900 --> 00:02:04.840]  我們先看一看
[00:02:04.840 --> 00:02:07.580]  第二十章的經文是講打仗
[00:02:07.580 --> 00:02:10.300]  剛才都讀過這四節的經文
[00:02:10.300 --> 00:02:11.900]  魏長都和我們讀
[00:02:11.900 --> 00:02:14.740]  《新命紀》二十章一至四節
[00:02:14.740 --> 00:02:16.240]  我再讀一次
[00:02:16.240 --> 00:02:20.080]  你出去與仇敵爭戰的時候
[00:02:20.080 --> 00:02:24.240]  看見馬匹、車輛並有比你多的人民
[00:02:24.240 --> 00:02:26.240]  不要懼怕他們
[00:02:26.240 --> 00:02:31.620]  因為領你出埃及地的耶和華你神與你同在
[00:02:31.620 --> 00:02:34.280]  你們將要上陣的時候
[00:02:34.280 --> 00:02:38.160]  祭司要到百姓面前宣告說
[00:02:38.160 --> 00:02:40.780]  「以色列人啊,你們當聽
[00:02:40.780 --> 00:02:43.960]  你們今天將要與仇敵爭戰
[00:02:43.960 --> 00:02:47.340]  不要膽怯,不要懼怕戰驚
[00:02:47.340 --> 00:02:50.340]  也不要因他們驚恐
[00:02:50.340 --> 00:02:55.440]  因為耶和華你的神與你們同去
[00:02:55.440 --> 00:02:59.700]  要為你們與仇敵爭戰拯救你們」
[00:02:59.700 --> 00:03:02.120]  在到處打仗之前
[00:03:02.120 --> 00:03:06.980]  神差派祭司去到以色列的軍隊面前
[00:03:06.980 --> 00:03:08.680]  和軍隊講
[00:03:08.680 --> 00:03:10.380]  鼓勵軍隊
[00:03:10.380 --> 00:03:12.380]  「你們不要怕
[00:03:12.380 --> 00:03:15.100]  神會與你們同去
[00:03:15.100 --> 00:03:17.580]  神會為你們而爭戰
[00:03:17.580 --> 00:03:19.980]  神會拯救你們」
[00:03:19.980 --> 00:03:24.440]  相信以色列人聽完這些話就會
[00:03:24.440 --> 00:03:27.060]  士氣大大地大增
[00:03:27.060 --> 00:03:28.340]  士氣高昂
[00:03:28.340 --> 00:03:30.840]  很高興去打仗
[00:03:30.840 --> 00:03:33.760]  但是祭司走了之後
[00:03:33.760 --> 00:03:37.420]  馬上又多來了一個官長
[00:03:37.420 --> 00:03:40.260]  這個官長跟他們講什麼話
[00:03:40.260 --> 00:03:43.180]  在《新命紀》20章5至8節
[00:03:43.180 --> 00:03:45.180]  這個官長跟他們講
[00:03:45.180 --> 00:03:47.660]  「你們任何人有新屋的
[00:03:47.660 --> 00:03:52.320]  未奉獻給神可以回家」
[00:03:52.320 --> 00:03:54.100]  嘩!相信
[00:03:54.100 --> 00:03:57.380]  首先講講什麼叫未奉獻給神
[00:03:57.380 --> 00:03:59.840]  聖殿我們知道建了之後
[00:03:59.840 --> 00:04:01.840]  要首先奉獻給神
[00:04:01.840 --> 00:04:04.340]  才可以進入去敬拜
