
[00:00:00.000 --> 00:00:03.000]  你怎樣看曱甴的?
[00:00:03.000 --> 00:00:11.000]  可能有些人很害怕,有些人很厭惡,有些人很憎恨。
[00:00:11.000 --> 00:00:22.000]  我一向都不喜歡曱甴的,但結婚之後,因為我太太很不喜歡曱甴,我就更加不喜歡曱甴,因為她令我的生活很麻煩。
[00:00:22.000 --> 00:00:28.000]  因為如果我家裏有曱甴的話,我太太就不高興,我太太不高興的話,我就更加不高興了。
[00:00:28.000 --> 00:00:45.000]  話說有一段時候,我們家的廚房,晚上一開燈的時候,就有一、兩隻一隻水曱甴,那些很麻煩,又不是很多,偶爾就見到一隻。
[00:00:45.000 --> 00:00:50.000]  我們都嘗試過用不同的曱甴藥,都沒有什麼大改善。
[00:00:50.000 --> 00:00:57.000]  這個令我很苦惱,為什麼呢?因為我太太很苦惱,我就很苦惱了。
[00:00:57.000 --> 00:01:11.000]  如果是她進到廚房,見到一隻曱甴,要我去處理,那我來到的時候就已經遲了,我就捉不到,殺不到,她就很不安心,那我就一整晚沒有好睡。
[00:01:11.000 --> 00:01:22.000]  如果我們同時間進到廚房的時候,見到曱甴,那我都很大壓力,為什麼呢?因為你殺曱甴永遠不會是100%,總會有些失手的時候。
[00:01:22.000 --> 00:01:28.000]  我捉不到她,她又很不高興,很不安心,那我又覺得很無奈,我又不知道怎麼辦。
[00:01:28.000 --> 00:01:45.000]  但是最吊詭的就是,她不在的時候,我進廚房,我開燈見到一隻曱甴,那我當然是想殺她的,但我殺不到的話,我想,那我會不會告訴她我見到一隻曱甴,但我殺不到呢?
[00:01:45.000 --> 00:01:52.000]  如果我殺了,那我又會不會跟她說,今天處理了一隻曱甴,她又說,又有一隻曱甴,那怎麼辦呢?
[00:01:52.000 --> 00:02:06.000]  所以有些時候,我都盡一下人事去處理她,處理不到的時候,我就會想,不如不要說,不讓她知道大家相安無事,就好過一點。
[00:02:06.000 --> 00:02:18.000]  因為,挺麻煩的,你殺不了她,那怎麼殺她呢?因為麻煩有些,有時候想打開那些東西,然後撥開那些碗碟,去追殺隻曱甴。
[00:02:18.000 --> 00:02:28.000]  所以我有時候都會想,不如我當作看不到,我關燈,關門出去,那一晚我可能會睡得好一點。
[00:02:28.000 --> 00:02:37.000]  在不同的場合,我們都會嘗試做一些這樣的事,其實是自欺欺人的。
[00:02:37.000 --> 00:02:46.000]  我們都知道,沒有解決到問題,不過我們好過一點,可能會容易一點。
[00:02:46.000 --> 00:03:01.000]  但其實我們知道是不可行的。今天我想和大家探討一個問題,是比曱甴在漆黑裡更加漆黑,更加麻煩,更加困擾,就是人口販賣的問題。
[00:03:01.000 --> 00:03:18.000]  這件事,可能我們都知道一點,又不是好知道,可能知道一點,不知道一點,都不想太知道,都有點想事而不見,因為太難處理,太難去搞,太難去捉摸,最好就關門關燈,其實就簡單一點。
[00:03:18.000 --> 00:03:38.000]  但我們知道這都是自欺欺人。我想鼓勵大家,我們今天嘗試勇敢地去面對,去探討這個問題,從而思想我們可以做些什麼,去活出神給我們的福音。
[00:03:38.000 --> 00:03:50.000]  我們從人口販賣的問題去思想,這個福音究竟是什麼,怎樣去改變我們的生命,以至我們可以怎樣去改變其他人的生命。
[00:03:50.000 --> 00:04:19.000]  如果你有聖經,可以打開《昌埃及記》第21章,或者在程序表印了。在我們進入經文之前,我也想去探討一下昌埃及記的主旨。很多時候我們說昌埃及記,我們就會想起摩西燒著的荊棘遇見主,可能我們會想起十災過紅海出埃及,可能我們會想起斑鋪十界。
[00:04:19.000 --> 00:04:36.000]  這些都是很正確的,因為都是昌埃及裡面很典型很經典的情節,但我們明白到昌埃及記是不止昌埃及那麼簡單的,因為如果是的話,昌埃及就可以完約,斑鋪十界第20章就可以完約,不需要再有之後那些。
[00:04:36.000 --> 00:04:54.000]  昌埃及記其中一個很重要的主旨就是接著神所做的,我們知道祂是一個怎樣的神,從而我們怎樣去回應祂,成為祂負心的指紋。尤其是在十災裡面經常強調的就是神說,我這樣做,他們就知道我是耶和華。
[00:04:54.000 --> 00:05:13.000]  所以是神所做的事情,祂的行動就令我們有認知,有知識,是這個action to knowledge,knowledge to action,是因著神所做的,我們知道祂是一個怎樣的神,而我們知道祂是怎樣的神,我們知道要怎樣去回應,在我們的行為上都有改變。
[00:05:13.000 --> 00:05:31.000]  這個是在昌埃及記中很明顯的,所以如果你將它斬開一半的時候,由未出埃及到出了埃及,出了埃及再斑鋪不同的律法裡面,我們會明白到兩件事雖然好像很不同,但是是整件事來的。
[00:05:31.000 --> 00:05:56.000]  換句話說,斑鋪律法的時候,律法是和救恩息息相關,當昌埃及記用了很多時間去講述神怎樣救他們脫離他們的困境,讓整個群體可以離開埃及,見證著神帶領的手比埃及眾多的神明,比埃及法老更加強大。
