
[00:00:00.000 --> 00:00:05.760]  今天我們繼續看「貼哂萊黎加前後書」系列
[00:00:05.760 --> 00:00:10.400]  「貼哂萊黎加前後書」有兩個很重要的訊息
[00:00:10.400 --> 00:00:14.040]  主題就是我們以前曾經說過的
[00:00:14.040 --> 00:00:15.960]  末世的訊息
[00:00:15.960 --> 00:00:19.880]  我想我們今天也很清楚會在末世當中
[00:00:19.880 --> 00:00:21.680]  昨天加州又有地震
[00:00:21.680 --> 00:00:25.760]  如果你沒聽新聞就知道不是很嚴重 5.1
[00:00:25.760 --> 00:00:30.400]  Pandemic也好 天災人禍也好
[00:00:30.400 --> 00:00:34.000]  我們也說了 這是一個末時的警號
[00:00:34.000 --> 00:00:37.840]  另外一個主題也是「貼哂萊黎加前後書」
[00:00:37.840 --> 00:00:45.160]  保羅在這封「貼哂萊黎加前後書」的第一封新約書信裡
[00:00:45.160 --> 00:00:49.400]  集中說的 一個叫做教會的主題
[00:00:49.400 --> 00:00:52.200]  今天輪到我當中分享訊息
[00:00:52.200 --> 00:00:54.960]  我的題目叫「牧師會有一家親」
[00:00:54.960 --> 00:00:57.200]  這是一個問號
[00:00:57.200 --> 00:00:59.320]  是否真的有一家親呢 我們來看看
[00:00:59.320 --> 00:01:01.720]  「貼哂萊黎加前後書」五章
[00:01:01.720 --> 00:01:06.520]  12至15和25至28節的訊息
[00:01:06.520 --> 00:01:10.560]  弟兄們 我勸你們要敬重那些在你們中間勞苦的
[00:01:10.560 --> 00:01:14.120]  就是在主裡面督導你們 勸誡你們的人
[00:01:14.120 --> 00:01:16.000]  有因他們所做的工作
[00:01:16.000 --> 00:01:18.560]  要以愛心格外地尊重他們
[00:01:18.560 --> 00:01:21.560]  你們也要彼此和睦
[00:01:21.560 --> 00:01:23.160]  下一章 麻煩
[00:01:23.160 --> 00:01:26.960]  弟兄們 我們勸你們要警戒不守規矩的人
[00:01:26.960 --> 00:01:29.920]  勉勵灰心的人 輔助軟弱的人
[00:01:29.920 --> 00:01:31.840]  對眾人要有耐心
[00:01:31.840 --> 00:01:32.800]  你們要謹慎
[00:01:32.800 --> 00:01:35.240]  無論是誰都不可以惡報惡
[00:01:35.240 --> 00:01:41.200]  彼此間和對眾人都要追求做好事
[00:01:41.200 --> 00:01:43.240]  弟兄們 也為我們祈禱
[00:01:43.240 --> 00:01:47.720]  要用聖潔的吻向眾弟兄民安
[00:01:47.720 --> 00:01:53.720]  主祝福你們要把這封信宣讀給眾弟兄聽
[00:01:53.720 --> 00:01:58.960]  願我們主耶穌基督的恩惠與你們同在
[00:01:58.960 --> 00:02:00.200]  下一章 麻煩
[00:02:00.200 --> 00:02:08.600]  教會在過去兩年裡有很多新的轉變
[00:02:08.600 --> 00:02:13.520]  這些轉變其實不是全部關我事的
[00:02:13.520 --> 00:02:16.200]  自從我來了之後就有Pandemic
[00:02:16.200 --> 00:02:20.960]  我上任兩個月就Pandemic Shutdown
[00:02:20.960 --> 00:02:24.360]  在Shutdown裡面也有很多變化
[00:02:24.360 --> 00:02:29.120]  而牧者和會友也有很多不同的變化
[00:02:29.120 --> 00:02:32.560]  不單止是會點這兩年裡有一個新的主任牧師
[00:02:32.560 --> 00:02:35.040]  有一個新的顧問牧師
[00:02:35.040 --> 00:02:40.760]  有一個新的Campus Pastor Gideon
[00:02:40.760 --> 00:02:45.440]  我上任之後有一個新的兒童事工主任
[00:02:45.440 --> 00:02:48.720]  這幾年有新的英文牧師
[00:02:48.720 --> 00:02:50.320]  新的國語牧師
[00:02:50.320 --> 00:02:52.320]  新的敬拜牧師
[00:02:52.320 --> 00:02:56.600]  這些全部都是在兩年裡有很大的變化
[00:02:56.600 --> 00:03:01.520]  這些轉變對我來說都是一些很大的適應
[00:03:01.520 --> 00:03:07.920]  在這些轉變裡我們應該怎樣去看牧者和會友之間的關係
[00:03:07.920 --> 00:03:12.320]  在講之前我要說一個大家可能也很熟悉的
[00:03:12.320 --> 00:03:15.560]  如果你有看醫學語言這個我常常都用來講
[00:03:15.560 --> 00:03:18.600]  一個牧師和會友的關係
[00:03:18.600 --> 00:03:21.520]  叫做「青蛙的國王」
[00:03:21.520 --> 00:03:25.000]  或者叫做「渴望國王的青蛙」
[00:03:25.000 --> 00:03:27.000]  這個故事就是這樣的
[00:03:27.000 --> 00:03:29.000]  大家不要對號入座
[00:03:29.000 --> 00:03:34.240]  不過聽一下這些故事都對我們有一些啟發的
[00:03:34.240 --> 00:03:47.960]  渴求國王的這些青蛙住在一個祠堂裡面
[00:03:47.960 --> 00:03:54.960]  大家都是很渴望有一個人來做領導
[00:03:54.960 --> 00:03:57.160]  因為這些青蛙大家散散發發
[00:03:57.160 --> 00:03:59.960]  沒有任何的領導人
[00:03:59.960 --> 00:04:06.760]  看到其他的動物都好像有領袖那樣
[00:04:06.760 --> 00:04:13.760]  於是他們就祈求他們的天神賜給他們一個國王去領導他們
[00:04:13.760 --> 00:04:15.760]  他們就祈禱了
[00:04:15.760 --> 00:04:32.560]  祈禱之後第二天早上天神就將一塊很大的斷樹的木頭掉到祠堂那裡
[00:04:32.560 --> 00:04:34.560]  那些青蛙當然很開心
[00:04:34.560 --> 00:04:36.560]  有一個新的領導人
[00:04:36.560 --> 00:04:43.560]  可以在這個祠堂裡面終於有自己的國王
[00:04:43.560 --> 00:04:52.560]  但是發現這塊大木頭真的很壯觀
[00:04:52.560 --> 00:04:56.560]  佔有了祠堂裡面的一大部分
[00:04:56.560 --> 00:04:58.560]  而且停留在祠堂裡面
[00:04:58.560 --> 00:05:00.560]  不動
[00:05:00.560 --> 00:05:04.560]  很忠心地在祠堂裡面
[00:05:04.560 --> 00:05:07.560]  但是慢慢就發現這塊木頭搞不定
[00:05:07.560 --> 00:05:09.560]  它是大塊的
[00:05:09.560 --> 00:05:13.560]  但是這塊木頭在祠堂裡面好像沒有什麼作為
[00:05:13.560 --> 00:05:15.560]  而且最糟糕的是那些青蛙
[00:05:15.560 --> 00:05:17.560]  跳上去那塊木頭
[00:05:17.560 --> 00:05:19.560]  想它跳上去
[00:05:19.560 --> 00:05:20.560]  想它推去右邊
[00:05:20.560 --> 00:05:21.560]  它又去右邊
