
[00:00:00.000 --> 00:00:02.760]  都想多謝姊妹們為我們預備詩歌
[00:00:02.760 --> 00:00:06.000]  首先感謝姊妹們為我們預備詩歌
[00:00:06.000 --> 00:00:08.000]  我們應當異口同聲
[00:00:08.000 --> 00:00:10.000]  我們應當異口同聲
[00:00:10.000 --> 00:00:12.000]  榮耀歸最高聖
[00:00:12.000 --> 00:00:14.000]  榮耀歸最高聖
[00:00:14.000 --> 00:00:16.000]  是很好的歌詞
[00:00:16.000 --> 00:00:17.000]  是很好的歌詞
[00:00:17.000 --> 00:00:18.000]  也是很好的提醒
[00:00:18.000 --> 00:00:20.000]  也是很好的提醒
[00:00:20.000 --> 00:00:22.000]  好各位弟姊妹平安
[00:00:22.000 --> 00:00:23.000]  好各位弟姊妹平安
[00:00:23.000 --> 00:00:25.000]  祝大家聖誕蒙恩
[00:00:25.000 --> 00:00:27.000]  祝大家聖誕蒙恩
[00:00:27.000 --> 00:00:28.000]  主恩常在
[00:00:28.000 --> 00:00:29.000]  主恩常在
[00:00:29.000 --> 00:00:31.000]  很難得主日
[00:00:31.000 --> 00:00:34.000]  剛剛好是12月25日
[00:00:34.000 --> 00:00:38.000]  很難得主日也剛好是12月25日
[00:00:38.000 --> 00:00:42.000]  今天我們會繼續聖誕默想的訊息
[00:00:42.000 --> 00:00:45.000]  今天我們會繼續聖誕默想的訊息
[00:00:45.000 --> 00:00:48.000]  我們會和他思想耶穌降生
[00:00:48.000 --> 00:00:49.000]  和聖誕節的意義
[00:00:49.000 --> 00:00:52.000]  我們一同思想主耶穌降生
[00:00:52.000 --> 00:00:53.000]  和聖誕的意義
[00:00:53.000 --> 00:00:55.000]  剛才主直讀的經文
[00:00:55.000 --> 00:00:57.000]  就是上個主日接著的經文
[00:00:57.000 --> 00:00:59.000]  就是上個主日接著的經文
[00:00:59.000 --> 00:01:01.000]  馬可福音第六章
[00:01:01.000 --> 00:01:04.000]  馬可福音第六章
[00:01:04.000 --> 00:01:07.000]  其實當中我們看到一點
[00:01:07.000 --> 00:01:08.000]  當中我們看到一點
