
[00:00:00.000 --> 00:00:03.000]  在今年的港獨安排上
[00:00:03.000 --> 00:00:07.000]  會有部分同工來講馬可福音
[00:00:07.000 --> 00:00:11.000]  我們希望從耶穌基督的生平事蹟裏面
[00:00:11.000 --> 00:00:15.000]  我們要思想到耶穌基督所留下來的榜樣
[00:00:15.000 --> 00:00:19.000]  今天跟大家來思想馬可福音第二章裏面
[00:00:19.000 --> 00:00:26.000]  來強調耶穌基督怎樣來討論關於新舊難合
[00:00:26.000 --> 00:00:32.000]  或怎樣離開以前的困境或俗世的思慮
[00:00:32.000 --> 00:00:37.000]  好像利美一樣成為一個被神所使用的人
[00:00:37.000 --> 00:00:42.000]  這都是我們在信仰生命上常常要被更新的部分
[00:00:42.000 --> 00:00:43.000]  我們本來是一個罪人
[00:00:43.000 --> 00:00:46.000]  但主的恩典臨到我們生命當中
[00:00:46.000 --> 00:00:50.000]  我們神渴望我們能夠成為祂自己的器皿
[00:00:50.000 --> 00:00:53.000]  去祝福其他的人
[00:00:53.000 --> 00:00:58.000]  所以我們在敬拜裏面都求主使用我們
[00:00:58.000 --> 00:01:02.000]  剛剛踏足了2015年一個月左右的時間
[00:01:02.000 --> 00:01:07.000]  我不知道你對2015年有什麼期望
[00:01:07.000 --> 00:01:10.000]  或許過去我們所度過的歲月
[00:01:10.000 --> 00:01:14.000]  都給我們有很多不同的感受
[00:01:14.000 --> 00:01:19.000]  2014年可能是香港一個很獨特的一年
[00:01:19.000 --> 00:01:23.000]  我們在九月尾的時候的佔中運動
[00:01:23.000 --> 00:01:26.000]  後來稱為雨傘運動
[00:01:26.000 --> 00:01:30.000]  來影響香港整個社會
[00:01:30.000 --> 00:01:36.000]  在不同階層裏面可能都會發揮出不同的體會和感受
[00:01:36.000 --> 00:01:42.000]  事實上這個運動在佔據地方上是告一段落
[00:01:42.000 --> 00:01:47.000]  但我們看到樓下的很多餘波
[00:01:47.000 --> 00:01:51.000]  這是我們今天處身在香港裏面的每一個市民
[00:01:51.000 --> 00:01:54.000]  需要去面對的
[00:01:54.000 --> 00:01:58.000]  我不知道在過去的日子裏你有沒有做一個小小的檢視
[00:01:58.000 --> 00:02:02.000]  香港究竟發生了什麼事情
[00:02:02.000 --> 00:02:05.000]  這個黃色的雨傘是代表一群人
[00:02:05.000 --> 00:02:10.000]  他們希望追求在香港裏面的民主
[00:02:10.000 --> 00:02:14.000]  串串的他們所留下來的心聲
[00:02:14.000 --> 00:02:17.000]  是期望著香港的未來
[00:02:17.000 --> 00:02:23.000]  有一個更加讓我們市民可以參與的一個社會
[00:02:23.000 --> 00:02:27.000]  你問我是否在當中都有這種訴求
[00:02:27.000 --> 00:02:29.000]  有沒有這種期望
[00:02:29.000 --> 00:02:34.000]  我們有沒有將一些願望都掛在我們香港的前途上
[00:02:34.000 --> 00:02:37.000]  我們一起來為前路努力
[00:02:37.000 --> 00:02:43.000]  還是我們心裏面對香港的前路感到沒什麼盼望
[00:02:43.000 --> 00:02:48.000]  還是我們想著自己會不會去到其他地方生活
[00:02:48.000 --> 00:02:53.000]  每個人都在這個階段裏面可能有不同的思維
[00:02:53.000 --> 00:02:59.000]  但我仍然相信有些人他們是堅持著他們所做的事情
[00:02:59.000 --> 00:03:02.000]  所以差不多要撤退的時候
[00:03:02.000 --> 00:03:07.000]  他們放下了一個黃色的布條
[00:03:07.000 --> 00:03:10.000]  他說我們會再回來
[00:03:10.000 --> 00:03:13.000]  I will be back
[00:03:13.000 --> 00:03:17.000]  這是否真的會出現的一個情況我們不知道
[00:03:17.000 --> 00:03:21.000]  但作為基督徒我們可以想的就是
[00:03:21.000 --> 00:03:23.000]  耶穌再回來
[00:03:23.000 --> 00:03:27.000]  這個也不是一個我們忽視的時節
[00:03:27.000 --> 00:03:29.000]  I will be back
[00:03:29.000 --> 00:03:36.000]  這也是耶穌向這個普世向這個末世來發出的一個呼籲
[00:03:36.000 --> 00:03:43.000]  我們有沒有在這些世界的現象裏面去有反思呢
[00:03:43.000 --> 00:03:48.000]  沒錯,這個雨傘運動帶來給我們香港一個新的體驗
[00:03:48.000 --> 00:03:53.000]  就是似乎我們從來都沒有見過這麼大批的群眾
[00:03:53.000 --> 00:03:56.000]  這麼多的學生,不同的階層的人
[00:03:56.000 --> 00:04:00.000]  在這個城市裏面表達他們的不滿
[00:04:00.000 --> 00:04:03.000]  是有數個月之久
[00:04:03.000 --> 00:04:06.000]  他們走出來的勇氣也是想提醒我們
[00:04:06.000 --> 00:04:09.000]  我們怎麼樣去看待這個城市
[00:04:09.000 --> 00:04:15.000]  有什麼東西我們可以一起共融的去建造香港這個是我家
[00:04:15.000 --> 00:04:20.000]  還是我們很多時候各走極端而帶來的一個現象就是
[00:04:20.000 --> 00:04:22.000]  我們沒有什麼好談的
[00:04:22.000 --> 00:04:25.000]  各有各自己的執著
[00:04:25.000 --> 00:04:27.000]  各有各自己的意見
[00:04:27.000 --> 00:04:30.000]  然後我們就隨從自己心裏面的看法
[00:04:30.000 --> 00:04:34.000]  來走我們當走的路
[00:04:34.000 --> 00:04:36.000]  留低就留低
[00:04:36.000 --> 00:04:41.000]  留不低或者我們可以找其他地方來成為我們的居所
[00:04:41.000 --> 00:04:44.000]  但是我們在這個地方裏面我們作為一班的教徒
[00:04:44.000 --> 00:04:48.000]  去哪一處地方你都要問過耶穌
[00:04:48.000 --> 00:04:50.000]  耶穌是我們人生的主宰
[00:04:50.000 --> 00:04:56.000]  究竟祂期望我們在這個地方裏面做些什麼呢
[00:04:56.000 --> 00:05:00.000]  我們從來都沒有見過這樣的事
[00:05:00.000 --> 00:05:05.000]  這個是在我們這一代裏面的思想問題
[00:05:05.000 --> 00:05:09.000]  在我小時候六七年大約這個時間暴動的時候
[00:05:09.000 --> 00:05:11.000]  我媽媽那時候未信耶穌
[00:05:11.000 --> 00:05:16.000]  是一個非常靠左的一個公運人士
[00:05:16.000 --> 00:05:20.000]  她經常都帶著一把棍出街
[00:05:20.000 --> 00:05:23.000]  因為她是被批鬥的其中一部分
[00:05:23.000 --> 00:05:28.000]  在街上有不同的炸彈
[00:05:28.000 --> 00:05:31.000]  她在當中要經歷過這段日子
[00:05:31.000 --> 00:05:35.000]  當時我們還小時候可能覺得不是很特別
[00:05:35.000 --> 00:05:38.000]  但是那段日子相比今天
[00:05:38.000 --> 00:05:40.000]  在這個群眾的運動裏面
[00:05:40.000 --> 00:05:44.000]  仍然覺得是更少的情況
[00:05:44.000 --> 00:05:46.000]  所以求神你要幫助我們
[00:05:46.000 --> 00:05:49.000]  這個說話原來今天我和大家思想的時候
[00:05:49.000 --> 00:05:52.000]  不是特別想講這個雨傘的運動
[00:05:52.000 --> 00:05:56.000]  這個說話是記載在馬科音第二章十二節
[00:05:56.000 --> 00:06:00.000]  我們從來沒有見過這件事是記載在馬科音第二章裏面
[00:06:00.000 --> 00:06:05.000]  當耶穌醫好一個癱子的時候
[00:06:05.000 --> 00:06:08.000]  在這個房屋裏面的人
[00:06:08.000 --> 00:06:13.000]  產生的一種心裏面的讚歎
[00:06:13.000 --> 00:06:15.000]  我們沒有見過這件事情
[00:06:15.000 --> 00:06:19.000]  所以他們將榮耀歸給神
[00:06:19.000 --> 00:06:21.000]  當我們沒有見過這件事情的時候
[00:06:21.000 --> 00:06:23.000]  我們盼望能夠看見
[00:06:23.000 --> 00:06:25.000]  這個是神的工作
[00:06:25.000 --> 00:06:30.000]  然後我們要將榮耀歸給神
[00:06:30.000 --> 00:06:31.000]  在這個故事裏面
[00:06:31.000 --> 00:06:33.000]  我們大家熟悉的不是主動
[00:06:33.000 --> 00:06:35.000]  我們讓大家回溫一下
[00:06:35.000 --> 00:06:40.000]  這句說話之前提及的這個癱子
[00:06:40.000 --> 00:06:43.000]  這個癱子對他人生沒有什麼盼望
[00:06:43.000 --> 00:06:47.000]  他知道自己不會再起身來走路
[00:06:47.000 --> 00:06:52.000]  但是很想念有四位朋友對他人生很有盼望
[00:06:52.000 --> 00:06:55.000]  很想他能夠起來行走
[00:06:55.000 --> 00:06:59.000]  和這幾位朋友繼續人生的路途
[00:06:59.000 --> 00:07:01.000]  如果人對我的生命有這樣的盼望
[00:07:01.000 --> 00:07:04.000]  實在是一件很大的幸福
[00:07:04.000 --> 00:07:06.000]  如果我對生命仍然是一種執著
[00:07:06.000 --> 00:07:09.000]  縱使他的生命是很殘缺不堪的時候
[00:07:09.000 --> 00:07:13.000]  但我仍然好像這個癱子四位朋友
[00:07:13.000 --> 00:07:17.000]  陪著他們走人生的路途的時候
[00:07:17.000 --> 00:07:19.000]  而他們想盡辦法
[00:07:19.000 --> 00:07:23.000]  希望改變這個癱子的人生
[00:07:23.000 --> 00:07:27.000]  這個是一個很美麗的故事
[00:07:27.000 --> 00:07:30.000]  弟子妹對人不要失望
[00:07:30.000 --> 00:07:33.000]  在我們主耶穌基督的大能大力裏面
[00:07:33.000 --> 00:07:37.000]  他仍然是一個能夠改變生命的
[00:07:37.000 --> 00:07:41.000]  一位神創造的主
[00:07:41.000 --> 00:07:44.000]  祈求神來幫助我們在這個故事的過程裏面
[00:07:44.000 --> 00:07:48.000]  耶穌欣賞這一班的朋友
[00:07:48.000 --> 00:07:52.000]  見到他信心的時候就對癱子說
[00:07:52.000 --> 00:07:55.000]  不是叫他起來行走
[00:07:55.000 --> 00:07:56.000]  可能我一想就對了
[00:07:56.000 --> 00:07:58.000]  起來行走
[00:07:58.000 --> 00:08:00.000]  耶穌沒有
[00:08:00.000 --> 00:08:05.000]  耶穌的說話只是說一個很簡單的說話
[00:08:05.000 --> 00:08:08.000]  耶穌甚至知道這班人怎樣想
[00:08:08.000 --> 00:08:11.000]  拿起這個玉子來行走
[00:08:11.000 --> 00:08:13.000]  還是說你的罪赦了
[00:08:13.000 --> 00:08:16.000]  哪樣是容易呢
[00:08:16.000 --> 00:08:17.000]  我相信我們都知道的
[00:08:17.000 --> 00:08:21.000]  當然是說你的罪赦了容易
[00:08:21.000 --> 00:08:22.000]  但耶穌的時間裏面
[00:08:22.000 --> 00:08:25.000]  他卻是反過來說
[00:08:25.000 --> 00:08:30.000]  他對癱子說你的罪赦了
[00:08:30.000 --> 00:08:33.000]  在經文裏面當中
[00:08:33.000 --> 00:08:35.000]  並沒有在過程裏面
[00:08:35.000 --> 00:08:39.000]  先說起來行走
[00:08:39.000 --> 00:08:41.000]  耶穌對這個癱子說
[00:08:41.000 --> 00:08:44.000]  你的罪赦了
[00:08:44.000 --> 00:08:48.000]  他就可以起來行走
[00:08:48.000 --> 00:08:50.000]  第一次我們去到神的面前
[00:08:50.000 --> 00:08:52.000]  我們在敬拜他的時候
[00:08:52.000 --> 00:08:53.000]  我們希望
[00:08:53.000 --> 00:08:54.000]  在我們生命裏面
[00:08:54.000 --> 00:08:57.000]  我們很想成為一個有能力的人
[00:08:57.000 --> 00:08:59.000]  我們很想在我們生命裏面
[00:08:59.000 --> 00:09:00.000]  我們能夠去做耶穌基督
[00:09:00.000 --> 00:09:03.000]  所吩咐我們所做的事情
[00:09:03.000 --> 00:09:06.000]  但是我們很多時候覺得
[00:09:06.000 --> 00:09:09.000]  心裏面有很多的重擔
[00:09:09.000 --> 00:09:11.000]  很多罪刑在我們生命裏面
[00:09:11.000 --> 00:09:13.000]  成為我們的枷鎖
[00:09:13.000 --> 00:09:15.000]  我們跳不出來
[00:09:15.000 --> 00:09:17.000]  就讓我們今天聽耶穌
[00:09:17.000 --> 00:09:20.000]  跟我們說這對這麼溫柔的話
[00:09:20.000 --> 00:09:22.000]  七個弟兄姊妹
[00:09:22.000 --> 00:09:24.000]  你的罪赦了
[00:09:24.000 --> 00:09:26.000]  今天這個主餐的禮拜
[00:09:26.000 --> 00:09:27.000]  是提醒我們
[00:09:27.000 --> 00:09:29.000]  耶穌的救救贖
[00:09:29.000 --> 00:09:32.000]  是永遠都有功效
[00:09:32.000 --> 00:09:33.000]  是我們還有一次
[00:09:33.000 --> 00:09:37.000]  去領受神恩典的時間
[00:09:37.000 --> 00:09:39.000]  我們追求的是神的恩典
[00:09:39.000 --> 00:09:42.000]  然後才帶來我們生命的能力
[00:09:42.000 --> 00:09:45.000]  只有越深去感受到神恩典的可貴
[00:09:45.000 --> 00:09:47.000]  我們生命的能力
[00:09:47.000 --> 00:09:50.000]  才能夠越來越大
[00:09:50.000 --> 00:09:52.000]  求主來幫助我們
[00:09:52.000 --> 00:09:53.000]  在這個時間裏面
[00:09:53.000 --> 00:09:56.000]  耶穌欣賞這班朋友
[00:09:56.000 --> 00:10:00.000]  這班朋友在當中幫助
[00:10:00.000 --> 00:10:05.000]  帶領著這個坦斯尼道群的面前
[00:10:05.000 --> 00:10:08.000]  而耶穌亦都開始去指責
[00:10:08.000 --> 00:10:09.000]  當中那些人
[00:10:09.000 --> 00:10:11.000]  心裏議論的人
[00:10:11.000 --> 00:10:13.000]  在當中他們會想
[00:10:13.000 --> 00:10:16.000]  耶穌你講這個說話什麼意思
[00:10:16.000 --> 00:10:18.000]  你是誰
[00:10:18.000 --> 00:10:19.000]  當然在這個過程裏面
[00:10:19.000 --> 00:10:24.000]  耶穌給他們一個很清楚的一種體會
[00:10:24.000 --> 00:10:26.000]  這個體會就是告訴我們
[00:10:26.000 --> 00:10:27.000]  你的罪赦了容易
[00:10:27.000 --> 00:10:30.000]  還是你能夠叫一個人
[00:10:30.000 --> 00:10:33.000]  真是在癱子的境況下
[00:10:33.000 --> 00:10:35.000]  能夠拿起玉子來行走
[00:10:35.000 --> 00:10:37.000]  哪樣是容易
[00:10:37.000 --> 00:10:39.000]  在我們基督徒的生命裏面
[00:10:39.000 --> 00:10:40.000]  我們經常都說
[00:10:40.000 --> 00:10:41.000]  有些時候我們不知道
[00:10:41.000 --> 00:10:43.000]  我們是捨易行難
[00:10:43.000 --> 00:10:45.000]  還是捨難行矣
[00:10:45.000 --> 00:10:47.000]  其實我們的生命裏面
[00:10:47.000 --> 00:10:49.000]  就是一個蒙恩的罪人
[00:10:49.000 --> 00:10:50.000]  我們幾時來到主的面前
