
[00:00:00.000 --> 00:00:07.420]  那我看今天 到今天就幾乎已經是今年的歲末年終了
[00:00:07.420 --> 00:00:10.180]  那我們來回顧一下今年
[00:00:10.180 --> 00:00:15.560]  什麼是我們教會最大的收穫跟挑戰
[00:00:15.560 --> 00:00:21.400]  我們數一數 今年我們有十八個弟兄姊妹受洗
[00:00:21.400 --> 00:00:30.520]  Hallelujah 今年我們迎接丹丹跟小龍的女兒Ishael
[00:00:30.520 --> 00:00:34.780]  還有安東跟Sunny的兒子Ian
[00:00:34.780 --> 00:00:40.380]  還有誰?小源跟Charles的婚禮
[00:00:40.380 --> 00:00:44.220]  還有梅茵也是
[00:00:44.220 --> 00:00:47.580]  梅茵結婚也是 還有誰?
[00:00:47.580 --> 00:00:52.780]  所以不少 你看我們今年不少好事情
[00:00:52.780 --> 00:00:59.900]  還有這個月的月底 我們這個教堂就要Closing了
[00:00:59.900 --> 00:01:01.980]  這些都是很特別的事情
[00:01:01.980 --> 00:01:06.540]  然後上個禮拜我們案例了三個新的理事
[00:01:06.540 --> 00:01:11.340]  所以在這個講一講
[00:01:11.340 --> 00:01:15.300]  有買堂的過程裡面也有很多的難處
[00:01:15.300 --> 00:01:19.820]  還有我們生病的弟兄姊妹也有很多的苦處
[00:01:19.820 --> 00:01:25.620]  剛才以往分享 我是沒有那麼多的顧慮
[00:01:25.620 --> 00:01:27.980]  我們的德蕾回國去了
[00:01:27.980 --> 00:01:38.100]  這一連串的 一年下來的歡笑 淚水跟掙扎
[00:01:38.100 --> 00:01:41.460]  幾乎十秒鐘就講過去了
[00:01:41.460 --> 00:01:45.900]  但是你回頭看看 在每一個環境中
[00:01:45.900 --> 00:01:50.420]  我們都看到我們的神在掌權
[00:01:50.420 --> 00:01:55.100]  讓我們低頭禱告
[00:01:55.100 --> 00:01:57.700]  天父我們用感恩的心來到你面前
[00:01:57.700 --> 00:02:03.260]  親愛的主 我們知道不論是在人生的每一個台階
[00:02:03.260 --> 00:02:05.740]  在我們人生的每一個小站
[00:02:05.740 --> 00:02:08.180]  主你都在那裡等著我們
[00:02:08.180 --> 00:02:12.220]  就如剛才陳彥姊妹也是這樣的分享
[00:02:12.220 --> 00:02:16.780]  她禱告神 你就供應 你就看顧她
[00:02:16.780 --> 00:02:22.900]  就如剛才每一位的分享
[00:02:22.900 --> 00:02:27.660]  神 你是那個在掌管我們生活的神
[00:02:27.660 --> 00:02:30.780]  你幫助我們看到我們自己的軟弱
[00:02:30.780 --> 00:02:36.060]  你也幫助我們堅強的走過我們人生的低谷
[00:02:36.060 --> 00:02:39.420]  主耶穌我們再一次的謝謝你
[00:02:39.420 --> 00:02:41.420]  在這個聖誕的季節裡頭
[00:02:41.420 --> 00:02:44.740]  我們感謝你為我們生 為我們死
[00:02:44.740 --> 00:02:46.820]  為我們定死在十字架上
[00:02:46.820 --> 00:02:49.620]  又為我們將來還要再來
[00:02:49.620 --> 00:02:51.220]  謝謝你 主耶穌
[00:02:51.220 --> 00:02:53.140]  求你今天與我們同在
[00:02:53.140 --> 00:02:54.940]  開我們心中的耳朵
[00:02:54.940 --> 00:02:58.460]  好讓我們能夠聽到主你對我們所說的話
[00:02:58.460 --> 00:02:59.780]  謝謝你 主耶穌
[00:02:59.780 --> 00:03:03.300]  禱告奉耶穌的名 阿們
[00:03:03.300 --> 00:03:06.220]  今年呢 我們每個月的第二個禮拜
[00:03:06.220 --> 00:03:08.660]  我們都是在讀《使徒行傳》
[00:03:08.660 --> 00:03:12.620]  那上個月我講的是保羅的名言
[00:03:12.620 --> 00:03:14.780]  斯比獸更為有福
[00:03:14.780 --> 00:03:17.300]  那今天呢 是我們今年度
[00:03:17.300 --> 00:03:20.180]  最後一個《使徒行傳》的講臺
[00:03:20.180 --> 00:03:23.820]  所以我想跟大家再來複習一下
[00:03:23.820 --> 00:03:29.420]  誰是《使徒行傳》的作者
[00:03:29.420 --> 00:03:34.020]  欸 聽到了 路加 Dr. Luke
[00:03:34.020 --> 00:03:41.940]  然後我們又叫《使徒行傳》做什麼行傳
[00:03:41.940 --> 00:03:44.620]  《聖靈行傳》
[00:03:44.620 --> 00:03:50.420]  然後也因著《使徒行傳》又叫做《聖靈行傳》呢
[00:03:50.420 --> 00:03:52.500]  我們就看到在這本書裡面
[00:03:52.500 --> 00:03:54.220]  我們看到神的工作
[00:03:54.220 --> 00:03:58.140]  如果不是靠著聖靈 是沒有辦法展開來的
[00:03:58.140 --> 00:04:03.860]  然後我們又看到保羅在路加
[00:04:03.860 --> 00:04:08.700]  在這個《使徒行傳》 Dr. Luke 的筆下面的宣教
[00:04:08.700 --> 00:04:12.140]  一共有幾次
[00:04:12.140 --> 00:04:14.780]  記得吧
[00:04:14.780 --> 00:04:18.620]  一共有幾次的宣教工作
[00:04:18.620 --> 00:04:19.940]  四次
[00:04:19.940 --> 00:04:23.780]  OK 好 我以為是三次
[00:04:23.780 --> 00:04:25.260]  OK 四次
[00:04:25.260 --> 00:04:27.300]  那是從哪裡出去
[00:04:27.300 --> 00:04:30.580]  然後又回到哪裡呢
[00:04:30.580 --> 00:04:32.140]  知不知道
[00:04:32.140 --> 00:04:33.180]  有沒有人知道
[00:04:33.180 --> 00:04:35.020]  是從安提亞出去的
[00:04:35.020 --> 00:04:37.420]  他的宣教工作是從安提亞出去的
[00:04:37.420 --> 00:04:42.780]  然後最後他回到耶路撒冷
[00:04:42.780 --> 00:04:47.660]  《使徒行傳》描述了很多使徒們的很重要的工作
[00:04:47.660 --> 00:04:50.540]  那包括醫病趕鬼的神蹟
[00:04:50.540 --> 00:04:55.100]  還有耶路撒冷大會的時候所定下來的食物率
[00:04:55.100 --> 00:04:59.700]  最近在詳細讀《使徒行傳》的貝利小組
[00:04:59.700 --> 00:05:01.820]  就應該很清楚了
[00:05:01.820 --> 00:05:06.900]  路加用了很大的篇幅在記載保羅的生平
[00:05:06.900 --> 00:05:12.060]  跟他服事的方向和他的目標
[00:05:12.060 --> 00:05:15.180]  當我在準備今天的講章的時候呢
[00:05:15.180 --> 00:05:18.700]  今天的信息 在為這個新鮮信息禱告的時候
[00:05:18.700 --> 00:05:20.460]  尋求神話語的時候
[00:05:20.460 --> 00:05:25.500]  我同時也在聽這個寇木斯的《恩典365》
[00:05:25.500 --> 00:05:30.580]  我想很多在一起在聽這個《恩典365》的弟兄姊妹就知道
[00:05:30.580 --> 00:05:34.940]  最近寇木斯一系列的
[00:05:34.940 --> 00:05:37.900]  他都在講保羅的服事的道路
[00:05:37.900 --> 00:05:40.500]  那就如寇木斯所分享的
[00:05:40.500 --> 00:05:43.500]  講到保羅剛剛出來服事的時候
[00:05:43.500 --> 00:05:46.980]  他的第一本書信是《迦拉太書》
[00:05:46.980 --> 00:05:50.500]  那他在寫《迦拉太書》的那時候的保羅呢
[00:05:50.500 --> 00:05:53.940]  他非常的
[00:05:53.940 --> 00:05:58.660]  他非常的
[00:05:58.660 --> 00:06:00.700]  高高在上
[00:06:00.700 --> 00:06:02.860]  嫉惡如仇
[00:06:02.860 --> 00:06:05.060]  那時候的保羅是這樣子
[00:06:05.060 --> 00:06:08.180]  那其實呢 這跟我三十年前
[00:06:08.180 --> 00:06:13.340]  剛剛讀《聖經》認識保羅的時候的感覺是一樣的
[00:06:13.340 --> 00:06:14.580]  而且那個時候呢
[00:06:14.580 --> 00:06:19.540]  我還真的不知天高地厚的一口就論誕說
[00:06:19.540 --> 00:06:21.940]  保羅是一個很驕傲的人
[00:06:21.940 --> 00:06:27.300]  可是隨著我在書裡面對神的話語更深入的學習
[00:06:27.300 --> 00:06:29.140]  然後在生命的成長
[00:06:29.140 --> 00:06:32.820]  一點一點我就能夠看到
[00:06:32.820 --> 00:06:35.420]  在耶和華的手中的保羅
[00:06:35.420 --> 00:06:39.420]  甚至在耶和華手中的你跟我
