
[00:00:00.000 --> 00:00:03.080]  在整個羅馬書一開宗明義
[00:00:03.080 --> 00:00:06.480]  保羅就提到傳福音的使命
[00:00:06.480 --> 00:00:08.880]  在後現代的社會里面
[00:00:08.880 --> 00:00:12.040]  我們會怎樣面對這個情況呢?
[00:00:12.040 --> 00:00:14.760]  後現代顧名思義它的特性就是
[00:00:14.760 --> 00:00:18.800]  將我們傳統的是非、黑、白
[00:00:18.800 --> 00:00:21.280]  完全要模糊它
[00:00:21.280 --> 00:00:23.000]  我們認爲是對的,是不對的
[00:00:23.000 --> 00:00:24.280]  在這些絕對的標準
[00:00:24.280 --> 00:00:27.600]  後現代就要將這些完全去模糊
[00:00:27.600 --> 00:00:29.640]  不需要那麼清楚
[00:00:29.640 --> 00:00:31.240]  不需要那麼界定
[00:00:31.240 --> 00:00:34.680]  慢慢慢慢你會發覺後現代的思潮
[00:00:34.680 --> 00:00:37.440]  也影響了教會的思潮
[00:00:37.440 --> 00:00:40.960]  我們開始將很多的神學觀念模糊化
[00:00:40.960 --> 00:00:44.480]  甚至將很多的東西都混亂了
[00:00:44.480 --> 00:00:47.440]  接着進入了混亂、混亂、混亂的狀態
[00:00:47.440 --> 00:00:50.640]  你見到好像進入了創世紀第一章
[00:00:50.640 --> 00:00:55.040]  是地是冤冤黑暗的情況
[00:00:55.040 --> 00:00:57.040]  我們見到在這個情況裏面
[00:00:57.040 --> 00:01:01.520]  今天教會充斥了很多很古怪的觀念
[00:01:01.520 --> 00:01:03.640]  是不是來自聖經的
[00:01:03.640 --> 00:01:06.280]  我類似講到都會得罪了一些人
[00:01:06.280 --> 00:01:07.880]  兄弟姐妹,我不介意得罪人
[00:01:07.880 --> 00:01:10.680]  因爲我覺得聖經講的
[00:01:10.680 --> 00:01:12.120]  和我們的出入
[00:01:12.120 --> 00:01:14.640]  我們必須要用聖經的原則
[00:01:14.640 --> 00:01:15.920]  例如,很簡單
[00:01:15.920 --> 00:01:17.960]  一會兒我們講下去你會更加清楚的
[00:01:17.960 --> 00:01:20.120]  我們會慢慢慢慢知道
[00:01:20.120 --> 00:01:22.440]  現在是全時間侍奉的
[00:01:22.440 --> 00:01:23.960]  好像變成了兼職
[00:01:23.960 --> 00:01:26.680]  兼職的好像又變成了全時間
[00:01:26.680 --> 00:01:28.680]  其實究竟是兼職還是全時間呢
[00:01:28.680 --> 00:01:30.200]  牧師就去做生意
[00:01:30.200 --> 00:01:31.840]  做生意的就做了牧師
[00:01:31.840 --> 00:01:32.960]  我們不太知道
[00:01:32.960 --> 00:01:35.520]  現在那個牧師究竟是在做生意還是做了牧師
[00:01:35.520 --> 00:01:36.440]  我又不太知道
[00:01:36.440 --> 00:01:38.880]  在做生意的人是在做生意還是做了牧師
[00:01:38.880 --> 00:01:41.200]  我們在職場神學裏面
[00:01:41.200 --> 00:01:42.520]  最近的職場神學裏面
[00:01:42.520 --> 00:01:43.720]  我明白的
[00:01:43.720 --> 00:01:46.400]  在我絕對同情和了解的底下
[00:01:46.400 --> 00:01:48.760]  我明白這羣人推動這種神學的時候
[00:01:48.760 --> 00:01:50.840]  是背後有善意在的
[00:01:50.840 --> 00:01:55.760]  但這種善意卻造成了整個教會的那種混亂
[00:01:55.760 --> 00:01:58.280]  這個混亂就回到
[00:01:58.280 --> 00:01:59.400]  在聖經裏面
[00:01:59.400 --> 00:02:01.200]  牧師不一定是牧師要做這些的
[00:02:01.200 --> 00:02:02.400]  不是牧師都可以做的
[00:02:02.400 --> 00:02:03.880]  不是牧師都可以施聖餐的
[00:02:03.880 --> 00:02:05.200]  不是牧師都可以施浸的
