
[00:00:00.000 --> 00:00:05.000]  各位《恩傳浸信會》的弟兄姊妹平安
[00:00:05.000 --> 00:00:10.000]  今早提到的題目 大家一看就知道是來自詩篇13篇
[00:00:10.000 --> 00:00:14.000]  其實在聖經裏面 詩篇一共有150篇
[00:00:14.000 --> 00:00:19.000]  在這150篇裏面 我想詩篇23篇是最為人熟悉的一個詩篇
[00:00:19.000 --> 00:00:21.000]  我相信大家都會同意
[00:00:21.000 --> 00:00:25.000]  其實他當然被愛戴 被熟悉是有他的原因
[00:00:25.000 --> 00:00:28.000]  短短6節聖經裏面我們看到
[00:00:28.000 --> 00:00:31.000]  他描寫到人生好像不同的階段
[00:00:31.000 --> 00:00:35.000]  有他非常美麗的意境 有青草地 有溪水旁
[00:00:35.000 --> 00:00:39.000]  但也有困難 好像死陰的幽谷
[00:00:39.000 --> 00:00:41.000]  在敵人面前等等
[00:00:41.000 --> 00:00:45.000]  但這個作者大衛 因為他對神的認識 深信
[00:00:45.000 --> 00:00:48.000]  於是神會帶領他走完人生路
[00:00:48.000 --> 00:00:50.000]  還要永遠在神的殿中
[00:00:50.000 --> 00:00:55.000]  所以這個寫照很容易被人產生共鳴
[00:00:55.000 --> 00:01:01.000]  我做了牧師四十多年 我覺得詩篇23篇是一首百搭的詩篇
[00:01:01.000 --> 00:01:05.000]  甚麼叫百搭呢 即是甚麼場合都適合用
[00:01:05.000 --> 00:01:11.000]  在婚禮當中的時候 我很多時候用這個詩篇去勉勵一對新人
[00:01:11.000 --> 00:01:17.000]  在喪禮裏面的時候 我用這個詩篇去安慰那些喪家的人
[00:01:17.000 --> 00:01:24.000]  在一個畢業禮裏面 我曾經用這個詩篇去鼓勵那班年青人
[00:01:24.000 --> 00:01:28.000]  去醫院探訪的時候 在病床前我用這個詩篇去安慰
[00:01:28.000 --> 00:01:31.000]  鼓勵臥病在床的那些病人
[00:01:31.000 --> 00:01:35.000]  有信徒他們新屋入伙 開個感恩會
[00:01:35.000 --> 00:01:39.000]  我用詩篇23篇去祝福那個家庭
[00:01:39.000 --> 00:01:42.000]  甚至我用詩篇23篇去趕鬼 我試過一次
[00:01:42.000 --> 00:01:48.000]  那時候我去過福建近沿海一個城鎮
[00:01:48.000 --> 00:01:50.000]  我去那裏講報道會 講完報道會之後
[00:01:50.000 --> 00:01:54.000]  那個牧師說 你來得正好 我們隔壁那間屋
[00:01:54.000 --> 00:01:57.000]  那間教會很大間的 隔壁那間石屋
[00:01:57.000 --> 00:01:59.000]  那間屋是專門用來趕鬼的
[00:01:59.000 --> 00:02:02.000]  教友有時候被鬼附 他們住在那間屋裏面
[00:02:02.000 --> 00:02:05.000]  然後今晚就有一個姐妹被鬼附
[00:02:05.000 --> 00:02:08.000]  然後我們要為她祈禱 然後我們就去找
[00:02:08.000 --> 00:02:12.000]  我陪她進去 進去的時候見到那個姐妹
[00:02:12.000 --> 00:02:16.000]  大概是30歲出頭 她不知道信了耶穌沒有
[00:02:16.000 --> 00:02:18.000]  我都不知道 她就坐在那裏
[00:02:18.000 --> 00:02:20.000]  然後她老公就按著一邊
[00:02:20.000 --> 00:02:22.000]  她奶奶就按著另一邊 在那裏掙扎
[00:02:22.000 --> 00:02:25.000]  她一見到我 她就瞪大眼睛看著我
[00:02:25.000 --> 00:02:28.000]  我知你是誰 我知你來幹嘛
[00:02:28.000 --> 00:02:30.000]  就很大聲很兇的看著我
[00:02:30.000 --> 00:02:33.000]  我一看著她 以後說是我的牧者
[00:02:33.000 --> 00:02:35.000]  我便不知缺乏
[00:02:35.000 --> 00:02:39.000]  所以這個詩篇真是百答詩篇
[00:02:39.000 --> 00:02:40.000]  有一個傳道人跟我說
[00:02:40.000 --> 00:02:43.000]  這個詩篇每一節聖經都能夠講到哪裏
[00:02:43.000 --> 00:02:47.000]  今次我們時間有限 不可以講這麼多篇
[00:02:47.000 --> 00:02:50.000]  我只是希望用短短時間
[00:02:50.000 --> 00:02:53.000]  透過這個詩篇跟大家看三點
[00:02:53.000 --> 00:02:56.000]  第一點 就是這個詩篇裏面
[00:02:56.000 --> 00:02:59.000]  大衛他描寫他跟神的關係
[00:02:59.000 --> 00:03:03.000]  在不同的處境當中有不同的描述
[00:03:03.000 --> 00:03:05.000]  為何會有這種不同呢
[00:03:05.000 --> 00:03:07.000]  究竟向我們啟示了甚麼 要我們學到甚麼呢
[00:03:07.000 --> 00:03:08.000]  這是第一點
[00:03:08.000 --> 00:03:12.000]  第二點 就是第三節裏面下半部分
[00:03:12.000 --> 00:03:17.000]  為自己的名引導我走二路 是甚麼意思
[00:03:17.000 --> 00:03:20.000]  第三點 就是第六節前面那一句
[00:03:20.000 --> 00:03:24.000]  我一生一世必有恩惠慈愛隨著我
[00:03:24.000 --> 00:03:26.000]  又是甚麼意思
[00:03:26.000 --> 00:03:29.000]  我們看這三點 求神幫助我們
[00:03:29.000 --> 00:03:31.000]  我們先祈禱
[00:03:31.000 --> 00:03:35.000]  聖靈這段時間我們很需要你
[00:03:35.000 --> 00:03:38.000]  需要你來到人的心中
[00:03:38.000 --> 00:03:40.000]  去光照我們 去啟示我們
[00:03:40.000 --> 00:03:42.000]  在外面透過你的光照
[00:03:42.000 --> 00:03:44.000]  讓我們看見你的話語被打開
[00:03:44.000 --> 00:03:46.000]  明白當中的真理
[00:03:46.000 --> 00:03:48.000]  在裏面你感動我們
[00:03:48.000 --> 00:03:51.000]  讓我們深信這是神你自己的說話
[00:03:51.000 --> 00:03:53.000]  願神你分別為聖 你自己使用
[00:03:53.000 --> 00:03:55.000]  你得著榮耀
[00:03:55.000 --> 00:03:57.000]  奉耶穌基督的名祈禱 阿們
[00:03:57.000 --> 00:04:03.000]  我們看看詩篇23篇 第一節
[00:04:03.000 --> 00:04:08.000]  耶和華是我的目者 我必不自缺乏
[00:04:08.000 --> 00:04:10.000]  這句說話在三千年前
[00:04:10.000 --> 00:04:12.000]  當大衛寫出來的時候
[00:04:12.000 --> 00:04:16.000]  我想那些聽眾也好 讀者也好
[00:04:16.000 --> 00:04:19.000]  他們看見這句說話很容易有共鳴
[00:04:19.000 --> 00:04:22.000]  因為目者 一個牧羊人
[00:04:22.000 --> 00:04:24.000]  有一個很清楚的形象
[00:04:24.000 --> 00:04:26.000]  帶來一個很清楚的訊息
[00:04:26.000 --> 00:04:29.000]  牧羊人 牧者代表了保護
[00:04:29.000 --> 00:04:33.000]  代表了供應 代表了引渡
[00:04:33.000 --> 00:04:35.000]  神就好像我們生命裏面
[00:04:35.000 --> 00:04:37.000]  供應我們 保護我們 引渡我們
[00:04:37.000 --> 00:04:39.000]  第一句說話說出來的時候
[00:04:39.000 --> 00:04:41.000]  大家很容易共鳴 得到安慰
[00:04:41.000 --> 00:04:42.000]  接著大衛怎麼說
[00:04:42.000 --> 00:04:45.000]  祂使我躺臥在青草地上
[00:04:45.000 --> 00:04:47.000]  令我到可安的地方
[00:04:47.000 --> 00:04:51.000]  是祂使到我在青草地溪水房
[00:04:51.000 --> 00:04:54.000]  祂使我的靈魂 祂使我的靈魂甦醒
[00:04:54.000 --> 00:04:57.000]  為自己的名 引渡我走而來
[00:04:57.000 --> 00:04:58.000]  大衛很清楚
[00:04:58.000 --> 00:05:00.000]  在他人生的道路當中
[00:05:00.000 --> 00:05:02.000]  特別是那些安逸 很舒服的環境
[00:05:02.000 --> 00:05:04.000]  完全是神的恩典
[00:05:04.000 --> 00:05:08.000]  將祂帶領到那個地方青草地溪水旁
[00:05:08.000 --> 00:05:09.000]  很安恕
[00:05:09.000 --> 00:05:10.000]  到了第四節的時候
[00:05:10.000 --> 00:05:12.000]  大家看到祂怎麼描寫
[00:05:12.000 --> 00:05:13.000]  都是祂和神的關係
[00:05:13.000 --> 00:05:16.000]  我雖然行過死刃的幽谷
[00:05:16.000 --> 00:05:18.000]  也不怕遭害
[00:05:18.000 --> 00:05:19.000]  因為什麼
[00:05:19.000 --> 00:05:22.000]  因為那個什麼字
[00:05:22.000 --> 00:05:25.000]  你與我同在
[00:05:25.000 --> 00:05:27.000]  剛才開頭那兩節是說
[00:05:27.000 --> 00:05:30.000]  祂和我 祂和我
[00:05:30.000 --> 00:05:32.000]  到這裏的時候是你與我
[00:05:32.000 --> 00:05:34.000]  這是第三節所說的
[00:05:34.000 --> 00:05:35.000]  第四節來了
[00:05:35.000 --> 00:05:38.000]  第五節說
[00:05:38.000 --> 00:05:40.000]  在我的敵人面前
[00:05:40.000 --> 00:05:41.000]  你為我擺設筵席
[00:05:41.000 --> 00:05:42.000]  在我的敵人面前
[00:05:42.000 --> 00:05:43.000]  你為我
[00:05:43.000 --> 00:05:46.000]  大家看到分別
[00:05:46.000 --> 00:05:48.000]  在第二節和第三節
[00:05:48.000 --> 00:05:51.000]  是祂與我 祂與我
[00:05:51.000 --> 00:05:52.000]  神和祂
[00:05:52.000 --> 00:05:53.000]  是祂和我的關係
[00:05:53.000 --> 00:05:55.000]  第四第五是什麼
[00:05:55.000 --> 00:05:58.000]  是你與我 你與我
[00:05:58.000 --> 00:06:00.000]  同一個大衛 同一個上帝
