
[00:00:00.000 --> 00:00:05.000]  《錄音》或《錄影》的版權是屬於基督教宣導會不覺堂所有
[00:00:05.000 --> 00:00:09.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:09.000 --> 00:00:13.000]  歡迎您將此《錄音》或《錄影》的連結傳給親友
[00:00:13.000 --> 00:00:19.000]  懇請注意未經授權請勿轉錄或剪輯本《錄音》或《錄影》
[00:00:19.000 --> 00:00:24.000]  甚願好像《使徒行傳》二十章三十二節下所說
[00:00:24.000 --> 00:00:31.000]  「這道能建立你們,叫你們和一切誠誠的人同得基業」
[00:00:31.000 --> 00:00:34.000]  讓我們再次禱告
[00:00:34.000 --> 00:00:35.000]  主佛我們感謝您
[00:00:35.000 --> 00:00:38.000]  因為您不單止賜給我們寶貴的救恩
[00:00:38.000 --> 00:00:41.000]  您也賜下寶貴的話語
[00:00:41.000 --> 00:00:44.000]  讓您的話語成為我們生命的光
[00:00:44.000 --> 00:00:47.000]  讓您的話語在我們聚會的時候
[00:00:47.000 --> 00:00:49.000]  就是您與我們同在
[00:00:49.000 --> 00:00:54.000]  您要向我們說話
[00:00:54.000 --> 00:00:55.000]  求主開啟我們的心
[00:00:55.000 --> 00:00:58.000]  讓我們能夠明白您寶貴的福音
[00:00:58.000 --> 00:01:00.000]  就能夠因著您所賜的福音
[00:01:00.000 --> 00:01:03.000]  感受到那種福分和喜樂
[00:01:03.000 --> 00:01:07.000]  我們同心願望您禱告奉耶穌基督的名字
[00:01:07.000 --> 00:01:09.000]  阿們
[00:01:09.000 --> 00:01:15.000]  剛才所讀的一段經文最後一句就說
[00:01:15.000 --> 00:01:19.000]  大衛這樣說:「過犯被赦免
[00:01:19.000 --> 00:01:22.000]  罪孽被遮蓋的人是有福的
[00:01:22.000 --> 00:01:25.000]  主不算為有罪的人是有福的」
[00:01:25.000 --> 00:01:28.000]  這句話是提醒我們
[00:01:28.000 --> 00:01:31.000]  我們說信耶穌不是錦上添花
[00:01:31.000 --> 00:01:35.000]  我很好,我可以再好一點
[00:01:35.000 --> 00:01:39.000]  信耶穌這裡說的是
[00:01:39.000 --> 00:01:41.000]  關乎罪德赦免
[00:01:41.000 --> 00:01:45.000]  是關乎到我們生死存亡
[00:01:45.000 --> 00:01:48.000]  我們今天所讀的羅馬書
[00:01:48.000 --> 00:01:54.000]  是保羅寫給羅馬教會的一封書信
[00:01:54.000 --> 00:01:58.000]  當時猶太人都在羅馬帝國之下
[00:01:58.000 --> 00:02:01.000]  帝國的版圖非常大
[00:02:01.000 --> 00:02:07.000]  當時來說,羅馬帝國就是以羅馬這個地方為中心
[00:02:07.000 --> 00:02:11.000]  建造了四通八達的道路網
[00:02:11.000 --> 00:02:16.000]  是方便軍隊的調動,貿易,文化交流
[00:02:16.000 --> 00:02:20.000]  讓人感覺到當時在帝國裡
[00:02:20.000 --> 00:02:28.000]  從任何一個地方都可以很容易直達中央羅馬的首都
[00:02:28.000 --> 00:02:32.000]  所謂「條條大路通羅馬」
[00:02:32.000 --> 00:02:38.000]  是一個事實
[00:02:38.000 --> 00:02:43.000]  這句話如果站在地理上和交通上
[00:02:43.000 --> 00:02:48.000]  甚至經濟文化上都是正確的
[00:02:48.000 --> 00:02:51.000]  但是如果說「條條大路通羅馬」
[00:02:51.000 --> 00:02:55.000]  作為一種殊途同歸的一種說法
[00:02:55.000 --> 00:02:59.000]  對福音來說就不正確
[00:02:59.000 --> 00:03:05.000]  因為要得到永生,只可以信靠耶穌
[00:03:05.000 --> 00:03:08.000]  羅馬書向我們展示出一個真理
[00:03:08.000 --> 00:03:13.000]  就是基督所成就的救恩,是恩順清儀
[00:03:13.000 --> 00:03:17.000]  不是靠律法,不是靠人的行為
[00:03:17.000 --> 00:03:20.000]  或者任何人的功德
[00:03:20.000 --> 00:03:24.000]  這個理念是基督教信仰的核心
[00:03:24.000 --> 00:03:32.000]  甚至是判別它是不是異端的其中一個很重要的教義
[00:03:32.000 --> 00:03:35.000]  沒錯,很多人信耶穌
[00:03:35.000 --> 00:03:38.000]  可能都是不同的人
[00:03:38.000 --> 00:03:44.000]  他們都是透過不同的經驗來做開始
[00:03:44.000 --> 00:03:47.000]  或者入門的方法有不同
[00:03:47.000 --> 00:03:50.000]  切入點有不同
[00:03:50.000 --> 00:03:54.000]  但是很重要的
[00:03:54.000 --> 00:04:00.000]  信靠耶穌,聚德赦免是不可以去繞過的
[00:04:00.000 --> 00:04:05.000]  所以今天我們所重讀的《仕途信經》
[00:04:05.000 --> 00:04:09.000]  我們都會說有說到聚德赦免
[00:04:09.000 --> 00:04:12.000]  我們也說「我信永生」
[00:04:12.000 --> 00:04:17.000]  在近代的教會有這樣的現象
[00:04:17.000 --> 00:04:23.000]  或者也有不少的信徒反省多一點
[00:04:23.000 --> 00:04:25.000]  都會看到一件事
[00:04:25.000 --> 00:04:30.000]  如果我們說「信耶穌」只是說「得永生」
[00:04:30.000 --> 00:04:33.000]  「上天堂」是不足夠的
[00:04:33.000 --> 00:04:37.000]  好像整件事都只是將來的事
[00:04:37.000 --> 00:04:39.000]  今生的生活都很重要
[00:04:39.000 --> 00:04:43.000]  所以這個說法基本上是正確的
[00:04:43.000 --> 00:04:49.000]  但循著這種說法,有些情況又會出現極端
[00:04:49.000 --> 00:04:53.000]  就認為全福音不一定
[00:04:53.000 --> 00:04:57.000]  或者不用說「聚德赦免得享永生」這些
