
[00:00:00.000 --> 00:00:03.360]  如果大家在兩個禮拜前有在這裏的話
[00:00:03.360 --> 00:00:06.720]  應該記得在兩個禮拜前我們講了一段
[00:00:06.720 --> 00:00:10.320]  《馬克福音》第九章一至十三節
[00:00:10.320 --> 00:00:16.160]  在那裏耶穌爲我們上演了一場精彩非常的天國劇場
[00:00:16.160 --> 00:00:21.040]  那個天國劇場的劇名叫做《登山面像》
[00:00:21.040 --> 00:00:26.480]  而劇場的內容是關於主耶穌基督受死復活的一個預演
[00:00:26.480 --> 00:00:29.000]  不過當我們繼續讀下去的時候
[00:00:29.000 --> 00:00:33.600]  我們發現原來耶穌基督的天國劇場還沒完
[00:00:33.600 --> 00:00:37.000]  原來祂有上集和下集
[00:00:37.000 --> 00:00:40.720]  上集是兩個禮拜前我們看的叫做《登山面像》
[00:00:40.720 --> 00:00:46.560]  而現在下集我們要看的是《下山趕鬼》
[00:00:46.560 --> 00:00:49.960]  這個故事不僅是很有趣
[00:00:49.960 --> 00:00:51.440]  而且是非常重要
[00:00:51.440 --> 00:00:55.800]  甚至可以說是整個福音的一箇中心
[00:00:55.800 --> 00:01:00.280]  很多人誤會不懂得看耶穌基督的神蹟奇事
[00:01:00.280 --> 00:01:04.840]  他以爲這些是一個很普通的趕鬼的神蹟
[00:01:04.840 --> 00:01:10.040]  甚至有很多人很努力地不斷研究趕鬼的竅妙
[00:01:10.040 --> 00:01:11.840]  我只可以這麼說
[00:01:11.840 --> 00:01:15.280]  到頭來都是一場美麗的誤會
[00:01:15.280 --> 00:01:20.080]  耶穌根本不是在教我們怎麼趕鬼
[00:01:20.080 --> 00:01:21.440]  如果過去一年裏面
[00:01:21.440 --> 00:01:27.200]  你有久不久回來聽我們講耶穌基督的醫治神蹟
[00:01:27.200 --> 00:01:28.800]  趕鬼奇事的話
[00:01:28.800 --> 00:01:34.480]  你會知道其實當中沒有一個故事是所謂普通的神蹟
[00:01:34.480 --> 00:01:41.560]  每一個故事都是和耶穌基督的福音是緊緊相連在一起的
[00:01:41.560 --> 00:01:46.440]  所以今天我們在看的不是一個普通的趕鬼的神蹟
[00:01:46.440 --> 00:01:50.080]  而是一個福音的預演
[00:01:50.080 --> 00:01:54.040]  這個故事講的是一個天國的劇場
[00:01:54.040 --> 00:01:55.400]  在這個天國的劇場裏面
[00:01:55.400 --> 00:01:59.080]  耶穌再次自編、自導、自演
[00:01:59.080 --> 00:02:03.080]  耶穌用了一連串的言行來告訴我們
[00:02:03.080 --> 00:02:06.400]  祂要爲門徒用爲衆人
[00:02:06.400 --> 00:02:08.720]  爲你和我趕鬼
[00:02:08.720 --> 00:02:12.640]  以致我們不會再被邪靈所滋擾
[00:02:12.640 --> 00:02:17.640]  以致你和我最終會被聖靈所充滿
[00:02:17.640 --> 00:02:19.720]  最後因着聖靈的帶領
[00:02:19.720 --> 00:02:21.360]  我們可以明白聖經
[00:02:21.360 --> 00:02:24.280]  我們可以向世界死
[00:02:24.280 --> 00:02:25.840]  向天國活
[00:02:25.840 --> 00:02:27.520]  我們可以離開這個世界
[00:02:27.520 --> 00:02:29.760]  我們可以背起我們的十字架
[00:02:29.760 --> 00:02:33.280]  緊緊跟隨耶穌進入天國
[00:02:33.280 --> 00:02:38.640]  這是整個故事最終極的方向
[00:02:38.640 --> 00:02:46.240]  我想帶你回去看看上次我們所讀的天國劇場的上集
[00:02:46.240 --> 00:02:48.600]  如果你記得我們上次所讀的故事
[00:02:48.600 --> 00:02:50.520]  主角是耶穌基督
[00:02:50.520 --> 00:02:53.200]  祂是上帝所認許的君王
[00:02:53.200 --> 00:02:56.600]  有兩個配角都是舊約裏面的關鍵人物
[00:02:56.600 --> 00:02:58.080]  是以利亞和摩西
[00:02:58.080 --> 00:03:00.200]  接着有三個臨紀
[00:03:00.200 --> 00:03:03.120]  是彼得、雅各、約翰
[00:03:03.120 --> 00:03:05.880]  三隻迷途的羔羊
[00:03:05.880 --> 00:03:09.080]  接着報警在山上
[00:03:09.080 --> 00:03:13.360]  在很高的山上指向摩西
[00:03:13.360 --> 00:03:15.920]  很多年前帶領三個人上山
[00:03:15.920 --> 00:03:18.760]  現在耶穌新的摩西這麼偉大的摩西
[00:03:18.760 --> 00:03:23.360]  也帶着三個門徒一起上山去
[00:03:23.360 --> 00:03:28.480]  他們的服裝是衣服放光極其潔白
[00:03:28.480 --> 00:03:30.120]  發光的衣服
[00:03:30.120 --> 00:03:33.400]  潔白的衣服是復活節的顏色
[00:03:33.400 --> 00:03:35.520]  這是一個復活的預演
[00:03:35.520 --> 00:03:36.520]  接着有一個道具
[00:03:36.520 --> 00:03:38.760]  有一個很巨大的道具
[00:03:38.760 --> 00:03:40.120]  一朵雲彩
[00:03:40.120 --> 00:03:42.000]  雲彩代表了聖靈
[00:03:42.000 --> 00:03:45.480]  是充滿聖靈的記號
[00:03:45.480 --> 00:03:47.280]  接着最後有一個聲響
[00:03:47.280 --> 00:03:48.400]  我的愛子
[00:03:48.400 --> 00:03:49.960]  這是我的愛子
[00:03:49.960 --> 00:03:52.400]  你們要聽從他
[00:03:52.400 --> 00:03:56.520]  上帝在引用詩篇第二篇
[00:03:56.520 --> 00:03:59.240]  講到這是我所揀選的君王
[00:03:59.240 --> 00:04:01.320]  現在我要差遣這個君王
[00:04:01.320 --> 00:04:03.040]  這是我的君王
[00:04:03.040 --> 00:04:05.840]  他要爲罪人賞十架
[00:04:05.840 --> 00:04:08.360]  他要爲罪人出空墳墓
[00:04:08.360 --> 00:04:12.720]  他要爲罪人成就了救恩
[00:04:12.720 --> 00:04:15.920]  這是劇場的題目
[00:04:15.920 --> 00:04:18.600]  是登山變象
[00:04:18.600 --> 00:04:24.400]  劇場的內容是壽死復活的預演
[00:04:24.400 --> 00:04:26.920]  如果上集是登山變象
[00:04:26.920 --> 00:04:28.240]  那麼下集是什麼呢
[00:04:28.240 --> 00:04:32.440]  下集就是下山趕鬼
[00:04:32.440 --> 00:04:37.040]  這裏的主角仍然是耶穌基督
[00:04:37.040 --> 00:04:38.560]  誰是配角呢
[00:04:38.560 --> 00:04:43.040]  原來那三個林紀就進升了變成了配角
[00:04:43.040 --> 00:04:46.200]  在這個劇場裏面的林紀
[00:04:46.200 --> 00:04:48.760]  突然間人數是多了很多的
[00:04:48.760 --> 00:04:51.160]  你會發現當中我們需要衆人
[00:04:51.160 --> 00:04:51.920]  有很多的人
[00:04:51.920 --> 00:04:55.080]  我們也需要有很多的民事
[00:04:55.080 --> 00:04:57.360]  可能幾個或者十幾個
[00:04:57.360 --> 00:05:00.680]  接着還有一對父童子
[00:05:00.680 --> 00:05:03.160]  但我想你留意的是那個佈景
[00:05:03.160 --> 00:05:05.200]  那個佈景再不是山上
[00:05:05.200 --> 00:05:07.240]  那個佈景是山下
[00:05:07.240 --> 00:05:10.400]  如果我真的去做這個舞臺劇的時候
[00:05:10.400 --> 00:05:13.600]  我還要有人噴一下妖氣
[00:05:13.600 --> 00:05:15.160]  當他們下去的時候
[00:05:15.160 --> 00:05:17.920]  不是單單是山上山下的問題
[00:05:17.920 --> 00:05:23.280]  而是當他們由山上那種榮光普照
[00:05:23.280 --> 00:05:25.160]  你記不記得在耶穌在上面的時候
[00:05:25.160 --> 00:05:28.560]  最終是榮光靈光的普照
[00:05:28.560 --> 00:05:32.160]  下去妖氣沖天
[00:05:32.160 --> 00:05:36.560]  在這個故事裏面的演技就有多一點點要求
[00:05:36.560 --> 00:05:39.760]  這個故事的演技需要有人很驚奇
[00:05:39.760 --> 00:05:42.000]  需要有人斥責
[00:05:42.000 --> 00:05:46.320]  需要有死而復生的表現
[00:05:46.320 --> 00:05:48.400]  接着在當中需要一些特技
[00:05:48.400 --> 00:05:51.320]  這個特技也是和鬼有一些關係的
[00:05:51.320 --> 00:05:53.080]  這個鬼需要大喊
