
[00:00:00.000 --> 00:00:03.000]  在開始靜悟之前,同心祈禱
[00:00:30.000 --> 00:00:36.000]  我們今天祈禱「仰望教託,祈求是奉教教主的耶穌聖名,阿們」
[00:00:36.000 --> 00:00:44.000]  按照教會的行事閱歷
[00:00:44.000 --> 00:00:47.000]  今天是感恩主日
[00:00:47.000 --> 00:00:53.000]  到底甚麼是感恩主日呢?
[00:00:53.000 --> 00:00:58.000]  為何要有感恩主日呢?
[00:01:00.000 --> 00:01:03.000]  我們也查問過這個問題
[00:01:03.000 --> 00:01:07.000]  有執事表達這是教會的傳統
[00:01:07.000 --> 00:01:11.000]  他小時候回來尖城的時候
[00:01:11.000 --> 00:01:17.000]  某某宣教士來到已經是很多年歷史了
[00:01:17.000 --> 00:01:20.000]  你又表達這是教會的傳統
[00:01:20.000 --> 00:01:26.000]  源自於來華的宣教士所設立優美的傳統
[00:01:27.000 --> 00:01:30.000]  為何要有感恩主日呢?
[00:01:30.000 --> 00:01:36.000]  原來與美國或加拿大的感恩節相關
[00:01:36.000 --> 00:01:45.000]  原來11月22日是美國第四個星期四
[00:01:45.000 --> 00:01:50.000]  感恩節是美國及加拿大全國的節日
[00:01:50.000 --> 00:01:56.000]  為了感謝神賜予一年豐收的祝福
[00:01:57.000 --> 00:02:01.000]  感恩節的流來有不同的說法
[00:02:01.000 --> 00:02:05.000]  其中有說法是1620年5月花號
[00:02:05.000 --> 00:02:11.000]  船滿載由英國受迫害的清教徒來到美洲
[00:02:11.000 --> 00:02:15.000]  第一年來到,飢寒交迫
[00:02:15.000 --> 00:02:20.000]  染病身亡,很多人凍死、病死、餓死
[00:02:21.000 --> 00:02:28.000]  在很悲慘的一年後
[00:02:28.000 --> 00:02:31.000]  在印第安人的幫助下
[00:02:31.000 --> 00:02:35.000]  這班新移民學會了狩獵
[00:02:35.000 --> 00:02:39.000]  種玉米、南瓜
[00:02:39.000 --> 00:02:48.000]  登陸了美國第二年來一次的豐收
[00:02:49.000 --> 00:02:52.000]  他們邀請印第安人來慶祝
[00:02:52.000 --> 00:02:54.000]  感謝他們的幫忙
[00:02:54.000 --> 00:03:00.000]  簡單來說是向上主所施以的心存感恩
[00:03:00.000 --> 00:03:03.000]  亦肯定前人的努力
[00:03:03.000 --> 00:03:06.000]  大家有沒有留意到新聞
[00:03:06.000 --> 00:03:15.000]  今年11月11日是第一次世界大戰結束100週年
[00:03:16.000 --> 00:03:20.000]  有70多名國家領袖和代表
[00:03:20.000 --> 00:03:24.000]  來到法國的巴黎海船門出席紀念儀式
[00:03:24.000 --> 00:03:27.000]  包括法國總統馬克龍
[00:03:27.000 --> 00:03:29.000]  德國總理默克爾
[00:03:29.000 --> 00:03:32.000]  俄羅斯總統普京等等
[00:03:32.000 --> 00:03:36.000]  法國總統馬克龍發表演說
[00:03:36.000 --> 00:03:43.000]  呼籲各國領袖不要忘記第一次世界的教訓
[00:03:44.000 --> 00:03:51.000]  我們讓石頭說不要忘記
[00:03:51.000 --> 00:03:56.000]  當我們看到自己的利益優先
[00:03:56.000 --> 00:03:59.000]  不再理會其他人的時間
[00:03:59.000 --> 00:04:05.000]  我們正是抹去國家寶貴和偉大的元素
[00:04:05.000 --> 00:04:10.000]  更重要的是令國家失去道德價值
[00:04:11.000 --> 00:04:15.000]  這正正是第一次世界大戰的源起
[00:04:15.000 --> 00:04:18.000]  當時的各國領袖只是看到自己
[00:04:18.000 --> 00:04:24.000]  只是覺得去贏有機會在短時間內打倒對方
[00:04:24.000 --> 00:04:28.000]  是一個沒有充分考慮
[00:04:28.000 --> 00:04:33.000]  亦是在很匆忙之中無端端打了一場世界大戰
[00:04:33.000 --> 00:04:35.000]  而吃了不少的癮
[00:04:35.000 --> 00:04:39.000]  我們11月11日在香港同樣有紀念的活動
[00:04:40.000 --> 00:04:43.000]  英國皇家軍團香港和中國的分部
[00:04:43.000 --> 00:04:46.000]  香港的退伍軍人聯會
