
[00:00:00.000 --> 00:00:01.720]  各位頂智慧平安
[00:00:01.720 --> 00:00:05.680]  今早能夠平安回到教會崇拜
[00:00:05.680 --> 00:00:07.680]  的確是因典
[00:00:07.680 --> 00:00:11.840]  大家回來的時候都會感受到今日的寒風很厲害
[00:00:11.840 --> 00:00:13.600]  我剛才走回來的時候
[00:00:13.600 --> 00:00:16.800]  都經過這個近海闢的地方
[00:00:16.800 --> 00:00:21.360]  都覺得好像沒試過今年這麼冷的一個早上
[00:00:21.360 --> 00:00:27.000]  但是回來的時候,我見到師班已經列席在外面
[00:00:27.000 --> 00:00:29.960]  心裡馬上有種溫暖的感覺
[00:00:30.240 --> 00:00:32.440]  見到很多頂智慧一起齊集
[00:00:32.440 --> 00:00:36.320]  願意付代價,在清神道主的面前敬拜
[00:00:36.320 --> 00:00:40.320]  我為大家感恩,也向神經上感恩
[00:00:40.320 --> 00:00:44.760]  好不好,你也給個溫暖的笑容給你旁邊的頂智慧
[00:00:44.760 --> 00:00:47.000]  感謝神,我們一起可以敬拜神
[00:00:47.000 --> 00:00:55.400]  感謝神,我們可以一起敬拜神
[00:00:55.400 --> 00:00:59.240]  我們再一起同心我們祈禱,再把時間交給主
[00:01:01.000 --> 00:01:03.800]  親愛的主,我們感謝祢
[00:01:03.800 --> 00:01:10.280]  我們知道有健康,有氣息,能夠到祢面前敬拜
[00:01:10.280 --> 00:01:12.280]  主啊,不是必然的
[00:01:12.280 --> 00:01:16.280]  是因為祢的恩惠,我們可以到祢跟前
[00:01:16.280 --> 00:01:21.280]  更加因為祢愛子耶穌基督給我們的拯救
[00:01:21.280 --> 00:01:24.280]  以致我們今天可以坦然到祢面前
[00:01:24.280 --> 00:01:28.280]  我們稱祢為阿爸父,我們可以敬拜祢
[00:01:28.280 --> 00:01:30.280]  我們感謝祢
[00:01:30.280 --> 00:01:34.280]  我們如今到祢面前來,我們同心向主仰望
[00:01:34.280 --> 00:01:38.280]  主啊,求祢賜下天上的瑪拿
[00:01:38.280 --> 00:01:42.280]  祢讓我們生命得著祢自己的飽足
[00:01:42.280 --> 00:01:45.280]  因為我們知道如果不是祢的說話
[00:01:45.280 --> 00:01:49.280]  我們就沒有能力,我們就不可以跟隨
[00:01:49.280 --> 00:01:52.280]  所以主,今天早上當我們敬拜祢的時候
[00:01:52.280 --> 00:01:56.280]  求祢藉著祢寶貴的聖靈賜下祢的恩言
[00:01:56.280 --> 00:01:59.280]  讓我們生命領受滿足
[00:01:59.280 --> 00:02:01.280]  我們仰望祈禱
[00:02:01.280 --> 00:02:05.280]  奉耶穌基督聖名求,阿們
[00:02:05.280 --> 00:02:10.280]  我們今天繼續思想回聖經上一書裡面的第五章經文
[00:02:10.280 --> 00:02:12.280]  聖經裡面特別提到
[00:02:12.280 --> 00:02:15.280]  聖歌世界的是誰呢?
[00:02:15.280 --> 00:02:20.280]  我記得我在早幾個月在其他唐僧拜提及一件事情
