
[00:00:00.000 --> 00:00:08.000]  首先,我們來看看這對的雙胞胎。
[00:00:08.000 --> 00:00:14.000]  這對的雙胞胎是聖經中非常著名的,
[00:00:14.000 --> 00:00:18.000]  甚至不光是猶太人知道這個事情,
[00:00:18.000 --> 00:00:23.000]  全世界最少有一半的人聽過這個故事的。
[00:00:23.000 --> 00:00:25.000]  原因在哪裏?
[00:00:25.000 --> 00:00:34.000]  因爲所有天主教的人、東正教的人、基督教的人都從聖經看過他們的故事。
[00:00:34.000 --> 00:00:44.000]  第二,所有讀過可南經的人都從可南經的當中看過他們的故事。
[00:00:44.000 --> 00:00:54.000]  那到底信奉回教的、伊斯蘭教的、讀可南經的人跟讀聖經的人一共有多少人呢?
[00:00:54.000 --> 00:00:59.000]  最粗略的估計,最少一半人。
[00:00:59.000 --> 00:01:02.000]  他們都非常清楚這個故事。
[00:01:02.000 --> 00:01:06.000]  這個雙胞胎就是以掃根亞各的故事。
[00:01:06.000 --> 00:01:11.000]  出生的時間已經各不相讓,
[00:01:11.000 --> 00:01:15.000]  那個弟弟已經要抓住這個哥哥的腳跟,
[00:01:15.000 --> 00:01:17.000]  不讓他先出,要自己先出。
[00:01:17.000 --> 00:01:21.000]  是這樣子的,baby而已,已經有這個症。
[00:01:21.000 --> 00:01:24.000]  結果繼續成長的過程當中,
[00:01:24.000 --> 00:01:29.000]  發現他們當中出了一個令到人更加頭痛的事情,
[00:01:29.000 --> 00:01:31.000]  就是父母的偏愛。
[00:01:31.000 --> 00:01:37.000]  父親偏愛哥哥,母親偏愛弟弟,
[00:01:37.000 --> 00:01:44.000]  帶來的結果就成爲這個家家善人亡的一個開始。
[00:01:44.000 --> 00:01:46.000]  雅各這個弟弟,
[00:01:46.000 --> 00:01:53.000]  用他的狡忌、詭計,騙了他的哥哥長子的名分。
[00:01:53.000 --> 00:01:56.000]  第二個方面,也通過母親的合作,
[00:01:56.000 --> 00:02:00.000]  騙這個父親,得到了父親的祝福。
[00:02:00.000 --> 00:02:04.000]  而這個事情暴露出來以後,
[00:02:04.000 --> 00:02:08.000]  他的哥哥以掃恨之入骨,
[00:02:08.000 --> 00:02:11.000]  在那個時間已經非常清楚地講明,
[00:02:11.000 --> 00:02:16.000]  在父親死掉那一天,沮喪那一日,
[00:02:16.000 --> 00:02:20.000]  他必定會取他弟弟的性命。
[00:02:20.000 --> 00:02:26.000]  因爲這個緣故,他們的母親知道這個事情,
[00:02:26.000 --> 00:02:31.000]  就叫雅各有那麼快,就那麼快離開這個家,
[00:02:31.000 --> 00:02:34.000]  到他的舅舅那個地方去。
