
[00:00:00.000 --> 00:00:14.000]  我們先有一個等候的心,來到神的面前仰望祂,施恩,幫助我們,我們同心禱告。
[00:00:14.000 --> 00:00:23.000]  親愛的主耶穌,多謝祢透過聖經的話語,經常在祢的教會裏面,透過祢的僕人來宣講,
[00:00:23.000 --> 00:00:35.000]  讓我們能夠聽到祢的聲音,讓我們能夠有一個開放,信心的心靈去接受祢的話語,
[00:00:35.000 --> 00:00:47.000]  求主祢的聖靈,大大的臨在,加力,讓我們真的能夠在疲乏,軟弱的處境裏面,
[00:00:47.000 --> 00:00:57.000]  再一次聽到祢寶貴的福音,一個使人可以得安息的福音,求祢繼續的幫助,
[00:00:57.000 --> 00:01:05.000]  使用孩子無用的僕人來作為祢自己的器皿,祈禱奉基督耶穌聖名。
[00:01:05.000 --> 00:01:17.000]  今日我們的訊息是人性的福音,我們先讀一讀今日的經文。
[00:01:35.000 --> 00:01:57.000]  這句是很好的訊息,特別我們很多人信耶穌的時候,都是聽到這句很安慰的訊息,來親近耶穌。
[00:01:57.000 --> 00:02:11.000]  香港人其實是一些很勤力的人來的,你留心世界各地,特別歐洲那些地方,他們上班五天,四天,現在聽說是六個小時。
[00:02:11.000 --> 00:02:26.000]  但是香港人上班是很重要的,我們記得前年山竹襲港之後,那些樹倒到路上走不到,都是要上班的。
[00:02:26.000 --> 00:02:40.000]  記不記得那個海報,那個很無助的人站在那些大樹爛木的旁邊,他的唯一的想法就是要上班的。
[00:02:40.000 --> 00:02:49.000]  當你沒有路,當你地鐵甚至都駛不到的時候,香港人都是要上班的。
[00:02:49.000 --> 00:03:08.000]  為什麼我們那麼勤力呢?因為我們背了很多債在身,香港人作為一個父親,我會感覺到兒女的確養大一個要四百萬,現在不知道值不值。
[00:03:08.000 --> 00:03:22.000]  一生兒女債,半世,這句我們不敢說,我太太在不在,好像今天不在,在不在,對不起,看不到你。
[00:03:22.000 --> 00:03:37.000]  這句肯定是一個丈夫寫的,因為他真的感覺到很大的重擔,對香港人來說可能是一生扭債,半世就扭牢,的確我們有太多的負擔。
[00:03:37.000 --> 00:03:52.000]  所以無債真是一生輕,耶穌基督的這句話,我們負重擔的人如果跟隨了他,是不是完全的得自由呢?
[00:03:52.000 --> 00:04:12.000]  是的,但是你留心一下,當你留心看,不是我們將所有的東西都給了耶穌,對不起,你要負我的額,那就糟糕了。
