
[00:00:00.000 --> 00:00:02.420]  新的一年
[00:00:02.420 --> 00:00:09.480]  讓我們可以在主的說話裏面有新的啟示
[00:00:09.480 --> 00:00:11.080]  有主的話語
[00:00:11.080 --> 00:00:13.920]  讓在耶穌的經歷裏面
[00:00:13.920 --> 00:00:17.720]  成為我們一個榜樣、一個學習
[00:00:17.720 --> 00:00:24.200]  今天跟大家想分享的訊息
[00:00:24.200 --> 00:00:29.040]  主題叫做「釋放生命傳耶穌」
[00:00:29.040 --> 00:00:37.040]  我覺得這個主題和今天大家的狀況很合適
[00:00:37.040 --> 00:00:41.120]  最合適的是在主的說話裏面
[00:00:41.120 --> 00:00:43.120]  我們的生命要被釋放
[00:00:43.120 --> 00:00:50.120]  釋放生命好像是在說一個向導
[00:00:50.120 --> 00:00:53.520]  就是要釋放別人的生命
[00:00:53.520 --> 00:00:55.040]  我要釋放生命
[00:00:55.040 --> 00:00:57.040]  我要去釋放生命
[00:00:57.040 --> 00:01:00.040]  另外一個向導反過來看
[00:01:00.040 --> 00:01:03.040]  生命釋放傳耶穌
[00:01:03.040 --> 00:01:08.040]  生命釋放似乎將向導回到我自己身上
[00:01:08.040 --> 00:01:12.040]  我的生命是否需要被釋放呢?
[00:01:12.040 --> 00:01:18.040]  我的生命可以在主的裏面怎樣被釋放呢?
[00:01:18.040 --> 00:01:21.040]  當我的生命被釋放的時候
[00:01:21.040 --> 00:01:25.040]  我相信我們都可以去傳耶穌
[00:01:25.040 --> 00:01:28.040]  去述說神的恩典
[00:01:28.040 --> 00:01:33.040]  有句說話是「心靈原意,肉體卻是軟弱」
[00:01:33.040 --> 00:01:36.040]  我們都很想去回應主
[00:01:36.040 --> 00:01:40.040]  我們很想見到別人的生命得著釋放
[00:01:40.040 --> 00:01:42.040]  不過很多時候
[00:01:42.040 --> 00:01:45.040]  我們的生命好像不能釋放的時候
[00:01:45.040 --> 00:01:50.040]  我們就很難去做到使人得釋放的一個人
[00:01:50.040 --> 00:01:56.040]  在預備的時候我看到一句說話很有感覺
[00:01:56.040 --> 00:01:58.040]  這句說話是這樣說的
[00:01:58.040 --> 00:02:06.040]  「謊言重覆一千遍,也不會成為真理
[00:02:06.040 --> 00:02:12.040]  但謊言如果重覆一千遍而又不許別人拆穿
[00:02:12.040 --> 00:02:17.040]  許多人就會把它當成真理」
[00:02:17.040 --> 00:02:20.040]  這句說話很有意思
[00:02:20.040 --> 00:02:22.040]  當我看這句說話的時候
[00:02:22.040 --> 00:02:25.040]  我就想起耶穌說的話
[00:02:25.040 --> 00:02:30.040]  耶穌說祂對魔鬼有一個評論
[00:02:30.040 --> 00:02:33.040]  有一個表述
[00:02:33.040 --> 00:02:35.040]  魔鬼是甚麼人呢?
[00:02:35.040 --> 00:02:38.040]  祂是說方者之父
[00:02:38.040 --> 00:02:40.040]  祂是說謊的
[00:02:40.040 --> 00:02:42.040]  想想如果魔鬼的謊言
[00:02:42.040 --> 00:02:44.040]  不要說人的謊言
[00:02:44.040 --> 00:02:47.040]  人的謊言 這句說話也是對的
[00:02:47.040 --> 00:02:49.040]  因為這句說話是一個人說的
[00:02:49.040 --> 00:02:51.040]  甚麼人說的呢?
[00:02:51.040 --> 00:02:54.040]  原來祂是納粹
[00:02:54.040 --> 00:02:57.040]  德國納粹黨宣傳部長
[00:02:57.040 --> 00:02:58.040]  更加有意思
[00:02:58.040 --> 00:03:00.040]  宣傳部長
[00:03:00.040 --> 00:03:01.040]  說很多謊言
[00:03:01.040 --> 00:03:03.040]  不過人的謊言背後
[00:03:03.040 --> 00:03:07.040]  有一個更大的主謀
[00:03:07.040 --> 00:03:09.040]  我相信是魔鬼
[00:03:09.040 --> 00:03:11.040]  魔鬼是說方者之父
[00:03:11.040 --> 00:03:15.040]  今天我們說我們的生命能否釋放
[00:03:15.040 --> 00:03:18.040]  我覺得和魔鬼的謊言很有關係
[00:03:18.040 --> 00:03:20.040]  祝福你們新的一年
[00:03:20.040 --> 00:03:23.040]  我們都可以因著神的說話
[00:03:23.040 --> 00:03:25.040]  求主光照我們
[00:03:25.040 --> 00:03:29.040]  拆穿很多從魔鬼而來的謊言
[00:03:29.040 --> 00:03:30.040]  那些說話不行了
[00:03:30.040 --> 00:03:31.040]  沒辦法了
[00:03:31.040 --> 00:03:32.040]  不行了
[00:03:32.040 --> 00:03:34.040]  是這樣的了
[00:03:34.040 --> 00:03:36.040]  這些可能都是謊言
[00:03:36.040 --> 00:03:39.040]  因為在耶穌裡面沒有難成的事
[00:03:39.040 --> 00:03:42.040]  在主裡面沒有不可能的事
[00:03:42.040 --> 00:03:45.040]  因為神來見我們得豐盛的生命
[00:03:45.040 --> 00:03:48.040]  今天都很想透過一段事蹟
[00:03:48.040 --> 00:03:54.040]  這個事蹟就是在路加福音8章26至39節
[00:03:54.040 --> 00:03:57.040]  一個大家可能很熟悉的故事
[00:03:57.040 --> 00:04:00.040]  耶穌去到加拉森去趕鬼
[00:04:00.040 --> 00:04:03.040]  這段經文我很熟悉
[00:04:03.040 --> 00:04:06.040]  我記得很久之前
[00:04:06.040 --> 00:04:07.040]  幾十年前
[00:04:07.040 --> 00:04:11.040]  我在神學院的神學醫室
[00:04:11.040 --> 00:04:14.040]  有一位導師帶我讀這段聖經
[00:04:14.040 --> 00:04:16.040]  知不知道是誰
[00:04:16.040 --> 00:04:19.040]  我剛剛看到前面
[00:04:19.040 --> 00:04:27.040]  想起當時志宏哥帶我們查這段經文
[00:04:27.040 --> 00:04:29.040]  幾十年前
[00:04:29.040 --> 00:04:30.040]  很熟悉的經文
[00:04:30.040 --> 00:04:32.040]  不過今天再看的時候
