
[00:00:00.000 --> 00:00:04.040]  先和大家分享幾個有趣的調查數字
[00:00:04.040 --> 00:00:07.640]  先和大家分享一個有趣的調查數字
[00:00:07.640 --> 00:00:09.320]  看看大家有什麼感想
[00:00:09.320 --> 00:00:10.960]  看大家有什麼感想
[00:00:10.960 --> 00:00:14.880]  按照2018年政府公佈的數字
[00:00:14.880 --> 00:00:17.760]  按照2018年政府統計所公佈的數字
[00:00:17.760 --> 00:00:21.680]  男性的平均收入大概是19,900元
[00:00:21.680 --> 00:00:25.160]  男性的平均工資是綜維數是19,900元
[00:00:25.160 --> 00:00:27.080]  女性是15,300元
[00:00:27.080 --> 00:00:28.520]  女性是15,300元
[00:00:28.520 --> 00:00:31.200]  收入是佔全球第23位
[00:00:31.200 --> 00:00:33.840]  收入是佔全球第23位
[00:00:33.840 --> 00:00:39.480]  第二組數字是香港人的人均壽命已經升到全球最高
[00:00:39.480 --> 00:00:44.240]  第二組數字是香港人平均壽命升到全球第一位
[00:00:44.240 --> 00:00:48.320]  女性平均年齡是87.66歲
[00:00:48.320 --> 00:00:50.840]  女性平均年齡是87.66歲
[00:00:50.840 --> 00:00:52.760]  男性是81.7歲
[00:00:52.760 --> 00:00:54.400]  男性是81.7歲
[00:00:54.400 --> 00:00:58.400]  第三組數字是香港人快樂指數下跌了5位
[00:00:58.400 --> 00:01:01.160]  第三組數字是香港人快樂指數下跌了5位
[00:01:01.160 --> 00:01:02.880]  排名全球第76位
[00:01:02.880 --> 00:01:04.920]  排名全球第76位
[00:01:04.920 --> 00:01:07.480]  那個情況比很多戰亂國家還差
[00:01:07.480 --> 00:01:10.920]  這個數字比許多戰亂國家還差
[00:01:10.920 --> 00:01:14.040]  如果加上今年的6月可能再跌多10位
[00:01:14.040 --> 00:01:17.240]  如果加上今年的6月也許那個數字跌得更差
[00:01:17.240 --> 00:01:20.400]  如果將這三組數字合併在一起的話
[00:01:20.400 --> 00:01:22.600]  如果把這三組數字合併在一起的話
[00:01:22.600 --> 00:01:24.120]  香港人賺到錢
[00:01:24.120 --> 00:01:25.120]  香港人賺到錢
[00:01:25.120 --> 00:01:25.920]  很長壽
[00:01:25.920 --> 00:01:26.640]  長壽
[00:01:26.640 --> 00:01:27.760]  但是生活不快樂
[00:01:27.760 --> 00:01:28.840]  但生活並不快樂
[00:01:28.840 --> 00:01:30.200]  這是一幅甚麼圖畫呢
[00:01:30.200 --> 00:01:31.920]  這是甚麼畫面呢
[00:01:31.920 --> 00:01:35.360]  又有錢又長壽又不開心
[00:01:35.360 --> 00:01:37.960]  有錢長壽可是生活不快樂
[00:01:37.960 --> 00:01:39.960]  這是祝福還是折磨呢
[00:01:39.960 --> 00:01:41.720]  究竟這是祝福還是折磨呢
[00:01:41.720 --> 00:01:43.400]  所以我很羨慕何牧師
[00:01:43.400 --> 00:01:44.960]  所以我很羨慕何牧師
[00:01:44.960 --> 00:01:45.920]  有錢
[00:01:45.920 --> 00:01:46.600]  有錢
[00:01:46.600 --> 00:01:47.240]  長壽
[00:01:47.240 --> 00:01:47.840]  長壽
[00:01:47.840 --> 00:01:48.840]  經常去旅行
[00:01:48.840 --> 00:01:49.960]  常常去旅行
[00:01:49.960 --> 00:01:51.640]  這是少數香港人
[00:01:51.640 --> 00:01:53.560]  這是少數香港人所享受的
[00:01:53.560 --> 00:01:56.480]  如果我們面對有錢又長壽又不開心
[00:01:56.480 --> 00:01:57.960]  我們怎樣解決這個局面呢
[00:01:57.960 --> 00:01:59.240]  如果我們一個人面對
[00:01:59.240 --> 00:02:00.440]  既有錢又長壽
[00:02:00.440 --> 00:02:01.360]  可是生活不快樂
[00:02:01.360 --> 00:02:02.760]  我們究竟是甚麼局面呢
[00:02:02.760 --> 00:02:04.560]  有人說比錢更富足
[00:02:04.560 --> 00:02:07.200]  有幾段說話是需要大家要知道的
[00:02:07.200 --> 00:02:09.120]  有人說比有錢更富足
[00:02:09.120 --> 00:02:10.800]  以下有七段說話
[00:02:10.800 --> 00:02:12.160]  大家要了解
[00:02:12.160 --> 00:02:13.280]  第一句說話就是說
[00:02:13.280 --> 00:02:15.200]  如果你比貧窮更難
[00:02:15.200 --> 00:02:16.200]  就是給了錢你
[00:02:16.200 --> 00:02:17.800]  你都仍然是那個人
[00:02:17.800 --> 00:02:20.120]  一句話是比貧窮更難
[00:02:20.120 --> 00:02:21.440]  而給你是財富的話
[00:02:21.440 --> 00:02:22.800]  你仍然是原來那個人
[00:02:22.800 --> 00:02:24.480]  就是說你的本質沒有變
[00:02:24.480 --> 00:02:25.480]  增加財富
[00:02:25.480 --> 00:02:26.960]  你可能是一個災難
[00:02:26.960 --> 00:02:28.080]  如果你本質不變的話
[00:02:28.080 --> 00:02:30.040]  增加財富你這是一個災難
[00:02:30.040 --> 00:02:30.800]  第二個就是說
[00:02:30.800 --> 00:02:32.240]  你學會賺錢之後
[00:02:32.240 --> 00:02:34.240]  你要怎樣去懂得用錢
[00:02:34.240 --> 00:02:35.600]  不要做錢的奴隸
[00:02:35.600 --> 00:02:36.960]  第二句話是
[00:02:36.960 --> 00:02:38.680]  學會怎樣去賺錢以後
[00:02:38.680 --> 00:02:41.320]  下一步是你要學習怎樣使用錢
[00:02:41.320 --> 00:02:42.760]  而不是成為錢的奴隸
[00:02:42.760 --> 00:02:47.000]  要賺給錢更有用的東西
[00:02:47.000 --> 00:02:49.520]  當你人生低潮的時候
[00:02:49.520 --> 00:02:52.760]  你就知道賺來的錢才不是你的
[00:02:52.760 --> 00:02:54.240]  要賺得比錢更有用的東西
[00:02:54.240 --> 00:02:56.040]  當你人生身處一個低潮的時候
[00:02:56.040 --> 00:02:57.840]  你會覺得這些錢並不是你的
[00:02:57.840 --> 00:02:59.480]  另外有幾句話就是說
[00:02:59.480 --> 00:03:02.920]  當你總是為自己積累很多財富的時候
[00:03:02.920 --> 00:03:05.120]  查一查天上的戶口是不是空的
[00:03:05.120 --> 00:03:05.760]  另外一句話是
[00:03:05.760 --> 00:03:07.320]  當你在地上積累很多錢的話
[00:03:07.320 --> 00:03:10.320]  你要查一查天上的帳戶是不是你的
[00:03:10.320 --> 00:03:12.720]  活出地上的價值
[00:03:12.720 --> 00:03:15.760]  比用肝換一張支票更富足
[00:03:15.760 --> 00:03:17.880]  然後活出你在地上的價值
[00:03:17.880 --> 00:03:19.880]  是比用肝換一張支票更值得
[00:03:19.880 --> 00:03:21.360]  意思是說你賺到錢
[00:03:21.360 --> 00:03:23.480]  賠償自己的生命有什麼益處呢
[00:03:23.480 --> 00:03:24.760]  意思是說如果賺到錢
[00:03:24.760 --> 00:03:26.520]  可是賠償你的生命那又如何呢
[00:03:26.520 --> 00:03:28.320]  他說用錢來結交朋友
[00:03:28.320 --> 00:03:31.000]  和送一些錢都買不到的東西
[00:03:31.000 --> 00:03:33.200]  這些人才是真正有用的人
[00:03:33.200 --> 00:03:35.000]  如果用錢來去結交朋友
[00:03:35.000 --> 00:03:39.640]  把錢送給一些錢買不到的事物的話
[00:03:39.640 --> 00:03:41.280]  那個人才算是精靈的人
[00:03:41.280 --> 00:03:44.040]  真正富足的人就是當他一無所有
[00:03:44.040 --> 00:03:47.160]  然後才顯出他裡面究竟有些什麼
[00:03:47.160 --> 00:03:50.440]  真正富足的人他外面是一無所有的
[00:03:50.440 --> 00:03:53.480]  這種人我們可以看出他裡面是什麼都沒有
[00:03:53.480 --> 00:03:58.800]  今天早上的經文是討論我們怎樣去處理財富
[00:03:58.800 --> 00:04:00.240]  今天早上的經文是跟大家討論
[00:04:00.240 --> 00:04:02.080]  我們如何去管理我們的財富
[00:04:02.080 --> 00:04:03.560]  一個最基本的問題
[00:04:03.560 --> 00:04:06.320]  聖經是不是提倡仇富呢
[00:04:06.320 --> 00:04:10.200]  一個最基本的問題是你是否去提倡從富
[00:04:10.200 --> 00:04:11.680]  我們看看經文怎麼說
[00:04:11.680 --> 00:04:13.720]  雅各書五章一節這麼說
[00:04:13.720 --> 00:04:17.280]  害你們這些富足的人應當哭泣嚎啕
[00:04:17.280 --> 00:04:19.200]  因為將有苦難臨到你們身上
[00:04:19.200 --> 00:04:21.200]  有另一段經文也這麼說
[00:04:21.200 --> 00:04:22.560]  下一段經文有這麼說
[00:04:22.560 --> 00:04:26.120]  貪才是萬惡之根
[00:04:26.120 --> 00:04:28.800]  似乎如果從這兩段經文去看
[00:04:28.800 --> 00:04:32.320]  聖經好像是對一些有錢的人不太友善
[00:04:32.320 --> 00:04:34.120]  師父我們從這兩段經文來看
[00:04:34.120 --> 00:04:36.280]  聖經對於那些有錢人是不太友善的
[00:04:36.280 --> 00:04:38.000]  但如果同樣你讀回聖經
[00:04:38.000 --> 00:04:39.880]  聖經也有很多有錢人的
[00:04:39.880 --> 00:04:41.640]  不過大家回到聖經裡面看的話
[00:04:41.640 --> 00:04:43.120]  聖經確實裡面記載很多有錢人
[00:04:43.120 --> 00:04:44.160]  如果用今天的標準
[00:04:44.160 --> 00:04:46.280]  阿伯拉罕應該是億萬富翁
[00:04:46.280 --> 00:04:47.400]  不過用今天的標準
[00:04:47.400 --> 00:04:49.400]  阿伯拉罕是億萬富翁
[00:04:49.400 --> 00:04:52.000]  約伯當時也是富甲一方
[00:04:52.000 --> 00:04:54.640]  約伯在當時是富甲一方
[00:04:54.640 --> 00:04:58.640]  大魏和所羅門王累積的財富也非常龐大
[00:04:58.640 --> 00:05:02.520]  大魏和所羅門王所累積的財富相當多
[00:05:02.520 --> 00:05:05.760]  到了新約巴拿巴也賺了很多錢
[00:05:05.760 --> 00:05:10.720]  慷慨地捐出這些錢來資助教會的事工
[00:05:10.720 --> 00:05:12.840]  到了新約巴拿巴他賺了很多錢
[00:05:12.840 --> 00:05:15.600]  他把這些錢奉獻給教會
[00:05:15.600 --> 00:05:19.640]  亞歷馬泰約瑟也把自己擁有的墳墓
[00:05:19.640 --> 00:05:22.000]  讓給耶穌埋葬
[00:05:22.000 --> 00:05:24.560]  亞歷馬泰約瑟把自己的墳墓讓給耶穌
[00:05:24.560 --> 00:05:25.920]  讓耶穌在那邊下葬
[00:05:25.920 --> 00:05:29.160]  似乎上帝沒有因為這些人的財富
[00:05:29.160 --> 00:05:31.880]  對他們有太多的指責
[00:05:31.880 --> 00:05:33.560]  似乎聖經裡面記載說
[00:05:33.560 --> 00:05:35.120]  耶穌對這些有錢的人
[00:05:35.120 --> 00:05:37.080]  上帝沒有太多的指責
[00:05:37.080 --> 00:05:39.840]  只要我們懂得怎樣去運用這些財富
[00:05:39.840 --> 00:05:41.600]  其實這個是上帝的祝福
[00:05:41.600 --> 00:05:44.080]  如果我們懂得去好好運用這些財富
[00:05:44.080 --> 00:05:45.600]  換來的是祝福
[00:05:45.600 --> 00:05:47.560]  其實新約的時代跟今天一樣
[00:05:47.560 --> 00:05:49.680]  貧富懸殊很厲害
[00:05:49.680 --> 00:05:52.440]  其實新約時代和現在的時代都是一樣
[00:05:52.440 --> 00:05:53.680]  是貧富懸殊的時代
[00:05:53.680 --> 00:05:56.400]  當時更甚還有這些奴隸的制度
[00:05:56.400 --> 00:05:58.200]  當時有更多的是奴隸的資助
[00:05:58.200 --> 00:06:03.160]  所以一個貧富懸殊的體制之下
[00:06:03.160 --> 00:06:05.800]  有錢人累積的財富就越來越多
[00:06:05.800 --> 00:06:07.120]  窮人就越來越窮
[00:06:07.120 --> 00:06:09.120]  如果在貧富懸殊的制度之下
[00:06:09.120 --> 00:06:10.320]  窮人累積越來越多
[00:06:10.320 --> 00:06:12.000]  有錢人積攢的錢才會越來越多
[00:06:12.000 --> 00:06:15.880]  所以有錢人不斷剝削這些窮人和奴隸
[00:06:15.880 --> 00:06:17.280]  來累積他們的財富
