
[00:00:00.000 --> 00:00:01.120]  今天是聖誕主日
[00:00:01.120 --> 00:00:02.920]  在這裡首先恭賀大家
[00:00:02.920 --> 00:00:05.040]  聖誕節非常非常非常快樂
[00:00:05.040 --> 00:00:06.040]  Amen
[00:00:06.040 --> 00:00:07.480]  Hallelujah
[00:00:07.480 --> 00:00:11.320]  聖誕節是一個充滿歡樂的一個季節
[00:00:11.320 --> 00:00:13.560]  到處充滿了歡樂的歌聲
[00:00:13.560 --> 00:00:16.560]  到處也充滿了美麗的裝飾
[00:00:16.560 --> 00:00:18.560]  我想你是不必到Santana Road
[00:00:18.560 --> 00:00:19.880]  才看見美麗的燈飾
[00:00:19.880 --> 00:00:23.080]  到我們教會就非常美麗了
[00:00:23.080 --> 00:00:25.080]  我們教會白天美麗
[00:00:25.080 --> 00:00:28.080]  晚上夜景更加美麗
[00:00:28.080 --> 00:00:29.160]  晴天美麗
[00:00:29.160 --> 00:00:31.840]  雨天更加美麗
[00:00:31.840 --> 00:00:33.200]  你晚上來照相
[00:00:33.200 --> 00:00:35.520]  真的地上的倒影
[00:00:35.520 --> 00:00:36.560]  跟著建築物加起來
[00:00:36.560 --> 00:00:37.080]  哇
[00:00:37.080 --> 00:00:39.120]  我告訴你絕對可以上所有的月曆的
[00:00:39.120 --> 00:00:40.920]  我告訴你
[00:00:40.920 --> 00:00:43.440]  所以如果你這兩天沒什麼特別的事情
[00:00:43.440 --> 00:00:45.160]  晚上特別
[00:00:45.160 --> 00:00:46.520]  Special trip
[00:00:46.520 --> 00:00:48.280]  到教會照個相吧
[00:00:48.280 --> 00:00:49.240]  很難得
[00:00:49.240 --> 00:00:50.720]  你平常只有白天來
[00:00:50.720 --> 00:00:51.880]  晚上很難得
[00:00:51.880 --> 00:00:53.320]  聖誕夜太多人
[00:00:53.320 --> 00:00:54.240]  很難照相
[00:00:54.240 --> 00:00:56.680]  你就是平常有機會就來
[00:00:56.680 --> 00:00:57.720]  我們看見
[00:00:57.720 --> 00:01:00.640]  聖誕節真的是一個充滿歡樂的季節
[00:01:00.640 --> 00:01:02.720]  你知道每一次
[00:01:02.720 --> 00:01:04.320]  我想到聖誕的故事
[00:01:04.320 --> 00:01:06.960]  我都覺得真的何等的奇妙
[00:01:06.960 --> 00:01:08.120]  不是嗎
[00:01:08.120 --> 00:01:09.560]  這位全能的神
[00:01:09.560 --> 00:01:13.520]  創造宇宙萬有的真神
[00:01:13.520 --> 00:01:17.120]  竟然為了愛我們的緣故
[00:01:17.120 --> 00:01:19.240]  為了要將我們從罪惡的
[00:01:19.240 --> 00:01:23.400]  困鎖瑕疵裡面拯救出來
[00:01:23.400 --> 00:01:26.600]  祂甚至樂意拆遣祂的獨生愛子
[00:01:26.600 --> 00:01:29.720]  耶穌基督來到這個世界
[00:01:29.720 --> 00:01:31.440]  而耶穌來到這個世界的時候
[00:01:31.440 --> 00:01:34.240]  也沒有降生在我們所以為
[00:01:34.240 --> 00:01:37.160]  祂應該降生的王宮的裡面
[00:01:37.160 --> 00:01:41.600]  反而祂選擇降生在馬槽裡
[00:01:41.600 --> 00:01:43.800]  馬槽是什麼地方
[00:01:43.800 --> 00:01:45.960]  那是一個平凡到
[00:01:45.960 --> 00:01:48.280]  不能夠再平凡的地方
[00:01:48.280 --> 00:01:51.160]  在當時你找不到任何一個地方
[00:01:51.160 --> 00:01:53.600]  是比馬槽更加平凡
[00:01:53.600 --> 00:01:57.120]  家家戶戶都有一個馬槽
[00:01:57.120 --> 00:01:57.920]  換句話說
[00:01:57.920 --> 00:02:02.880]  耶穌正是為每一位平凡的人而來的
[00:02:02.880 --> 00:02:04.040]  Amen
[00:02:04.040 --> 00:02:07.000]  所以今天如果在茫茫人海當中
[00:02:07.000 --> 00:02:09.720]  你覺得你很平凡
[00:02:09.720 --> 00:02:11.480]  那我告訴你一個好消息
[00:02:11.480 --> 00:02:14.280]  耶穌正是為你而來的
[00:02:14.280 --> 00:02:15.040]  Amen
[00:02:15.040 --> 00:02:16.520]  跟你們說 耶穌就是為你而來的
[00:02:16.520 --> 00:02:19.040]  跟祂說
[00:02:19.040 --> 00:02:23.240]  這為什麼天使向牧羊人報信息的時候
[00:02:23.240 --> 00:02:25.360]  很清楚的天使對他們說
[00:02:25.360 --> 00:02:28.320]  我報給你們一個大喜的信息
[00:02:28.320 --> 00:02:30.640]  是關乎誰啊
[00:02:30.640 --> 00:02:32.280]  萬民的
[00:02:32.280 --> 00:02:34.440]  誰是萬民啊
