
[00:00:00.000 --> 00:00:02.760]  我記得我開始思考問題的時候
[00:00:02.760 --> 00:00:04.800]  當時十三歲
[00:00:04.800 --> 00:00:07.600]  我就買了一本莊子來看
[00:00:07.600 --> 00:00:11.000]  看完莊子第一卷叫《逍遙遊》
[00:00:11.000 --> 00:00:12.520]  什麼叫《逍遙遊》呢?
[00:00:12.520 --> 00:00:18.160]  我知道我們那個年代有些明星叫呂琦、陳寶珠
[00:00:18.160 --> 00:00:22.720]  還有謝霆鋒老爸、謝賢
[00:00:22.720 --> 00:00:26.040]  當時那些戲經常叫《青春逍遙遊》
[00:00:26.040 --> 00:00:31.160]  為什麼偉大的哲學家莊子也說《逍遙遊》呢?
[00:00:31.160 --> 00:00:33.400]  他很奇特地說
[00:00:33.400 --> 00:00:37.600]  他說在北海有一條很大的魚幾千里那麼大
[00:00:37.600 --> 00:00:41.280]  忽然間一變 變成一隻飛鷹大鵬鳥
[00:00:41.280 --> 00:00:43.480]  由幾千里那麼大飛上天
[00:00:43.480 --> 00:00:47.600]  由太墟來到觀賞下面的人間
[00:00:47.600 --> 00:00:49.080]  小時候也不是很明白
[00:00:49.080 --> 00:00:51.480]  當時還要看文言文
[00:00:51.480 --> 00:00:54.160]  是強行要看清楚一些東西
[00:00:54.160 --> 00:00:57.440]  但後來慢慢明白了他說的道理
[00:00:57.440 --> 00:01:01.000]  魚可以變成鷹、大鵬鳥
[00:01:01.000 --> 00:01:05.040]  即是說人生可以轉化
[00:01:05.040 --> 00:01:08.080]  我可不可以飛到天上
[00:01:08.080 --> 00:01:11.760]  我要飛到天上 後面有首歌
[00:01:11.760 --> 00:01:16.160]  我可不可以做個飛到天上來到俯拆人間的
[00:01:16.160 --> 00:01:18.880]  那種很優美的生命呢?
[00:01:18.880 --> 00:01:22.280]  這個就成為那個時期
[00:01:22.280 --> 00:01:25.200]  我的一些很重要的思想
[00:01:25.200 --> 00:01:29.520]  其實莊子是這樣說的
[00:01:29.520 --> 00:01:32.760]  他說到天地有大美而不言
[00:01:32.760 --> 00:01:38.600]  四時有明發而不說
[00:01:38.600 --> 00:01:42.720]  我看不清楚 因為我的相機壞了
[00:01:42.720 --> 00:01:43.760]  我先看這裡
[00:01:43.760 --> 00:01:51.000]  而萬物有誠理而不說
[00:01:51.000 --> 00:01:54.280]  四時有成發而不議
[00:01:54.280 --> 00:01:58.920]  很奇怪的就是天地有大美
[00:01:58.920 --> 00:02:01.400]  不用說也有
[00:02:01.400 --> 00:02:04.680]  四時的變化有規則
[00:02:04.680 --> 00:02:06.320]  不用說也有
[00:02:06.320 --> 00:02:11.280]  但萬物有已定的規則、法則
[00:02:11.280 --> 00:02:13.960]  不能討論的是有的
[00:02:13.960 --> 00:02:17.240]  這個宇宙有些很奇妙的東西
[00:02:17.240 --> 00:02:22.360]  就是世事總會不斷變化
[00:02:22.360 --> 00:02:25.640]  而不斷中又有規律的存在
[00:02:25.640 --> 00:02:27.920]  這就是規律讓我開始去明白
[00:02:27.920 --> 00:02:32.800]  一種很特別的美的存在
[00:02:32.800 --> 00:02:33.520]  美是什麼呢?
[00:02:33.520 --> 00:02:34.560]  當你看到一樣東西
[00:02:34.560 --> 00:02:38.400]  你突然間有一個很深的感動
[00:02:38.400 --> 00:02:40.200]  感動你感覺很大的美
[00:02:40.200 --> 00:02:43.080]  而同時它成為一種規則
[00:02:43.080 --> 00:02:46.760]  你發覺原來美是有共通性的
[00:02:46.760 --> 00:02:48.600]  在這種美的共通性裡面
[00:02:48.600 --> 00:02:53.920]  我們開始感覺到宇宙有些無法描寫的特質
[00:02:53.920 --> 00:02:55.640]  這個叫美
[00:02:55.640 --> 00:02:57.320]  除了天地的美
[00:02:57.320 --> 00:03:01.320]  當我第一次見我太太
[00:03:01.320 --> 00:03:04.680]  未婚前的女孩時
[00:03:04.680 --> 00:03:06.320]  也覺得很美
[00:03:06.320 --> 00:03:07.120]  美是什麼呢?
[00:03:07.120 --> 00:03:12.400]  因為她的單純、溫柔、美善
[00:03:12.400 --> 00:03:14.120]  後來到現在
[00:03:14.120 --> 00:03:17.600]  我見到我太太已經是50年前了
[00:03:17.600 --> 00:03:21.360]  我們認識的時候已經70多歲了
[00:03:21.360 --> 00:03:23.160]  還是那麼美
[00:03:23.160 --> 00:03:26.160]  不過當然身體多了很多問題
[00:03:26.160 --> 00:03:27.760]  到差不多一年多
[00:03:27.760 --> 00:03:28.560]  這個沒辦法
[00:03:28.560 --> 00:03:31.200]  我們總會經歷這些種種的困難
[00:03:31.200 --> 00:03:33.240]  人生還有種種的困難
[00:03:33.240 --> 00:03:35.400]  但是在這種困難裡面
[00:03:35.400 --> 00:03:38.800]  我們會去思考
[00:03:38.800 --> 00:03:42.360]  美是一種很特殊的經歷
[00:03:42.360 --> 00:03:46.360]  天地間有一種美的意境
[00:03:46.360 --> 00:03:50.760]  而沒辦法用人的語言去描述
[00:03:50.760 --> 00:03:52.480]  好像大衛的詩說
[00:03:52.480 --> 00:03:55.760]  你的名,又說我主你的名
[00:03:55.760 --> 00:03:57.160]  在全地何其美
[00:03:57.160 --> 00:03:59.320]  你將你的榮耀彰顯於天
[00:03:59.320 --> 00:04:01.360]  你讓敵人的緣故從陰霾
[00:04:01.360 --> 00:04:03.040]  吃禮的口中建立能力
[00:04:03.040 --> 00:04:05.520]  似仇敵而報仇的閉口無言
[00:04:05.520 --> 00:04:07.400]  我觀看你指頭所做的天
[00:04:07.400 --> 00:04:10.440]  並你所陳設的月亮星宿便說
[00:04:10.440 --> 00:04:12.360]  人算什麼,理景顧念他
[00:04:12.360 --> 00:04:14.800]  世人算什麼,理景眷顧他
[00:04:14.800 --> 00:04:17.200]  你叫他比天使微小一點
[00:04:17.200 --> 00:04:21.320]  並設給他榮耀尊貴為冠冕
[00:04:21.320 --> 00:04:22.840]  詩人說道
[00:04:22.840 --> 00:04:30.840]  上主,你的名是何等的美
[00:04:30.840 --> 00:04:32.480]  這個何等的美
[00:04:32.480 --> 00:04:35.480]  讓我們忽然間去感覺到
[00:04:35.480 --> 00:04:40.000]  就是一種寬宏的榮耀彰顯於天上
[00:04:40.000 --> 00:04:42.920]  好像我小時候,我記得我望天
[00:04:42.920 --> 00:04:47.680]  放紙妖,我發覺放紙妖的時候
[00:04:47.680 --> 00:04:50.880]  看到夕陽西下,那時六歲
[00:04:50.880 --> 00:04:53.920]  十三歲看莊子,六歲已經感覺到
[00:04:53.920 --> 00:04:57.480]  就是莊子說的,天地有大美而不言
[00:04:57.480 --> 00:04:59.280]  那時小時候,什麼叫夕陽西下
[00:04:59.280 --> 00:05:00.640]  我不懂得想這些名詞
[00:05:00.640 --> 00:05:03.920]  但覺得美,一路到星空出來
[00:05:03.920 --> 00:05:06.000]  然後不肯下去吃飯
[00:05:06.000 --> 00:05:09.880]  媽媽要拿飯菜上來,起天盤吃
[00:05:09.880 --> 00:05:12.280]  這時候感覺那種美
[00:05:12.280 --> 00:05:15.200]  是感覺,但它是普遍的價值
[00:05:15.200 --> 00:05:18.720]  而且是你一種特殊的覺醒
[00:05:18.720 --> 00:05:22.480]  在這種覺醒裡,我們會明白
[00:05:22.480 --> 00:05:26.280]  原來聖經提出一個很特別的原則
[00:05:26.280 --> 00:05:32.400]  就是說從嬰孩和吃奶的後宗建立能力
[00:05:32.400 --> 00:05:33.880]  嬰孩很純真
[00:05:33.880 --> 00:05:37.320]  你看這個寶寶,樣子很純
[00:05:37.320 --> 00:05:42.600]  認不認得她是誰,這個就是我
[00:05:42.600 --> 00:05:46.640]  還寫著1952年,眼睛小
[00:05:46.640 --> 00:05:51.760]  那時真的很純,耳朵一樣大
[00:05:51.760 --> 00:05:57.920]  我現在七十多歲,當然比那時更加奸
[00:05:57.920 --> 00:05:59.240]  但有一樣要學習
[00:05:59.240 --> 00:06:04.880]  就是可否維持像我年輕時那麼純真
[00:06:04.880 --> 00:06:08.600]  只有純真的心才能接近天地的美
[00:06:08.600 --> 00:06:11.040]  接近上帝的愛
