
[00:00:00.000 --> 00:00:03.300]  在臺灣的時候跟回來
[00:00:03.300 --> 00:00:09.160]  我們都看到一些非常令到我們感覺到難過的消息
[00:00:09.160 --> 00:00:12.660]  高雄有個命案
[00:00:12.660 --> 00:00:18.000]  就是個幾歲大的一個女孩子
[00:00:18.000 --> 00:00:22.900]  被一個精神有問題的人砍死
[00:00:22.900 --> 00:00:27.160]  連這個頭都跟這個身體差不多要分開
[00:00:27.160 --> 00:00:32.260]  在我們去到那邊的時候那個命案的判決剛剛出來
[00:00:32.260 --> 00:00:39.660]  就是決定不會判這個兇手死刑
[00:00:39.660 --> 00:00:43.160]  而是改判他終身監禁
[00:00:43.160 --> 00:00:47.960]  帶來整個的臺灣非常大的迴響
[00:00:47.960 --> 00:00:53.960]  這個迴響就是他們感覺對這個死者非常的不公平
[00:00:53.960 --> 00:00:57.560]  另外一方面無獨有偶的
[00:00:57.560 --> 00:01:03.960]  就是我先後有兩個不同的地方都帶給我一些的消息
[00:01:03.960 --> 00:01:07.760]  一些做生意的人去到歐洲
[00:01:07.760 --> 00:01:14.160]  有些在美國紐約加州等等這些的地方
[00:01:14.160 --> 00:01:22.760]  我先後都看到有兩個令到他們感覺非常不安的一些的感受
[00:01:22.760 --> 00:01:26.960]  因爲他們住一些五星級的酒店的時間
[00:01:26.960 --> 00:01:31.560]  五星級的酒店給了他們十樣的事情要注意的
[00:01:31.560 --> 00:01:36.160]  Ten things you need to pay attention to
[00:01:36.160 --> 00:01:40.560]  那這十樣的事情第一樣
[00:01:40.560 --> 00:01:47.760]  不要隨便開門給一些你不認識的人
[00:01:47.760 --> 00:01:50.160]  酒店第一樣要提醒他們
[00:01:50.160 --> 00:01:53.460]  不要隨便開門給一些你不認識的人
[00:01:53.460 --> 00:02:00.360]  第二要是敲門的人說是酒店的管理人員
[00:02:00.360 --> 00:02:06.360]  你就先打電話到front desk問清楚
[00:02:06.360 --> 00:02:13.960]  你們是不是有一個這樣的人來敲我的門要來找我呢
[00:02:13.960 --> 00:02:15.360]  那這個要小心
[00:02:15.360 --> 00:02:19.560]  第三個方面當你進到你的房間的時間
[00:02:19.560 --> 00:02:26.160]  千萬不要讓任何一些你不認識的人進到你的房間
[00:02:26.160 --> 00:02:29.960]  第四一進房間Double lock
[00:02:29.960 --> 00:02:32.560]  就是說不要關門就算了
[00:02:32.560 --> 00:02:34.560]  你要上鎖
[00:02:34.560 --> 00:02:38.160]  這有一個雙重的一個保險
[00:02:38.160 --> 00:02:43.160]  第五的方面
[00:02:43.160 --> 00:02:48.360]  你的鑰匙或者是進房間的那個門卡
[00:02:48.360 --> 00:02:51.160]  不要隨便來的放
[00:02:51.160 --> 00:02:55.560]  第六你的錢包裏面的錢
[00:02:55.560 --> 00:03:00.760]  不要隨便給人看到你那個錢包有錢
[00:03:00.760 --> 00:03:02.560]  還有一樣的事情
[00:03:02.560 --> 00:03:06.560]  不要透露任何你個人的資料
[00:03:06.560 --> 00:03:11.360]  特別是手提電話給任何一個你不認識的人
[00:03:11.360 --> 00:03:16.760]  到停車場的時間最好不要一個人去
[00:03:16.760 --> 00:03:18.960]  多一些人一起去
[00:03:18.960 --> 00:03:20.360]  另外一方面
[00:03:20.360 --> 00:03:24.560]  要是你在停車場看到有人跟蹤你
[00:03:24.560 --> 00:03:30.160]  你最好先叫那個保安去到停車場
[00:03:30.160 --> 00:03:33.360]  來的陪你去拿車子
[00:03:33.360 --> 00:03:35.360]  還有一樣的事情
[00:03:35.360 --> 00:03:37.760]  你要是在走廊
[00:03:37.760 --> 00:03:45.560]  在你的酒店門前看到有些陌生的人在那個地方徘徊的時候
[00:03:45.560 --> 00:03:48.160]  千萬不要進你的房間
[00:03:48.160 --> 00:03:51.160]  首先打電話到這個friend desk
[00:03:51.160 --> 00:03:54.560]  告訴他們有一個你不認識的人
[00:03:54.560 --> 00:03:56.960]  不知道爲什麼在那個地方走來走去
