
[00:00:00.000 --> 00:00:04.080]  很高興 首先在這裡預祝大家
[00:00:04.080 --> 00:00:07.800]  聖誕節快樂 下個禮拜天就是24號
[00:00:07.800 --> 00:00:11.400]  聖誕夜也是公眾假期開始
[00:00:11.400 --> 00:00:13.640]  然後再有兩個禮拜天
[00:00:13.640 --> 00:00:15.800]  就過了以後就是新的一年
[00:00:15.800 --> 00:00:20.880]  所以也恭祝大家新年也蒙福
[00:00:20.880 --> 00:00:24.200]  所以我們看到Merry Christmas and Happy New Year
[00:00:24.200 --> 00:00:28.880]  到處的商場都已經有這樣的一個公祝
[00:00:28.880 --> 00:00:31.840]  這裡是傳恩堂
[00:00:31.840 --> 00:00:34.080]  我以前因為沒有聽說過傳恩堂
[00:00:34.080 --> 00:00:37.000]  我來之前在網上看一下
[00:00:37.000 --> 00:00:39.480]  找到了 而且資料很豐富
[00:00:39.480 --> 00:00:42.360]  原來傳恩堂是今年才開始的
[00:00:42.360 --> 00:00:46.320]  所以我心裡面感覺特別新鮮 也特別高興
[00:00:46.320 --> 00:00:51.080]  因為在香港有新的教會誕生是不容易的
[00:00:51.080 --> 00:00:56.000]  香港最著名的就是地方很貴 寸土寸金
[00:00:56.000 --> 00:00:59.600]  今天我來的時候 羅牧師還有弟兄
[00:00:59.600 --> 00:01:03.120]  我們看到大家在這裡聚會
[00:01:03.120 --> 00:01:07.080]  心裡面真的是覺得很高興 很感動
[00:01:07.080 --> 00:01:11.920]  三十多年前我在遠東廣播的電台服務
[00:01:11.920 --> 00:01:15.720]  因為我們的發射站在韓國跟菲律賓
[00:01:15.720 --> 00:01:20.400]  在韓國首都首爾我們錄音做節目
[00:01:20.400 --> 00:01:25.120]  但是有華人教會是在仁川沒有傳到仁
[00:01:25.120 --> 00:01:30.120]  如果今天到韓國飛機降落的地方是仁川市
[00:01:30.120 --> 00:01:32.120]  仁川市有中國教會
[00:01:32.120 --> 00:01:34.760]  那個時候剛好傳達人有變動
[00:01:34.760 --> 00:01:36.000]  所以就沒有傳達人
[00:01:36.000 --> 00:01:41.880]  我每個禮拜天就去 三十多年前
[00:01:41.880 --> 00:01:43.280]  歷史是很久
[00:01:43.280 --> 00:01:48.000]  但是因為那邊的華僑華人就相對少一點
[00:01:48.000 --> 00:01:50.920]  來教會的人也比較少
[00:01:50.920 --> 00:01:54.680]  冬天就像現在 今年最冷的這幾天
[00:01:54.680 --> 00:01:58.960]  下大雪的時候人就是五六個人比較少
[00:01:58.960 --> 00:02:00.720]  那是三十多年前
[00:02:00.720 --> 00:02:03.320]  但是我常常覺得天外面越冷
[00:02:03.320 --> 00:02:07.320]  教會裡面人越少 盼望就越大
[00:02:07.320 --> 00:02:09.960]  因為沒有盼望的話人就會萎縮
[00:02:09.960 --> 00:02:13.320]  沒有信心的話就會好像很負面
[00:02:13.320 --> 00:02:18.760]  很快韓國就跟中國有外交的建立
[00:02:18.760 --> 00:02:21.240]  不久以後每到禮拜天
[00:02:21.240 --> 00:02:25.240]  因為我們教會院子外面的招牌寫著
[00:02:25.240 --> 00:02:27.680]  中華基督教會
[00:02:27.680 --> 00:02:31.800]  所以禮拜天的時候進來的人是
[00:02:31.800 --> 00:02:34.560]  十個五個一起進來
[00:02:34.560 --> 00:02:37.360]  因為有很多工作的人到仁川
[00:02:37.360 --> 00:02:40.520]  從國內內地還有一些留學生
[00:02:40.520 --> 00:02:44.240]  他們平時都是在韓國的環境裡面
[00:02:44.240 --> 00:02:47.600]  看到有中華或者是教會的團體
[00:02:47.600 --> 00:02:48.760]  禮拜天他們又休息
[00:02:48.760 --> 00:02:51.000]  他們就很喜歡很親切
[00:02:51.000 --> 00:02:54.640]  所以禮拜天就五個十個
[00:02:54.640 --> 00:02:57.200]  就是一群一群的人進來
[00:02:57.200 --> 00:02:58.520]  他們不是為了做禮拜
[00:02:58.520 --> 00:03:02.880]  而是喜歡有中國有普通話的地方
[00:03:02.880 --> 00:03:05.360]  以後聚會就有六七十人
[00:03:05.360 --> 00:03:07.440]  到了聖誕節的時候
