
[00:00:00.000 --> 00:00:02.000]  早晨呀大紀念姊妹
[00:00:02.000 --> 00:00:04.000]  好高興呢我可以真人的
[00:00:04.000 --> 00:00:06.000]  實體的來到中間
[00:00:06.000 --> 00:00:08.000]  和大家講道
[00:00:08.000 --> 00:00:10.000]  事實上今天要講的道
[00:00:10.000 --> 00:00:12.000]  是星期三晚已經做了一個錄影
[00:00:12.000 --> 00:00:14.000]  要錄定影呢
[00:00:14.000 --> 00:00:16.000]  就因爲我和鄭牧師
[00:00:16.000 --> 00:00:18.000]  講過就是我還沒申請到
[00:00:18.000 --> 00:00:20.000]  一個臨時的工作簽證
[00:00:20.000 --> 00:00:22.000]  來到悉尼教書
[00:00:22.000 --> 00:00:24.000]  如果是
[00:00:24.000 --> 00:00:26.000]  未有visa收到的話
[00:00:26.000 --> 00:00:28.000]  就這次的講道
[00:00:28.000 --> 00:00:30.000]  就來不到真人
[00:00:30.000 --> 00:00:32.000]  鄭牧師說用zoom
[00:00:32.000 --> 00:00:34.000]  就不是太穩定
[00:00:34.000 --> 00:00:36.000]  不如就錄影啦
[00:00:36.000 --> 00:00:38.000]  所以就已經錄了影
[00:00:38.000 --> 00:00:40.000]  那我就決定
[00:00:40.000 --> 00:00:42.000]  星期五的時候十二點鐘
[00:00:42.000 --> 00:00:44.000]  lunch time的十二點鐘
[00:00:44.000 --> 00:00:46.000]  要收到visa就可以
[00:00:46.000 --> 00:00:48.000]  決定執行你過來
[00:00:48.000 --> 00:00:50.000]  收不到的話就真的要大家看錄影
[00:00:50.000 --> 00:00:52.000]  那就很感謝上帝
[00:00:52.000 --> 00:00:54.000]  在十一點多的時候收到visa
[00:00:54.000 --> 00:00:56.000]  於是乎我在
[00:00:56.000 --> 00:00:58.000]  前日就可以
[00:00:58.000 --> 00:01:00.000]  如期的出發
[00:01:00.000 --> 00:01:02.000]  今天可以實體來到中間
[00:01:02.000 --> 00:01:04.000]  我可以很驚豔的就是
[00:01:04.000 --> 00:01:06.000]  可以能夠近距離
[00:01:06.000 --> 00:01:08.000]  真人的同體師妹來到講道
[00:01:08.000 --> 00:01:10.000]  這個真的不是人可以做到的
[00:01:10.000 --> 00:01:12.000]  計劃來的
[00:01:12.000 --> 00:01:14.000]  這些不是必然
[00:01:14.000 --> 00:01:16.000]  一切都是在上帝的中間
[00:01:16.000 --> 00:01:18.000]  今天我們剛纔所看的經文
[00:01:18.000 --> 00:01:20.000]  是關於悉尼米書
[00:01:20.000 --> 00:01:22.000]  其實是一封信來的
[00:01:22.000 --> 00:01:24.000]  大家剛剛所看的時候
[00:01:24.000 --> 00:01:26.000]  它是在講一封信的內容
[00:01:26.000 --> 00:01:28.000]  透過這封信的內容
[00:01:28.000 --> 00:01:30.000]  我想跟大家思考一個課題
[00:01:30.000 --> 00:01:32.000]  就是得與失
[00:01:32.000 --> 00:01:34.000]  如果問到得與失
[00:01:34.000 --> 00:01:36.000]  可能你會想的是
[00:01:36.000 --> 00:01:38.000]  你曾經失去過什麼
[00:01:38.000 --> 00:01:40.000]  又得到什麼
[00:01:40.000 --> 00:01:42.000]  我想這次的進發點
[00:01:42.000 --> 00:01:44.000]  就是從失去那裏開始
[00:01:44.000 --> 00:01:46.000]  講起失去
[00:01:46.000 --> 00:01:48.000]  你會覺得你人生裏面
[00:01:48.000 --> 00:01:50.000]  令到你哀傷遺憾的
[00:01:50.000 --> 00:01:52.000]  是失去了
[00:01:52.000 --> 00:01:54.000]  失去了什麼事情
[00:01:54.000 --> 00:01:56.000]  或者人
[00:01:56.000 --> 00:01:58.000]  或者不同的處境
[00:01:58.000 --> 00:02:00.000]  可能你會即刻浮現到
[00:02:00.000 --> 00:02:02.000]  不同的歷程
[00:02:02.000 --> 00:02:04.000]  和裏面的事件
[00:02:04.000 --> 00:02:06.000]  不過我們不要只停留在
[00:02:06.000 --> 00:02:08.000]  一個失去的處境
[00:02:08.000 --> 00:02:10.000]  我想去到多一步的就是
