
[00:00:00.000 --> 00:00:03.000]  好,我們一起祈禱
[00:00:03.000 --> 00:00:07.000]  主人,我們感謝祢借恩典在主日的清晨
[00:00:07.000 --> 00:00:09.000]  讓我們一同可以來到這裡聚集
[00:00:09.000 --> 00:00:12.000]  敬拜祢,唱詩讚美祢
[00:00:12.000 --> 00:00:14.000]  放我們救聖靈在祢的時刻
[00:00:14.000 --> 00:00:20.000]  幫助我們思想明白聖靈在我們身上的工作
[00:00:20.000 --> 00:00:24.000]  幫助我們多多學習認識和依靠聖靈
[00:00:24.000 --> 00:00:27.000]  奉耶穌基督的名祈禱,阿們
[00:00:29.000 --> 00:00:35.000]  上星期我們已經看過《若幻福音》第二十一章
[00:00:35.000 --> 00:00:38.000]  但是其實我們看《若幻福音》的時候
[00:00:38.000 --> 00:00:44.000]  我們曾經跳過了第十四章的下半章和第十六章
[00:00:44.000 --> 00:00:47.000]  這兩段經文有一個很重要的主題
[00:00:47.000 --> 00:00:49.000]  是有關聖靈的
[00:00:49.000 --> 00:00:52.000]  故事我覺得是有必要
[00:00:52.000 --> 00:00:55.000]  回頭來思想有關聖靈的事
[00:00:55.000 --> 00:00:59.000]  其實我們將會花三個星期的時間
[00:00:59.000 --> 00:01:02.000]  去了解關於聖靈的事
[00:01:02.000 --> 00:01:08.000]  今天從第十四章我們會認識畏助者聖靈
[00:01:08.000 --> 00:01:12.000]  下個星期從第十六章認識真理的靈
[00:01:12.000 --> 00:01:16.000]  這兩個星期我們會同時參考羅馬書第八章
[00:01:16.000 --> 00:01:21.000]  幫助我們清楚明白有關聖靈的教導
[00:01:21.000 --> 00:01:26.000]  然後我就會想從哥林多前書第十四章
[00:01:26.000 --> 00:01:29.000]  思想次因的靈
[00:01:29.000 --> 00:01:33.000]  在新約聖經四本福音書裡面
[00:01:33.000 --> 00:01:37.000]  路加和若寒是比較注重聖靈的
[00:01:37.000 --> 00:01:40.000]  但是在福音派的教會裡面
[00:01:40.000 --> 00:01:45.000]  都比較忽略有關聖靈的教導
[00:01:45.000 --> 00:01:48.000]  所以有些靈因派的教會
[00:01:48.000 --> 00:01:52.000]  叫我們這些教會做傳統教會
[00:01:52.000 --> 00:01:54.000]  其實他們是有一個涵義
[00:01:54.000 --> 00:01:58.000]  就是說我們是沒有聖靈的
[00:01:58.000 --> 00:02:01.000]  對於靈因派教會的批評
[00:02:01.000 --> 00:02:04.000]  我們不需要自我辯護
[00:02:04.000 --> 00:02:07.000]  不過我們應該反省
[00:02:07.000 --> 00:02:11.000]  我們既然相信上帝是三位一體的
[00:02:11.000 --> 00:02:16.000]  我們為什麼好像不是這麼著重聖靈呢?
[00:02:16.000 --> 00:02:18.000]  其實是有原因的
[00:02:18.000 --> 00:02:25.000]  因為我們強調聖經是上帝藉聖靈所默示的
[00:02:25.000 --> 00:02:29.000]  因此正確解釋聖經
[00:02:29.000 --> 00:02:31.000]  進行聖經的教導
[00:02:31.000 --> 00:02:35.000]  就相當於是馴服聖靈
[00:02:35.000 --> 00:02:39.000]  正如羅馬書八章四節說
[00:02:39.000 --> 00:02:44.000]  上帝這樣做是要使法律的正當要求
[00:02:44.000 --> 00:02:46.000]  現在我們這些不服從本性
