
[00:00:00.000 --> 00:00:04.000]  9月陪中國崇拜安排了用職場的主題做開始
[00:00:04.000 --> 00:00:06.200]  我選了一個題目是以色列記
[00:00:06.200 --> 00:00:09.600]  大概兩個星期前在大堂也說了這篇訊息
[00:00:09.600 --> 00:00:13.200]  題目是「職場中打不倒的神的僕人」
[00:00:13.200 --> 00:00:15.400]  我寫在今天的主要經文
[00:00:15.400 --> 00:00:17.600]  以色列記第六章十三節
[00:00:17.600 --> 00:00:18.600]  大家一起讀好嗎?
[00:00:18.600 --> 00:00:23.800]  他的智慧人和他的妻西莉絲對他說
[00:00:23.800 --> 00:00:27.000]  你在沒底改變前此而敗落
[00:00:27.000 --> 00:00:29.000]  他如果是猶大人
[00:00:29.000 --> 00:00:30.800]  你必不能勝他
[00:00:30.800 --> 00:00:33.600]  終必在他面前敗落
[00:00:33.600 --> 00:00:37.200]  這裡說到以色列記裡面有一個主人翁沒底改
[00:00:37.200 --> 00:00:39.800]  他有一個仇敵哈曼
[00:00:39.800 --> 00:00:44.600]  哈曼本來很想很容易就殺死沒底改
[00:00:44.600 --> 00:00:47.000]  和滅了他沒底改的全族
[00:00:47.000 --> 00:00:51.600]  但竟然很奇妙的方法就神保守了沒底改
[00:00:51.600 --> 00:00:54.000]  他發現了這個沒底改
[00:00:54.000 --> 00:00:56.200]  這個神的子民背後有神
[00:00:56.200 --> 00:00:58.600]  原來要擊敗神的子民
[00:00:58.600 --> 00:01:00.600]  原來是不容易的
[00:01:00.600 --> 00:01:02.600]  所以今天我寫的文章的題目就是
[00:01:02.600 --> 00:01:05.600]  「跡象中打不倒的神的僕人」
[00:01:05.600 --> 00:01:08.000]  跡象裡面我們難免要勤奮
[00:01:08.000 --> 00:01:10.800]  跡象裡面我們要很多的智慧
[00:01:10.800 --> 00:01:14.400]  跡象裡面我們要很多人際關係
[00:01:14.400 --> 00:01:15.600]  從世俗來講
[00:01:15.600 --> 00:01:21.200]  跡象裡面都有些所謂運氣時機等等的情況
[00:01:21.200 --> 00:01:23.000]  但基督徒其中一個很重要的積分
[00:01:23.000 --> 00:01:25.600]  就是跡象裡面我們有敬虔
[00:01:25.600 --> 00:01:28.600]  跡象裡面藉著我們的敬虔去服侍神
[00:01:28.600 --> 00:01:31.600]  讓人見到我們的敬虔的時候
[00:01:31.600 --> 00:01:34.400]  我們奮鬥的時候能夠認識神
[00:01:34.400 --> 00:01:36.000]  見到神的榮耀
[00:01:36.000 --> 00:01:38.800]  在我們跡象裡面不同的挑戰的時候
[00:01:38.800 --> 00:01:41.400]  有些人可能是很優勢的
[00:01:41.400 --> 00:01:42.400]  可能不是基督徒
[00:01:42.400 --> 00:01:44.800]  但都很好的跡象的能力
[00:01:44.800 --> 00:01:47.200]  我最近留意中國女排
[00:01:47.200 --> 00:01:49.200]  其中一個人物
[00:01:49.200 --> 00:01:51.600]  八年代我自己在大學生的時候
[00:01:51.600 --> 00:01:53.600]  很留意這個人物叫朗平
