
[00:00:00.000 --> 00:00:03.000]  新約聖經提到主的再來
[00:00:03.000 --> 00:00:07.000]  是比起提及主的降生更多
[00:00:07.000 --> 00:00:11.000]  比例是八比一
[00:00:11.000 --> 00:00:12.000]  有人統計過
[00:00:12.000 --> 00:00:14.000]  新約聖經有超過三百處的經文
[00:00:14.000 --> 00:00:17.000]  是提及主的再來
[00:00:17.000 --> 00:00:20.000]  既然主再來的訊息如此強調
[00:00:20.000 --> 00:00:23.000]  為何我們大概只是頭腦上知道
[00:00:23.000 --> 00:00:25.000]  耶穌會再回來
[00:00:25.000 --> 00:00:26.000]  但是我們的心態
[00:00:26.000 --> 00:00:30.000]  我們的自問其實不算是很重視
[00:00:30.000 --> 00:00:32.000]  其中的可能性可以是
[00:00:32.000 --> 00:00:33.000]  因為歷世歷代
[00:00:33.000 --> 00:00:35.000]  很多人嘗試去看
[00:00:35.000 --> 00:00:38.000]  當世代所發生的大事件
[00:00:38.000 --> 00:00:39.000]  去推論
[00:00:39.000 --> 00:00:42.000]  甚至有人嘗試去計算預測
[00:00:42.000 --> 00:00:44.000]  結果一次一次的落空
[00:00:44.000 --> 00:00:46.000]  也有可能是人
[00:00:46.000 --> 00:00:50.000]  他未經歷過的事情會半信半疑
[00:00:50.000 --> 00:00:51.000]  很有懷疑
[00:00:51.000 --> 00:00:56.000]  或者都無所謂了不管了
[00:00:56.000 --> 00:00:57.000]  也更有可能是
[00:00:57.000 --> 00:00:58.000]  對於我們這個世代的人
[00:00:58.000 --> 00:01:01.000]  我們的生活相對是比較好的
[00:01:01.000 --> 00:01:06.000]  不太覺得需要有更好的添加
[00:01:06.000 --> 00:01:07.000]  我們活在一個快樂
[00:01:07.000 --> 00:01:11.000]  可以麻醉我們自己的世代
[00:01:11.000 --> 00:01:13.000]  於是乎漸漸
[00:01:13.000 --> 00:01:16.000]  主再來的真理
[00:01:16.000 --> 00:01:18.000]  可以只是變回
[00:01:18.000 --> 00:01:25.000]  我們四重福音裡的皇冠標誌
[00:01:25.000 --> 00:01:26.000]  但是主再來的真理
[00:01:26.000 --> 00:01:28.000]  剛才說過的次數
[00:01:28.000 --> 00:01:29.000]  那個強調
[00:01:29.000 --> 00:01:33.000]  應該是讓我們有點不同的
[00:01:33.000 --> 00:01:34.000]  所以我們最後經文之前
[00:01:34.000 --> 00:01:36.000]  我們再一次禱告教堂
[00:01:36.000 --> 00:01:37.000]  主耶穌
[00:01:37.000 --> 00:01:40.000]  祢是我們再來的王
[00:01:40.000 --> 00:01:42.000]  我們今天要去述說
[00:01:42.000 --> 00:01:45.000]  關於祢再來的道理
[00:01:45.000 --> 00:01:47.000]  願真理的靈子教我們
[00:01:47.000 --> 00:01:50.000]  每一個人去明白祢的華語
[00:01:50.000 --> 00:01:51.000]  幫助我們
[00:01:51.000 --> 00:01:52.000]  多謝祢
[00:01:52.000 --> 00:01:53.000]  我們的祈禱是
[00:01:53.000 --> 00:01:54.000]  奉主耶穌基督
[00:01:54.000 --> 00:01:55.000]  得勝名字祈求
[00:01:55.000 --> 00:01:57.000]  阿們
[00:01:57.000 --> 00:02:00.000]  今天我會用三個詞語來概括
[00:02:00.000 --> 00:02:02.000]  我要分享的三點
[00:02:02.000 --> 00:02:03.000]  近了
[00:02:03.000 --> 00:02:04.000]  學想
[00:02:04.000 --> 00:02:06.000]  和選擇
[00:02:06.000 --> 00:02:07.000]  先說近了
[00:02:07.000 --> 00:02:08.000]  我們一起讀
[00:02:08.000 --> 00:02:09.000]  馬大福音二十四章
[00:02:09.000 --> 00:02:10.000]  三十二三十三節
[00:02:10.000 --> 00:02:11.000]  預備起
[00:02:11.000 --> 00:02:15.000]  你們要從無花果樹學習功課
[00:02:15.000 --> 00:02:18.000]  當樹枝發芽長葉的時候
[00:02:18.000 --> 00:02:21.000]  你們就知道夏天近了
[00:02:21.000 --> 00:02:24.000]  同樣當你們看見這一切
[00:02:24.000 --> 00:02:27.000]  就知道那時候近了
[00:02:27.000 --> 00:02:30.000]  就在門口了
[00:02:30.000 --> 00:02:31.000]  主耶穌在這一段裡面
[00:02:31.000 --> 00:02:33.000]  兩次說了近了
[00:02:33.000 --> 00:02:35.000]  我都打了紅色給你們
[00:02:35.000 --> 00:02:36.000]  對於當時猶太人來說
[00:02:36.000 --> 00:02:37.000]  無花果樹是一些
[00:02:37.000 --> 00:02:39.000]  很平常見到的樹木
[00:02:39.000 --> 00:02:41.000]  也是普遍人會留意的
[00:02:41.000 --> 00:02:42.000]  為什麼
[00:02:42.000 --> 00:02:43.000]  因為如果它有果
[00:02:43.000 --> 00:02:46.000]  就可以摘來吃
[00:02:46.000 --> 00:02:47.000]  所以主耶穌就用當時
[00:02:47.000 --> 00:02:49.000]  一個人人都明白的生活例子
[00:02:49.000 --> 00:02:52.000]  去說明什麼叫做事後近了的道理
[00:02:52.000 --> 00:02:54.000]  他說無花果樹
[00:02:54.000 --> 00:02:57.000]  它發芽長葉
[00:02:57.000 --> 00:02:58.000]  是什麼意思
[00:02:58.000 --> 00:02:59.000]  就是說
[00:02:59.000 --> 00:03:01.000]  你有東西可以見到的
[00:03:01.000 --> 00:03:04.000]  從一個樹枝是比較枯乾
[00:03:04.000 --> 00:03:05.000]  或者沒什麼樹葉的時候
[00:03:05.000 --> 00:03:08.000]  到它出一些嫩綠色的小的芽
[00:03:08.000 --> 00:03:10.000]  慢慢長成一些樹葉
[00:03:10.000 --> 00:03:13.000]  你看得見這些情況的時候
[00:03:13.000 --> 00:03:16.000]  就說明有些東西很快發生
[00:03:16.000 --> 00:03:17.000]  就是那些樹葉
[00:03:17.000 --> 00:03:20.000]  慢慢就會結成果子
[00:03:20.000 --> 00:03:21.000]  沒有花的
[00:03:21.000 --> 00:03:24.000]  所以叫無花果
