
[00:00:00.000 --> 00:00:05.600]  好的 頂姐妹早安 很開心來到大家當中
[00:00:05.600 --> 00:00:10.600]  今天我們會繼續尼希米記的講道系列
[00:00:10.600 --> 00:00:14.600]  我們前面也有講過 尼希米是被神揀選
[00:00:14.600 --> 00:00:19.800]  然後回到耶路撒冷去建城牆這個任務
[00:00:19.800 --> 00:00:24.400]  在前面的一讀五章我們可以看到
[00:00:24.400 --> 00:00:26.600]  這是一個非常艱難的任務
[00:00:26.600 --> 00:00:29.400]  因為他回去重建城牆的時候
[00:00:29.400 --> 00:00:33.600]  其實面對很多的內憂外患
[00:00:33.600 --> 00:00:39.600]  有省長參巴拉和民營企業家多比亞的聯盟
[00:00:39.600 --> 00:00:44.400]  然後恐嚇他們 搞恐怖襲擊
[00:00:44.400 --> 00:00:46.600]  然後就有自己的內憂
[00:00:46.600 --> 00:00:52.000]  自己城裏面的群眾自己鬧內訌
[00:00:52.000 --> 00:00:54.600]  到了第五章我們又看到
[00:00:54.600 --> 00:01:00.600]  連官員自己都牽涉到貪污 放高利貸
[00:01:00.600 --> 00:01:03.600]  欺壓自己的民眾 搞到他們還不了錢
[00:01:03.600 --> 00:01:07.800]  就要把自己的兒女都買去外邦做奴隸
[00:01:07.800 --> 00:01:10.600]  處理很多很多這樣的問題
[00:01:10.600 --> 00:01:13.600]  到了第六章 今天我們來看看
[00:01:13.600 --> 00:01:18.600]  到了第六章 他們城牆已經建好了
[00:01:18.600 --> 00:01:20.600]  但是城門還沒有安
[00:01:20.600 --> 00:01:23.200]  換句話說 來到最後一步了
[00:01:23.200 --> 00:01:25.600]  城門安了 就完工
[00:01:25.600 --> 00:01:29.200]  來到最後一步我們看到敵人依然不放棄
[00:01:29.200 --> 00:01:32.800]  用各種的方式來讓他停工
[00:01:32.800 --> 00:01:35.200]  今天我們來看看到了第六章
[00:01:35.200 --> 00:01:40.000]  李希美面對一些什麼樣的挑戰 難處
[00:01:40.000 --> 00:01:44.600]  而他又是怎樣去處理這些難處的呢
[00:01:44.600 --> 00:01:48.800]  第一個我們來看看就是
[00:01:48.800 --> 00:01:51.200]  清晰的人生方向
[00:01:51.200 --> 00:01:53.200]  六章一節是這樣說的
[00:01:53.200 --> 00:01:59.600]  參巴拉就是省長 還有多比亞和基善和其他的仇敵
[00:01:59.600 --> 00:02:05.200]  聽說我們已經修完城牆 連一個缺口也不成
[00:02:05.200 --> 00:02:06.600]  就是修好了
[00:02:06.600 --> 00:02:11.600]  但是其實我們還沒有在進口處安置城門
[00:02:11.600 --> 00:02:14.000]  就是還沒有完成城門
[00:02:14.000 --> 00:02:16.400]  於是最後一步了 他們有點害怕
[00:02:16.400 --> 00:02:18.200]  有什麼還可以阻止呢
[00:02:18.200 --> 00:02:22.200]  於是參巴拉和基善給我一封公文
[00:02:22.200 --> 00:02:24.400]  出公文了 約他們和談
[00:02:24.400 --> 00:02:28.800]  建議我們在阿羅平原的一個村莊跟他們會面
[00:02:28.800 --> 00:02:33.200]  這是他們的計謀 想要害我
[00:02:33.200 --> 00:02:36.200]  所以當他們搞恐怖襲擊 嚇不倒他們的時候
[00:02:36.200 --> 00:02:40.600]  不如我們和談吧 發一封公文給他們
[00:02:40.600 --> 00:02:43.600]  我們去這個村莊 你停工 先停工
[00:02:43.600 --> 00:02:45.400]  然後我們來和談
[00:02:45.400 --> 00:02:48.200]  這是一個很簡單的拖字訣
[00:02:48.200 --> 00:02:50.600]  就是你一停工 一和談就很久了
[00:02:50.600 --> 00:02:53.200]  很快的 一兩三天就拖你一個星期
[00:02:53.200 --> 00:02:58.400]  第一輪談判完了 三個月之後第二輪談判
[00:02:58.400 --> 00:03:00.600]  好像中美貿易戰一樣
[00:03:00.600 --> 00:03:04.000]  一談就談很久 沒有什麼結果
[00:03:04.000 --> 00:03:06.600]  總之我一拖就可以拖你很多年
[00:03:06.600 --> 00:03:07.800]  那就是談判
[00:03:07.800 --> 00:03:12.000]  六章三節 尼熙米就說
[00:03:12.000 --> 00:03:17.800]  我派人告訴他們 我正在進行很重要的工作
[00:03:17.800 --> 00:03:22.600]  他覺得這件事就是神命定要他完成的很重要的工作
[00:03:22.600 --> 00:03:24.600]  就不能到那裡去
[00:03:24.600 --> 00:03:29.800]  我不願意因去看你們 使工作停頓
[00:03:29.800 --> 00:03:32.400]  尼熙米就很清楚的回應
[00:03:32.400 --> 00:03:36.800]  我不想停工 是不會停工的
[00:03:36.800 --> 00:03:41.600]  我很清楚這是神給我的一個人生的使命
[00:03:41.600 --> 00:03:44.600]  這件事是很重要的工作
[00:03:44.600 --> 00:03:49.200]  我們人生當中其實很多時候都是尋找這個使命
[00:03:49.200 --> 00:03:54.600]  我相信這是尼熙米知天命的時刻
[00:03:54.600 --> 00:03:57.400]  我相信不是一個人很年輕就知道
[00:03:57.400 --> 00:04:00.200]  到底神真的給我的使命是什麼
[00:04:00.200 --> 00:04:03.800]  我們一生人都在尋找我活著為了什麼
[00:04:03.800 --> 00:04:06.000]  神給我一個什麼方向
[00:04:06.000 --> 00:04:09.200]  但是我們在尋找的過程當中
