
[00:00:00.000 --> 00:00:04.640]  今天就講真誠群體五
[00:00:04.640 --> 00:00:05.520]  謙卑
[00:00:05.520 --> 00:00:08.320]  不知大家見到五字會不會又講
[00:00:08.320 --> 00:00:10.080]  講完都未講完
[00:00:10.080 --> 00:00:11.640]  今天講謙卑
[00:00:11.640 --> 00:00:14.440]  我有個五環的
[00:00:14.440 --> 00:00:17.240]  等等 次序怎麼講呢
[00:00:17.240 --> 00:00:21.320]  首先我要很感恩剛才那首詩歌
[00:00:21.320 --> 00:00:24.080]  「我們愛因為神先愛我們」
[00:00:24.080 --> 00:00:25.680]  為什麼呢
[00:00:25.680 --> 00:00:28.720]  特別我們在講真誠群體
[00:00:28.720 --> 00:00:32.480]  我感受到剛才那句歌詞
[00:00:32.480 --> 00:00:34.840]  「一起走過危難有多美」
[00:00:34.840 --> 00:00:36.920]  「同分擔喜與悲」
[00:00:36.920 --> 00:00:38.600]  「互勵互勉體恤」
[00:00:38.600 --> 00:00:40.600]  「彼此分擔代求」
[00:00:40.600 --> 00:00:42.600]  教會不就是這樣
[00:00:42.600 --> 00:00:44.240]  我們教會追求什麼呢
[00:00:44.240 --> 00:00:46.040]  教會要做什麼呢
[00:00:46.040 --> 00:00:48.680]  是否要做到一間再大些的教會
[00:00:48.680 --> 00:00:51.680]  或者我們再做到萬人教會
[00:00:51.680 --> 00:00:54.600]  但當中我們不能做到剛才所講的
[00:00:54.600 --> 00:00:56.440]  「一起走過危難有多美」
[00:00:56.440 --> 00:00:58.120]  「一起分擔喜與悲」
[00:00:58.120 --> 00:01:00.120]  又有何意思呢
[00:01:00.120 --> 00:01:03.400]  教會就是一群真誠群體的聚集
[00:01:03.400 --> 00:01:06.440]  我們不是在乎人多人少
[00:01:06.440 --> 00:01:08.080]  而是我們真的做到
[00:01:08.080 --> 00:01:11.160]  耶穌基督的愛在這個群體裡彰顯
[00:01:11.160 --> 00:01:12.400]  如果當中沒有愛
[00:01:12.400 --> 00:01:14.840]  就算我們能夠
[00:01:14.840 --> 00:01:16.560]  講到多漂亮的道
[00:01:16.560 --> 00:01:17.920]  好像我今天這樣講
[00:01:17.920 --> 00:01:21.520]  或者可能我們做到多偉大的工程
[00:01:21.520 --> 00:01:24.200]  但沒有愛 真是算不得什麼
[00:01:24.200 --> 00:01:28.200]  所以再讓我們思考一下什麼是真誠群體
[00:01:28.200 --> 00:01:29.400]  在真誠群體裡
[00:01:29.400 --> 00:01:31.640]  我用了五個元素
[00:01:31.640 --> 00:01:33.360]  如果還記得就是
[00:01:33.360 --> 00:01:36.760]  謙卑、聆聽、欣賞、信任、合一
[00:01:36.760 --> 00:01:40.600]  過去半年不斷在這裡逐個講
[00:01:40.600 --> 00:01:43.320]  這次就講謙卑
[00:01:43.320 --> 00:01:46.360]  其實謙卑一開始應該講的
[00:01:46.360 --> 00:01:47.960]  但既然我安排到最後講
[00:01:47.960 --> 00:01:50.280]  一會兒我再交代原因
[00:01:50.280 --> 00:01:52.000]  我想先講一下封面
[00:01:52.000 --> 00:01:56.560]  這個封面我通常都是完成了那篇講章的預備之後
[00:01:56.560 --> 00:01:58.200]  我就會準備powerpoint
[00:01:58.200 --> 00:02:00.280]  上網搜尋一下謙卑
[00:02:00.280 --> 00:02:04.040]  有沒有相關的powerpoint可以做這個封面呢
[00:02:04.040 --> 00:02:05.120]  這幅圖很特別
[00:02:05.120 --> 00:02:07.800]  不知道大家看不看得到是什麼意思
[00:02:07.800 --> 00:02:09.400]  其實有句中文的
[00:02:09.400 --> 00:02:10.960]  不過我想這些是後加的
[00:02:10.960 --> 00:02:13.360]  不過這是出自中國的諺語
[00:02:13.360 --> 00:02:15.600]  不知道是什麼意思
[00:02:15.600 --> 00:02:17.200]  中文的意思就是說
[00:02:17.200 --> 00:02:19.120]  我們好像一些竹一樣
[00:02:19.120 --> 00:02:20.320]  不知道大家有沒有看到一些竹
[00:02:20.320 --> 00:02:23.920]  越長就會自然彎下來
[00:02:23.920 --> 00:02:25.320]  當一個人越成長
[00:02:25.320 --> 00:02:28.200]  或者當那個人裏面越豐富的時候
[00:02:28.200 --> 00:02:30.760]  他就應該更加懂得去低頭
[00:02:30.760 --> 00:02:32.120]  懂得去謙卑
[00:02:32.120 --> 00:02:34.080]  這個也給我們一個很大的學習
[00:02:34.080 --> 00:02:35.880]  當我們越有經驗
[00:02:35.880 --> 00:02:37.320]  越有知識的時候
[00:02:37.320 --> 00:02:39.080]  究竟令我們更加驕傲
[00:02:39.080 --> 00:02:41.560]  還是我們應該更加學習去謙卑
