
[00:00:00.000 --> 00:00:06.000]  今日和大家分享的題目是重建大衛的帳幕
[00:00:06.000 --> 00:00:13.000]  其實這個帳幕很有特別的意思
[00:00:13.000 --> 00:00:17.000]  帳幕是一個流動的地方
[00:00:17.000 --> 00:00:20.000]  帳幕是一個暫時的地方
[00:00:20.000 --> 00:00:27.000]  而大衛的帳幕就讓我們看到神對大衛生命的引導
[00:00:27.000 --> 00:00:33.000]  我相信他對大衛生命的引導亦都同樣成為我們生命的引導
[00:00:33.000 --> 00:00:35.000]  我們怎樣能夠經歷神的引導呢?
[00:00:35.000 --> 00:00:39.000]  我們需要在生命裏尋求復興
[00:00:39.000 --> 00:00:41.000]  我們不單止在我們個人的生命
[00:00:41.000 --> 00:00:44.000]  在我們個人生命尋求復興之後
[00:00:44.000 --> 00:00:48.000]  我們在我們的群體當中尋求復興
[00:00:48.000 --> 00:00:51.000]  我們怎樣去尋求復興呢?
[00:00:51.000 --> 00:00:53.000]  尋求個人和群體的復興
[00:00:53.000 --> 00:00:57.000]  另一方面我們要修補生命的缺口
[00:00:57.000 --> 00:01:00.000]  我們要修補生命的缺口
[00:01:00.000 --> 00:01:06.000]  讓我們一起去讀今天的經文阿摩斯書第九章十一到第十五節
[00:01:06.000 --> 00:01:07.000]  我們一起讀吧
[00:01:07.000 --> 00:01:08.000]  預備起
[00:01:08.000 --> 00:01:12.000]  在那日我必重建大衛倒塌的帳幕
[00:01:12.000 --> 00:01:14.000]  修補其中的缺口
[00:01:14.000 --> 00:01:18.000]  我必建立那遭毀壞的重新修造
[00:01:18.000 --> 00:01:20.000]  如古時一般
[00:01:20.000 --> 00:01:23.000]  使以色列人接管以東所剩餘的
[00:01:23.000 --> 00:01:26.000]  和所有稱為我名下的國
[00:01:26.000 --> 00:01:28.000]  這是耶和華說的
[00:01:28.000 --> 00:01:30.000]  他要行這事
[00:01:30.000 --> 00:01:32.000]  看那日子將到
[00:01:32.000 --> 00:01:35.000]  耕種的必接續收割的
[00:01:35.000 --> 00:01:38.000]  損葡萄的必接續殺種的
[00:01:38.000 --> 00:01:40.000]  大山要滴下甜酒
[00:01:40.000 --> 00:01:42.000]  小山也被蔓過
[00:01:42.000 --> 00:01:44.000]  這是耶和華說的
[00:01:44.000 --> 00:01:48.000]  我要使以色列被擄的子民歸回
[00:01:48.000 --> 00:01:51.000]  他們要重修荒廢的城鎮
[00:01:51.000 --> 00:01:53.000]  居住在其中
[00:01:53.000 --> 00:01:55.000]  栽植葡萄園
[00:01:55.000 --> 00:01:57.000]  喝其中所出的酒
[00:01:57.000 --> 00:01:58.000]  修造果園
[00:01:58.000 --> 00:02:01.000]  吃其中的果子
[00:02:01.000 --> 00:02:04.000]  我要將他們栽植於本地
[00:02:04.000 --> 00:02:09.000]  他們必不再從我所賜給他們的地上被拔出
[00:02:09.000 --> 00:02:12.000]  這是耶和華你的神說的
[00:02:12.000 --> 00:02:14.000]  讓我們一起禱告
[00:02:14.000 --> 00:02:19.000]  慈愛的聖天父我們在你的面前謙卑等候
[00:02:19.000 --> 00:02:21.000]  你向我們說話
[00:02:21.000 --> 00:02:23.000]  因為你的話語帶著能力
[00:02:23.000 --> 00:02:26.000]  你的話語轉化我們的生命
[00:02:26.000 --> 00:02:29.000]  如我們都成為一個信服主話的人
