
[00:00:00.000 --> 00:00:03.000]  (主席)各位姐妹,我們希望在2013年
[00:00:03.000 --> 00:00:05.000]  我們從禱告開始
[00:00:05.000 --> 00:00:10.000]  今天跟大家透過這個題目
[00:00:10.000 --> 00:00:13.000]  神的話和我們的禱告
[00:00:13.000 --> 00:00:16.000]  這個標題也是一個書名
[00:00:16.000 --> 00:00:19.000]  你的話與我的禱告
[00:00:19.000 --> 00:00:21.000]  很多時候我們不明白
[00:00:21.000 --> 00:00:25.000]  我們為甚麼期就期了
[00:00:25.000 --> 00:00:29.000]  其實很多人期之先和期之後
[00:00:29.000 --> 00:00:30.000]  有很多分別
[00:00:30.000 --> 00:00:33.000]  記得我上次講過那個故事給你聽
[00:00:33.000 --> 00:00:36.000]  那個教會牧師帶領祈禱會
[00:00:36.000 --> 00:00:40.000]  叫隔壁那些酒吧結業的事情
[00:00:40.000 --> 00:00:41.000]  聽過沒有?
[00:00:41.000 --> 00:00:43.000]  沒聽過就回去看那個故事
[00:00:43.000 --> 00:00:45.000]  本來很多酒吧都在那裡
[00:00:45.000 --> 00:00:50.000]  我們就沒有開過這樣的祈禱會
[00:00:50.000 --> 00:00:53.000]  奇怪的,那個法官就說
[00:00:53.000 --> 00:00:56.000]  在我面前有一個相信祈禱的酒吧東主
[00:00:56.000 --> 00:01:00.000]  他是一個不相信祈禱果效的牧師
[00:01:00.000 --> 00:01:03.000]  這個是不是我們很多時候基督徒的反省呢?
[00:01:03.000 --> 00:01:08.000]  這個就是A4信徒裡面第四章所講的故事
[00:01:08.000 --> 00:01:11.000]  今天我相信我們要明白到
[00:01:11.000 --> 00:01:13.000]  我們的禱告能夠蒙英韻
[00:01:13.000 --> 00:01:15.000]  我跟大家先看幾句聖經
[00:01:15.000 --> 00:01:16.000]  就拋分沒有的
[00:01:16.000 --> 00:01:17.000]  為甚麼呢?
[00:01:17.000 --> 00:01:18.000]  我希望放在這裡
[00:01:18.000 --> 00:01:19.000]  聖經也有人動一下它
[00:01:19.000 --> 00:01:22.000]  不動就會發霉的
[00:01:22.000 --> 00:01:30.000]  大家看看肉眼一書第五章
[00:01:30.000 --> 00:01:33.000]  我們看第十四十五節
[00:01:33.000 --> 00:01:39.000]  肉眼一書第五章第十四第十五節
[00:01:39.000 --> 00:01:41.000]  我們一起讀好嗎?
[00:01:41.000 --> 00:01:42.000]  找到一起讀
[00:01:42.000 --> 00:01:44.000]  大家都找到聖經
[00:01:44.000 --> 00:01:45.000]  如果你手上有聖經可以打開
[00:01:45.000 --> 00:01:47.000]  如果沒有就用教會的聖經
[00:01:47.000 --> 00:01:52.000]  我們若照他的旨意求甚麼
[00:01:52.000 --> 00:01:54.000]  他就聽我們
[00:01:54.000 --> 00:01:58.000]  這是我們向他所傳坦然無懼的心
[00:01:58.000 --> 00:02:02.000]  既然知道他聽我們一切所求的
[00:02:02.000 --> 00:02:07.000]  就知道我們所求於他的無不得著
[00:02:07.000 --> 00:02:11.000]  我們所求的無不得著
[00:02:11.000 --> 00:02:14.000]  所求的東西沒有不得的
[00:02:14.000 --> 00:02:17.000]  還有要說我們向他求的時候
