
[00:00:00.000 --> 00:00:12.000]  今天節目的主題是桃與寶,是不是很熟悉呢?
[00:00:12.000 --> 00:00:29.000]  桃寶,大家不如翻開秩序表的後面,我們看到今年的金句,
[00:00:29.000 --> 00:00:35.000]  我今天的講題就是環繞著這一句金句,
[00:00:35.000 --> 00:00:38.000]  我們一起來讀,
[00:00:38.000 --> 00:00:43.000]  一二三,我們有這寶貝放在我心裡,
[00:00:43.000 --> 00:00:50.000]  要顯明這莫大的能力是出於神,不是出於我們。
[00:00:50.000 --> 00:00:59.000]  現在我們一同禱告,
[00:00:59.000 --> 00:01:04.000]  天父感謝祢給我們這個寶貴的聖經,
[00:01:04.000 --> 00:01:11.000]  求主幫助我們了解今天保羅所說的。
[00:01:11.000 --> 00:01:20.000]  我們現在祈求禱告,是封主耶穌基督的名。
[00:01:20.000 --> 00:01:27.000]  首先要介紹一位很出名的聖詩作詞人,
[00:01:27.000 --> 00:01:31.000]  他叫Fanny Crosby,
[00:01:31.000 --> 00:01:41.000]  很抱歉,我曾經打算引述她,
[00:01:41.000 --> 00:01:48.000]  但在之前的講道,我把她畫成海倫海娜,
[00:01:48.000 --> 00:01:54.000]  這是我不小心引致的。
[00:01:54.000 --> 00:02:07.000]  如果你去看靈命日娘1月17日的文章,
[00:02:07.000 --> 00:02:18.000]  你會知道Fanny Crosby在英海的時候已經雙目失明,
[00:02:18.000 --> 00:02:26.000]  但後來她成為了一位很出名的聖詩作詞人,
[00:02:26.000 --> 00:02:35.000]  例如有福的闕句,這是一首很出名的詩歌,
[00:02:35.000 --> 00:02:42.000]  還有一首是很雄壯的榮耀歸於真神,
[00:02:42.000 --> 00:02:52.000]  歌詞寫得非常好,原來她一生當中創作了超過九千首的聖詩,
[00:02:52.000 --> 00:03:06.000]  如果一天作一首,要多少年才能完成呢?
[00:03:06.000 --> 00:03:15.000]  有位牧師覺得如果她不雙目失明就好了,
[00:03:15.000 --> 00:03:21.000]  但Fanny Crosby就這樣回答說,
[00:03:21.000 --> 00:03:29.000]  如果我再出生的時候可以許一個願的話,
[00:03:29.000 --> 00:03:35.000]  我希望我生來是俠眼的,
[00:03:35.000 --> 00:03:44.000]  因為當我回到天堂的時候,我就不會再瞎眼了,
[00:03:44.000 --> 00:03:57.000]  我首先看到的是救主的榮面,這是何等的歡欣呢?
[00:03:57.000 --> 00:04:07.000]  原來Fanny是以永恆的眼光來看待她的生命,
[00:04:07.000 --> 00:04:14.000]  她說我們這至暫至輕的苦楚,
[00:04:14.000 --> 00:04:23.000]  要為我們成就極重無比永遠的榮耀,
[00:04:23.000 --> 00:04:30.000]  原來我們不是顧念所見的,
[00:04:30.000 --> 00:04:34.000]  乃是顧念所不見的,
[00:04:34.000 --> 00:04:38.000]  因為所見的是暫時的,
[00:04:38.000 --> 00:04:42.000]  所不見的是永遠的,
[00:04:42.000 --> 00:04:50.000]  所以這裡提醒了我們,無論前路有多難走,
[00:04:50.000 --> 00:05:03.000]  當我們與主面對面的時候,這些都會消失,
[00:05:03.000 --> 00:05:16.000]  為什麼Fanny Crosby可以專注在那些看不到的事情上呢?
[00:05:16.000 --> 00:05:28.000]  為什麼她那麼相信將來能與主耶穌相見呢?
[00:05:28.000 --> 00:05:36.000]  讓我們在使徒保羅身上找答案,
[00:05:36.000 --> 00:05:43.000]  保羅有一個很特別的經歷,
