
[00:00:00.000 --> 00:00:03.020]  當大家看回這一段聖經的時候
[00:00:03.020 --> 00:00:04.300]  你會發覺
[00:00:04.300 --> 00:00:06.960]  除了是一個很熟悉的故事
[00:00:06.960 --> 00:00:08.060]  我們每一年
[00:00:08.060 --> 00:00:11.840]  差不多復活節我們當然會講這個故事
[00:00:11.840 --> 00:00:15.440]  也會再一次思想這段經文的時候
[00:00:15.440 --> 00:00:18.440]  今天當你再一次看回《馬可福音》
[00:00:18.440 --> 00:00:20.200]  十六章一到八節
[00:00:20.200 --> 00:00:23.580]  講到復活的早上的時候
[00:00:23.580 --> 00:00:25.740]  有很多事情發生
[00:00:25.740 --> 00:00:27.240]  剛才這段經文
[00:00:27.240 --> 00:00:32.420]  有一件什麼事情你會覺得很吸引你的
[00:00:32.420 --> 00:00:34.420]  你會覺得很特別的
[00:00:34.420 --> 00:00:37.360]  是你從來都沒有想過的
[00:00:37.360 --> 00:00:39.360]  有沒有一件這樣的事情
[00:00:39.360 --> 00:00:45.700]  我們再讀一次那段經文好不好
[00:00:45.700 --> 00:00:49.720]  或者我讀給大家聽吧,你留心
[00:00:49.720 --> 00:00:52.360]  講到有時候我們就是這樣壓時間
[00:00:53.360 --> 00:00:59.620]  過了安息日,默達拉瑪尼亞和雅各的母親瑪尼亞並撒羅米
[00:00:59.620 --> 00:01:02.700]  買了香膏,要去膏耶穌的身體
[00:01:02.700 --> 00:01:07.520]  因為他們想著沒有人敢去收葬耶穌
[00:01:07.520 --> 00:01:09.120]  但是馬太尊告訴他們
[00:01:09.120 --> 00:01:14.320]  阿彌瑪太就去將耶穌的屍首給羅馬人拿回來
[00:01:14.320 --> 00:01:17.440]  所以他們都想著,我們也去做點事吧
[00:01:17.440 --> 00:01:19.660]  正如壽府節的時候
[00:01:19.660 --> 00:01:23.720]  宗穆斯都告訴我們,聖經是很先進的
[00:01:23.720 --> 00:01:28.280]  聖經是很前衛,或者說神早就有這樣的心意
[00:01:28.280 --> 00:01:30.840]  因為祂是公義的神,是公平的神
[00:01:30.840 --> 00:01:33.220]  所以你看看,復活的事情
[00:01:33.220 --> 00:01:35.720]  哪些人是最早發現的呢?
[00:01:35.720 --> 00:01:40.360]  女士啊,所以你不要小看女士
[00:01:40.360 --> 00:01:43.560]  在神眼中,女士是很重要的
[00:01:43.560 --> 00:01:48.400]  很多重要的事情都是透過女士來產生
[00:01:48.400 --> 00:01:53.760]  復活的事情,耶穌的出生都要靠女士
[00:01:53.760 --> 00:01:55.860]  不找男人
[00:01:55.860 --> 00:02:00.360]  如果你留意,是童貞女所生,是女士的
[00:02:00.360 --> 00:02:01.680]  所以感謝主
[00:02:01.680 --> 00:02:04.200]  今天雖然還沒到母親節
[00:02:04.200 --> 00:02:06.480]  我們真的要為母親感恩
[00:02:06.480 --> 00:02:08.160]  第二節,七日的第一日
[00:02:08.160 --> 00:02:10.280]  清早出太陽的時候
[00:02:10.280 --> 00:02:13.280]  他們就來到墳墓那裡
[00:02:13.280 --> 00:02:16.640]  去到就自知陣陣
[00:02:16.640 --> 00:02:20.280]  誰讓我們把石頭從墓門滾開呢?
[00:02:20.280 --> 00:02:22.000]  因為他們發現
[00:02:22.000 --> 00:02:24.440]  本來擋住墳墓的那塊石頭
[00:02:24.440 --> 00:02:27.160]  但是這根是滾開了
[00:02:27.160 --> 00:02:29.600]  於是他們就彼此自知陣陣
[00:02:29.600 --> 00:02:31.160]  彼此說的意思就是
[00:02:31.160 --> 00:02:32.800]  那塊石頭原來是很大的
[00:02:32.800 --> 00:02:33.920]  他們抬頭一看
[00:02:33.920 --> 00:02:36.240]  那塊石頭已經滾開了
[00:02:36.240 --> 00:02:38.600]  他們進到墳墓裡面
[00:02:38.600 --> 00:02:41.480]  就看到一個少年人坐在那裡
[00:02:41.480 --> 00:02:44.960]  穿著白袍,就甚驚恐
[00:02:44.960 --> 00:02:50.280]  那少年人對他們說:不要驚恐
[00:02:50.280 --> 00:02:54.360]  他說:你們要尋找的耶穌
[00:02:54.360 --> 00:02:57.240]  那位釘十字架的耶穌
[00:02:57.240 --> 00:02:59.640]  祂已經復活了
[00:02:59.640 --> 00:03:01.200]  不在這個地方了
[00:03:01.200 --> 00:03:07.440]  請看安放祂的地方
[00:03:07.440 --> 00:03:12.480]  接著,怎麼說呢?
[00:03:12.480 --> 00:03:17.640]  請大家特別去留意第七節
[00:03:17.640 --> 00:03:21.960]  祂說:你們可以去告訴祂的門徒
[00:03:21.960 --> 00:03:23.720]  接著怎麼說呢?
[00:03:23.720 --> 00:03:29.240]  「和彼得說:祂在你們先往加里尼去
[00:03:29.240 --> 00:03:32.040]  在那裡,他們看見祂
[00:03:32.040 --> 00:03:38.280]  正如祂從前所告訴你們的
[00:03:38.280 --> 00:03:42.000]  他們就出來從墳墓逃跑
[00:03:42.000 --> 00:03:44.480]  又發抖,又驚奇
[00:03:44.480 --> 00:03:46.480]  什麼也不告訴人
[00:03:46.480 --> 00:03:51.120]  因為他們害怕」
[00:03:51.120 --> 00:03:56.400]  今天我想和大家從復活的故事裡面
[00:03:56.400 --> 00:03:57.280]  去看一件事
[00:03:57.280 --> 00:03:59.760]  其實我們從來都沒有想到的
[00:03:59.760 --> 00:04:01.560]  在剛才讀第七節的時候
[00:04:01.560 --> 00:04:02.960]  當那個...
[00:04:02.960 --> 00:04:05.920]  有些人說這是天使,穿白衣的少年人
[00:04:05.920 --> 00:04:07.640]  他去告訴那班女士
[00:04:07.640 --> 00:04:11.160]  你要回去,你們回去告訴那些門徒聽的時候
[00:04:11.160 --> 00:04:13.760]  在這裡特別加了一句話
[00:04:13.760 --> 00:04:15.760]  不僅是說給那11個門徒聽
[00:04:15.760 --> 00:04:17.560]  這是馬太福音所說的
[00:04:17.560 --> 00:04:19.000]  就算路加也說
[00:04:19.000 --> 00:04:21.240]  去告訴那些門徒聽
[00:04:21.240 --> 00:04:24.560]  但是馬可福音特別強調一件事
[00:04:24.560 --> 00:04:27.000]  你去告訴那班門徒聽
[00:04:27.000 --> 00:04:28.240]  還有什麼?
[00:04:28.240 --> 00:04:29.520]  「和彼得」
[00:04:29.520 --> 00:04:35.720]  很奇怪,為什麼會是這樣的一件事情?
[00:04:35.720 --> 00:04:36.640]  有些人說
[00:04:36.640 --> 00:04:38.280]  馬可福音
[00:04:38.280 --> 00:04:39.880]  雖然說是馬可寫的
[00:04:39.880 --> 00:04:42.600]  其實馬可的資料是從哪裡來的呢?
[00:04:42.600 --> 00:04:45.720]  或者說馬可怎麼寫成這個馬可福音呢?
[00:04:45.720 --> 00:04:47.160]  是因為
[00:04:47.160 --> 00:04:48.880]  彼得口述
[00:04:48.880 --> 00:04:50.920]  彼得將他知道的東西
[00:04:50.920 --> 00:04:54.080]  告訴路加
[00:04:54.080 --> 00:04:54.960]  告訴馬可
[00:04:54.960 --> 00:04:58.360]  馬可是他的書記
[00:04:58.360 --> 00:05:01.320]  馬可是口述歷史來的
[00:05:01.320 --> 00:05:03.280]  彼得將這些事情告訴他
[00:05:03.280 --> 00:05:06.880]  所以當來到這個故事的時候
[00:05:06.880 --> 00:05:09.320]  可能已經是一段反思的時間
[00:05:09.320 --> 00:05:11.840]  他有一個很強烈的感受
[00:05:11.840 --> 00:05:13.720]  所以他就
[00:05:13.720 --> 00:05:17.440]  看回當耶穌被賣的那一夜
[00:05:17.440 --> 00:05:18.920]  拉去衙門
[00:05:18.920 --> 00:05:22.480]  拉到祭祀長要審的時候
[00:05:22.480 --> 00:05:24.880]  他曾經做過一件什麼事情呢?
[00:05:24.880 --> 00:05:27.120]  三次不認耶穌
[00:05:27.120 --> 00:05:27.760]  是不是?
[00:05:27.760 --> 00:05:28.440]  當有些人說
[00:05:28.440 --> 00:05:30.680]  哇,你是他一起的
[00:05:30.680 --> 00:05:31.560]  我認得你
[00:05:31.560 --> 00:05:35.480]  我聽你的口音都知道你是和他們一起的
[00:05:35.480 --> 00:05:36.920]  他一而再地說
[00:05:36.920 --> 00:05:38.920]  不是啊,我死都不是
[00:05:38.920 --> 00:05:40.920]  根本上我和他沒有關係的
[00:05:40.920 --> 00:05:42.840]  三次不認耶穌的
[00:05:42.840 --> 00:05:45.200]  是不是?
[00:05:45.200 --> 00:05:48.880]  但是
[00:05:48.880 --> 00:05:50.120]  過後
[00:05:50.120 --> 00:05:53.600]  他去發那件事
