
[00:00:00.000 --> 00:00:03.300]  (主席)兄姊妹主內平安
[00:00:03.300 --> 00:00:05.180]  我不知道你知不知道
[00:00:05.180 --> 00:00:11.160]  教會有一個叫做懷孕和初生媽媽的小組
[00:00:11.160 --> 00:00:13.500]  他們都有定期的活動
[00:00:13.500 --> 00:00:15.260]  每個月他們都會聚會
[00:00:15.260 --> 00:00:17.800]  每一次他們都會在一起
[00:00:17.800 --> 00:00:21.080]  我現在說的是沒有疫情的時候
[00:00:21.080 --> 00:00:22.460]  他們可以聚在一起
[00:00:22.460 --> 00:00:25.940]  又分享,講一下心得,照顧孩子
[00:00:25.940 --> 00:00:27.980]  有時候又會拿一些物資去分享
[00:00:27.980 --> 00:00:31.560]  你知道,嬰兒長大很快,有些衣服都很新淨
[00:00:31.560 --> 00:00:33.620]  他們可以二手衣服
[00:00:33.620 --> 00:00:35.840]  或者有時候生了嬰兒
[00:00:35.840 --> 00:00:38.720]  有些都沒有開過封的禮物
[00:00:38.720 --> 00:00:41.600]  又可以互相分享一下
[00:00:41.600 --> 00:00:43.740]  有時候他們又會邀請一些醫生
[00:00:43.740 --> 00:00:45.020]  或者一些專業
[00:00:45.020 --> 00:00:49.140]  知道怎樣去照顧嬰兒
[00:00:49.140 --> 00:00:51.100]  又或者在懷孕當中
[00:00:51.100 --> 00:00:52.620]  心理狀態是怎樣
[00:00:52.620 --> 00:00:55.500]  都有些專家來跟他們分享
[00:00:55.500 --> 00:00:58.260]  更重要的是他們彼此支持
[00:00:58.260 --> 00:01:00.780]  互相的代討
[00:01:00.780 --> 00:01:03.260]  我相信這些媽媽
[00:01:03.260 --> 00:01:06.700]  或者已經剛剛做了媽媽的姐妹們
[00:01:06.700 --> 00:01:10.120]  他們特別是準備生嬰兒
[00:01:10.120 --> 00:01:13.300]  他們都會為未來而喝彩
[00:01:13.300 --> 00:01:19.340]  因為期盼著,期待著嬰兒的出世
[00:01:19.340 --> 00:01:21.540]  在路加呼音那裏
[00:01:21.540 --> 00:01:26.100]  亦都記載了兩個懷孕的媽媽的相聚
[00:01:26.100 --> 00:01:28.940]  剛才母所讀出的經文
[00:01:28.940 --> 00:01:33.660]  正正就是記述了這兩個懷孕的姐妹
[00:01:33.660 --> 00:01:37.860]  他們相見的一個故事
[00:01:37.860 --> 00:01:38.740]  經文這樣說
[00:01:38.740 --> 00:01:43.700]  上帝差遣天使加伯利去告訴瑪麗亞
[00:01:43.700 --> 00:01:46.580]  她將要懷孕生子了
[00:01:46.580 --> 00:01:47.300]  天使對她說
[00:01:47.300 --> 00:01:48.820]  瑪麗亞不用怕
[00:01:48.820 --> 00:01:51.180]  你在神的面前已經是蒙恩
[00:01:51.180 --> 00:01:53.100]  你要懷孕生子
[00:01:53.100 --> 00:01:55.340]  可以給他起名叫耶穌
[00:01:55.340 --> 00:01:58.340]  不單止告訴她你將要懷孕生子
