
[00:00:00.000 --> 00:00:04.800]  我希望在我們一直在做《舊約》的講座裡面
[00:00:04.800 --> 00:00:08.200]  都可以看到這個《十字架的影子》
[00:00:08.200 --> 00:00:11.000]  我不知道你記不記得兩個月之前
[00:00:11.000 --> 00:00:15.660]  我們開始有《創世紀》的講座
[00:00:15.660 --> 00:00:20.540]  當時講到由創造墮落、拯救
[00:00:20.540 --> 00:00:23.760]  有個三部曲 如果你忘記了
[00:00:23.760 --> 00:00:25.440]  你都可以回去再聽
[00:00:25.440 --> 00:00:32.600]  跟著一個月之前我們講出埃及記裡面的十災
[00:00:32.600 --> 00:00:37.200]  其實是一個偶像之家逃生記
[00:00:37.200 --> 00:00:40.440]  就是這個出埃及記
[00:00:40.440 --> 00:00:42.940]  下一個星期六 不是接下來這個星期六
[00:00:42.940 --> 00:00:46.020]  再下一個星期六我們就會講利美記
[00:00:46.020 --> 00:00:49.820]  如果你之前有聽過利美記的《街口站》
[00:00:49.820 --> 00:00:53.780]  我的題目是講聖潔君王的保衛者
[00:00:53.780 --> 00:00:56.980]  其實他是保衛著上帝的聖潔
[00:00:56.980 --> 00:00:59.520]  跟著就是《文素記》
[00:00:59.520 --> 00:01:02.200]  《文素記》有很多故事
[00:01:02.200 --> 00:01:05.600]  但是故事都是很悲慘的故事
[00:01:05.600 --> 00:01:10.280]  《文素記》是曠野中的大叛逆
[00:01:10.280 --> 00:01:13.620]  如果你記得《文素記》
[00:01:13.620 --> 00:01:17.940]  就是一個本來可能幾個禮拜
[00:01:17.940 --> 00:01:22.400]  就是一兩個月都可以走完的出埃及
[00:01:22.400 --> 00:01:26.380]  去到認去知道 竟然是走了40年
[00:01:26.380 --> 00:01:30.620]  原因是因為當中不是單單是一次的叛逆
[00:01:30.620 --> 00:01:35.600]  當然他們派12個使者去探地
[00:01:35.600 --> 00:01:37.720]  探紙的時候都是不信
[00:01:37.720 --> 00:01:42.220]  但是其實在最後的40年裡面
[00:01:42.220 --> 00:01:46.820]  他們不斷的不信上帝 也是叛逆
[00:01:46.820 --> 00:01:49.480]  所以是曠野裡面的大叛逆
[00:01:49.480 --> 00:01:54.580]  如果你還記得這個《文素記》的大綱
[00:01:54.580 --> 00:01:58.440]  或者是寫作的架構
[00:01:58.440 --> 00:02:00.780]  就是它其實主要是一三五
[00:02:00.780 --> 00:02:03.260]  是他們在那裡發生的事情
[00:02:03.260 --> 00:02:06.320]  接著二四是他們的旅行
[00:02:06.320 --> 00:02:08.860]  他們從一個地方去到另一個地方
[00:02:08.860 --> 00:02:13.160]  而你看到在最後那個地方
[00:02:13.160 --> 00:02:14.960]  是從西乃去到帕蘭
[00:02:14.960 --> 00:02:18.620]  接著帕蘭最後去到摩亞地
[00:02:18.620 --> 00:02:22.680]  現在當我們去到這個《生命記》的時候
[00:02:22.680 --> 00:02:26.180]  其實《生命記》就是發生在摩亞平原
[00:02:26.180 --> 00:02:27.760]  就是已經過了40年了
[00:02:27.760 --> 00:02:32.360]  就要進入認去知道當中發生的事情
[00:02:32.360 --> 00:02:35.640]  或者是一些教導
[00:02:35.640 --> 00:02:37.640]  今天是10月30日
[00:02:37.640 --> 00:02:43.180]  如果你是按照我們的進度
[00:02:43.180 --> 00:02:46.060]  應該今天去到29、30章
[00:02:46.060 --> 00:02:49.920]  就很快過了這個禮拜四
[00:02:49.920 --> 00:02:54.040]  你就讀完《整本舊約》的五分之一了
[00:02:54.040 --> 00:02:57.780]  我們其實用了三個月而已
[00:02:57.780 --> 00:03:04.180]  所以我一會兒會給你下三個月讀經的指引
[00:03:04.180 --> 00:03:07.540]  希望大家真的可以
[00:03:07.540 --> 00:03:08.740]  不僅是出到I Club
[00:03:08.740 --> 00:03:11.580]  是出到《生命記》而繼續努力的
[00:03:11.580 --> 00:03:13.500]  今天想和大家介紹一下《生命記》
[00:03:13.500 --> 00:03:15.400]  一本非常重要的書
[00:03:15.400 --> 00:03:17.000]  當然我們的時間很有限
[00:03:17.000 --> 00:03:21.220]  我們大概講一些大綱和中心思想
[00:03:21.220 --> 00:03:22.880]  《生命記》究竟是什麼來的呢?
[00:03:22.880 --> 00:03:28.920]  《生命記》我想你可能聽過《Deuteronomy》
[00:03:28.920 --> 00:03:31.980]  其實是講第二個律法
[00:03:31.980 --> 00:03:35.680]  或者其實是律法的第二次的詮釋
[00:03:35.680 --> 00:03:37.540]  這個是已經40年之後了
[00:03:37.540 --> 00:03:41.100]  你會發覺其實《生命記》和《塞埃及記》裡面
[00:03:41.100 --> 00:03:45.000]  都有裝著十誡的
[00:03:45.000 --> 00:03:50.380]  但是那個十誡其實去到《生命記》的時候
[00:03:50.380 --> 00:03:52.800]  已經是過了39年、40年
[00:03:52.800 --> 00:03:56.940]  是兩個時代的人了
[00:03:56.940 --> 00:04:01.600]  《生命記》是約旦河外的遺言
[00:04:01.600 --> 00:04:02.680]  是摩西的遺言
[00:04:02.680 --> 00:04:06.180]  因為摩西進不了去那個認許之地
[00:04:06.180 --> 00:04:09.980]  摩西只可以遙遠張望在約旦河外
[00:04:09.980 --> 00:04:11.720]  所以這個是摩西的遺言
[00:04:11.720 --> 00:04:14.760]  是摩西最後他們要說再見了
[00:04:14.760 --> 00:04:18.160]  他們要進去了 接著給他們很多的
[00:04:18.160 --> 00:04:20.300]  其實都不是這麼正面的
[00:04:20.300 --> 00:04:22.300]  很多是警告來的
[00:04:22.300 --> 00:04:25.840]  裡面的主題有些很主要的東西
[00:04:25.840 --> 00:04:28.100]  叫《解明律例典章》
[00:04:28.100 --> 00:04:31.360]  這樣的字眼是不斷的出現
[00:04:31.360 --> 00:04:33.680]  所以你讀《生命記》的時候
[00:04:33.680 --> 00:04:36.340]  有時我們現代人都覺得很沉悶
[00:04:36.340 --> 00:04:37.540]  不知道發生什麼事
[00:04:37.540 --> 00:04:41.760]  又是好像那些這樣的《解明律例典章》
[00:04:41.760 --> 00:04:46.120]  但我想帶你用一個比較不一樣的眼光去看
[00:04:46.120 --> 00:04:49.120]  希望可以幫到你
[00:04:49.120 --> 00:04:53.260]  我做了一張slide 就是《生命記》了
[00:04:53.260 --> 00:04:58.300]  其實我到時講這個舊約講座的時候
[00:04:58.300 --> 00:05:01.140]  我有個主題 主題叫做
[00:05:01.140 --> 00:05:04.200]  「心受割禮 心愛主」
[00:05:04.200 --> 00:05:06.780]  你會發現原來在《生命記》裡面
[00:05:06.780 --> 00:05:09.960]  有幾個重要的主題 是很重要的
[00:05:09.960 --> 00:05:12.380]  剛才我們講過有些字眼經常出現
[00:05:12.380 --> 00:05:15.860]  《解明律例典章》那些律例
[00:05:15.860 --> 00:05:19.340]  但其實最終它的思想是愛上帝
[00:05:19.340 --> 00:05:21.740]  是心愛主 我一會兒會講一下
[00:05:21.740 --> 00:05:26.140]  你看到我的slide有個第六章
[00:05:26.140 --> 00:05:29.820]  這個就是整本書的中心
[00:05:29.820 --> 00:05:32.820]  但是要一個人真的去愛上帝
[00:05:32.820 --> 00:05:35.140]  他心裡需要受割禮
[00:05:35.140 --> 00:05:39.060]  這個也是另外一個《生命記》獨有的東西
[00:05:39.060 --> 00:05:43.880]  或者是在《衝出黎民生》裡面第一次出現的東西
[00:05:43.880 --> 00:05:46.920]  OK 我遲些再回來跟大家解釋這張slide
[00:05:46.920 --> 00:05:49.400]  我們先看一下《生命記》
[00:05:49.400 --> 00:05:53.240]  如果你要怎樣去明白《生命記》呢?
[00:05:53.240 --> 00:05:57.440]  聖經學者告訴你 你可以將《生命記》分為三段
[00:05:57.440 --> 00:06:00.120]  我不知道你有沒有看到 右手邊那裡
[00:06:00.120 --> 00:06:03.700]  第一至十一章 接著第十二至二十六章
[00:06:03.700 --> 00:06:07.560]  接著第二十七至三十四章
[00:06:07.560 --> 00:06:11.860]  好像都蠻複雜的 但其實都蠻簡單的
[00:06:11.860 --> 00:06:16.300]  因為我想每一部份對於我們來講
[00:06:16.300 --> 00:06:20.260]  都有一點點印象的 除了中間那部份
[00:06:20.260 --> 00:06:21.600]  一會兒再講
[00:06:21.600 --> 00:06:23.520]  第一至第十一章裡面
[00:06:23.520 --> 00:06:26.220]  其實大家都會發現有一個最大的誡命
[00:06:26.220 --> 00:06:29.700]  就算你回到教會沒多久
[00:06:29.700 --> 00:06:31.740]  你都聽過這個最大的誡命
[00:06:31.740 --> 00:06:36.200]  就是愛 盡心盡性 盡力愛耶和華你的上帝
[00:06:36.200 --> 00:06:38.000]  那是從哪裡來的呢?《生命記》
[00:06:38.000 --> 00:06:40.220]  《生命記》的第六章最大的誡命
[00:06:40.220 --> 00:06:43.540]  如果你正在想《生命記》的最後那一部份
[00:06:43.540 --> 00:06:45.540]  二十七至三十四章
[00:06:45.540 --> 00:06:50.160]  大家都可能會記得的一件事 就是福氣和詛咒
[00:06:50.160 --> 00:06:57.160]  如果我們會遵守上帝的律例、典章、誡命的話
[00:06:57.160 --> 00:06:58.760]  那就有以下的祝福了
[00:06:58.760 --> 00:07:02.700]  當然 律例、典章就在中間
[00:07:02.700 --> 00:07:05.260]  但其實也不只是中間的
[00:07:05.260 --> 00:07:09.160]  因為其實那個十誡在第五章已經出來了
