
[00:00:00.000 --> 00:00:04.000]  今天我們一起打開《馬太福音》第十七章
[00:00:04.000 --> 00:00:06.000]  第二十二節至二十三節
[00:00:06.000 --> 00:00:10.000]  講一個題目叫《侍奉上的挫折感的緣由》
[00:00:10.000 --> 00:00:12.000]  在聆聽主導議先
[00:00:12.000 --> 00:00:14.000]  讓我們再次同心低頭禱告
[00:00:14.000 --> 00:00:18.000]  天父我多謝你
[00:00:18.000 --> 00:00:23.000]  讓我們再次回來在你主說話裡學習
[00:00:23.000 --> 00:00:26.000]  藉著你愛之耶穌基督的啟示
[00:00:26.000 --> 00:00:31.000]  讓我們明白到如何作為一個屬主你的子民
[00:00:31.000 --> 00:00:35.000]  如何在今天的時間活在這個地上
[00:00:35.000 --> 00:00:37.000]  我們再次獻上感恩
[00:00:37.000 --> 00:00:38.000]  因為我們知道
[00:00:38.000 --> 00:00:42.000]  若單靠我們自己在這個地上而活
[00:00:42.000 --> 00:00:46.000]  讓我們自己學習如何做一個侍奉
[00:00:46.000 --> 00:00:49.000]  很多時候可能落得的景象
[00:00:49.000 --> 00:00:52.000]  只不過我們是一連串的失望
[00:00:52.000 --> 00:00:55.000]  但願主你的幫助帶領
[00:00:55.000 --> 00:01:00.000]  讓我們在這段聖經裡重新找到侍奉的動力
[00:01:00.000 --> 00:01:03.000]  明白如何走面前的道路
[00:01:03.000 --> 00:01:04.000]  我們同心去禱告
[00:01:04.000 --> 00:01:07.000]  奉靠主耶穌基督德性的名字而靠
[00:01:07.000 --> 00:01:08.000]  阿們
[00:01:08.000 --> 00:01:12.000]  在聖經的記載當中
[00:01:12.000 --> 00:01:15.000]  我們其實不難發現到一個現象
[00:01:15.000 --> 00:01:19.000]  就是通常忠心侍奉上帝的人
[00:01:19.000 --> 00:01:22.000]  很多時候大部分
[00:01:22.000 --> 00:01:25.000]  甚至這樣說絕大部分
[00:01:25.000 --> 00:01:29.000]  他們都不能在這個侍奉的過程當中
[00:01:29.000 --> 00:01:32.000]  做到很風生水起
[00:01:32.000 --> 00:01:34.000]  在我預備這堂講道的時候
[00:01:34.000 --> 00:01:35.000]  我沒有估計
