
[00:00:00.000 --> 00:00:02.000]  我有沒有聽錯?
[00:00:02.000 --> 00:00:04.000]  應該是生活的智慧吧?
[00:00:04.000 --> 00:00:06.000]  剛才主席是否在讀生命的智慧?
[00:00:06.000 --> 00:00:11.000]  你們沒有留意嗎?
[00:00:11.000 --> 00:00:14.000]  你們有沒有聽的?
[00:00:14.000 --> 00:00:20.000]  OK
[00:00:20.000 --> 00:00:22.000]  有時候都會聽錯的
[00:00:22.000 --> 00:00:23.000]  有時候一會兒會說錯
[00:00:23.000 --> 00:00:24.000]  那就很危險了
[00:00:24.000 --> 00:00:26.000]  一字之差
[00:00:26.000 --> 00:00:29.000]  有時候都給我們有很多的體會
[00:00:29.000 --> 00:00:31.000]  生活的智慧
[00:00:31.000 --> 00:00:33.000]  說話篇
[00:00:33.000 --> 00:00:35.000]  今天有沒有人沒有說話?
[00:00:35.000 --> 00:00:39.000]  有沒有人沒有說話?
[00:00:39.000 --> 00:00:41.000]  每個人都說過話吧?
[00:00:41.000 --> 00:00:44.000]  有沒有試過整天不說話去靜修的時候?
[00:00:44.000 --> 00:00:46.000]  很艱難的
[00:00:46.000 --> 00:00:48.000]  連吃飯都不可以說話
[00:00:48.000 --> 00:00:50.000]  整天不可以說話
[00:00:50.000 --> 00:00:51.000]  當靜修的時候
[00:00:51.000 --> 00:00:53.000]  就是專注的去聆聽神
[00:00:53.000 --> 00:00:55.000]  在你心裡面要說的話
[00:00:55.000 --> 00:00:57.000]  一個很大的學習操練
[00:00:57.000 --> 00:00:59.000]  如果你有感動
[00:00:59.000 --> 00:01:01.000]  即是快要受苦節了
[00:01:01.000 --> 00:01:03.000]  你找一天
[00:01:03.000 --> 00:01:04.000]  完全不說話
[00:01:04.000 --> 00:01:06.000]  看看有什麼靈獸可以和我分享
[00:01:06.000 --> 00:01:08.000]  我們祈禱
[00:01:08.000 --> 00:01:10.000]  七因主你幫助我們
[00:01:10.000 --> 00:01:12.000]  叫我們曉得明白
[00:01:12.000 --> 00:01:14.000]  說話應該是怎樣去說
[00:01:14.000 --> 00:01:16.000]  主也求你去賜福
[00:01:16.000 --> 00:01:18.000]  恩代我們
[00:01:18.000 --> 00:01:22.000]  叫我們在和人之間的溝通裡面
[00:01:22.000 --> 00:01:24.000]  是滿有你賜給我們的恩典
[00:01:24.000 --> 00:01:26.000]  主也求你祝福
[00:01:26.000 --> 00:01:28.000]  保守和看顧
[00:01:28.000 --> 00:01:29.000]  帶領以下的時間
[00:01:29.000 --> 00:01:31.000]  主多謝你
[00:01:31.000 --> 00:01:32.000]  聽我們祈禱
[00:01:32.000 --> 00:01:33.000]  奉主命求
[00:01:33.000 --> 00:01:35.000]  阿們
[00:01:56.000 --> 00:01:58.000]  身體語言出賣你自己的思想
[00:01:58.000 --> 00:02:00.000]  你不自覺的
[00:02:00.000 --> 00:02:02.000]  你如果在這一刻翹著手
[00:02:02.000 --> 00:02:04.000]  好像不想聽牧師講
[00:02:04.000 --> 00:02:06.000]  你明不明
[00:02:06.000 --> 00:02:10.000]  我會看到的
[00:02:10.000 --> 00:02:12.000]  當然有些人不代表這樣
[00:02:12.000 --> 00:02:14.000]  但身體語言
[00:02:14.000 --> 00:02:16.000]  出賣了你的思想
[00:02:16.000 --> 00:02:20.000]  亦都是一些經驗感情的交流
[00:02:20.000 --> 00:02:23.000]  很多時候我們在一些說話裡面
[00:02:23.000 --> 00:02:25.000]  引申一些矛盾和衝突
