
[00:00:00.000 --> 00:00:04.280]  首先再次多謝 Chester 邀請我
[00:00:04.280 --> 00:00:06.440]  可以來到大家當中
[00:00:06.440 --> 00:00:13.200]  和大家一起去分享這個 retreat 裏面
[00:00:13.200 --> 00:00:16.320]  他給我的題目就是
[00:00:16.320 --> 00:00:19.400]  幹職生涯完事…
[00:00:19.400 --> 00:00:20.960]  如果你就這樣聽這個題目
[00:00:20.960 --> 00:00:25.080]  這個題目像是分享多過一個訊息
[00:00:25.080 --> 00:00:26.560]  我收到的時候
[00:00:26.560 --> 00:00:28.680]  我大概都明白是什麼
[00:00:28.680 --> 00:00:33.520]  但我慢慢亦都很想將它變成一個正面的訊息
[00:00:33.520 --> 00:00:36.120]  我想大家走的時候
[00:00:36.120 --> 00:00:38.840]  真的可以有一些東西捉住
[00:00:38.840 --> 00:00:40.000]  可以回去思想
[00:00:40.000 --> 00:00:43.680]  於是我就幫他 fill in the blank
[00:00:43.680 --> 00:00:46.000]  即是我做了一個填充題
[00:00:46.000 --> 00:00:50.440]  instead of 幹職生涯完事…
[00:00:50.440 --> 00:00:54.720]  我就說幹職生涯完事夢
[00:00:54.720 --> 00:00:58.680]  Dora A 夢 都像的
[00:00:58.680 --> 00:01:03.440]  好像有時候覺得我們都是服侍大雄
[00:01:03.440 --> 00:01:09.400]  其實我想的不是一個負面的思想
[00:01:09.400 --> 00:01:12.040]  我想的是一個很正面的思想
[00:01:12.040 --> 00:01:15.240]  幹職生涯完事是一個夢
[00:01:15.240 --> 00:01:21.400]  這個夢就不是好像叮噹去服侍大雄的夢
[00:01:21.400 --> 00:01:24.640]  是天國的夢
[00:01:24.640 --> 00:01:26.960]  天國的夢
[00:01:26.960 --> 00:01:28.240]  在我預備的時候
[00:01:28.240 --> 00:01:31.240]  我本來想著聊聊天
[00:01:31.240 --> 00:01:33.440]  不需要太 preachy
[00:01:33.440 --> 00:01:34.880]  好像在講聖經一樣
[00:01:34.880 --> 00:01:36.480]  但我後來想了想
[00:01:36.480 --> 00:01:38.920]  覺得還是需要有一段聖經
[00:01:38.920 --> 00:01:42.000]  否則很容易沒有方向
[00:01:42.000 --> 00:01:44.560]  於是我就想了一段聖經
[00:01:44.560 --> 00:01:46.520]  我不知道如果有人問你
[00:01:46.520 --> 00:01:52.280]  就叫你找一段聖經跟幹職生涯有些關係的
[00:01:52.280 --> 00:01:54.360]  你會選哪一段聖經
[00:01:54.360 --> 00:01:55.200]  我選了一段
[00:01:55.200 --> 00:01:56.720]  我想我一說出來
[00:01:56.720 --> 00:02:01.120]  你大概都會有一些印象的
[00:02:01.120 --> 00:02:06.280]  那段聖經就是《詩篇84篇》
[00:02:06.280 --> 00:02:10.560]  有沒有人知道《詩篇84篇》是講什麼的?
[00:02:10.560 --> 00:02:12.160]  《詩篇84篇》一會兒你讀
[00:02:12.160 --> 00:02:15.760]  你就會記得了
[00:02:15.760 --> 00:02:21.400]  那篇就是講聖殿守門員的一個詩篇
[00:02:21.400 --> 00:02:24.280]  是一群聖殿守門口的人
[00:02:24.280 --> 00:02:26.840]  所編寫的詩篇
[00:02:26.840 --> 00:02:29.080]  是一群利美人
[00:02:29.080 --> 00:02:32.920]  他既是利美人也不是祭司
[00:02:32.920 --> 00:02:38.480]  他是幫助祭司帶領以色列人去敬拜的
[00:02:38.480 --> 00:02:39.800]  明白嗎?
[00:02:39.800 --> 00:02:42.240]  其實你一會兒讀到的時候
[00:02:42.240 --> 00:02:45.800]  你會發現這個詩篇是很熟面口的
[00:02:45.800 --> 00:02:47.960]  如果你讀英文的話
[00:02:47.960 --> 00:02:49.360]  你會知道這篇詩篇
[00:02:49.360 --> 00:02:53.360]  起碼有兩首很流行的英文歌
[00:02:53.360 --> 00:02:54.480]  或者是很舊的
[00:02:54.480 --> 00:02:57.960]  我讀書的時候都會唱到的
[00:02:57.960 --> 00:03:02.000]  一個就是《How lovely is your dwelling place》
[00:03:02.000 --> 00:03:05.520]  你的住處何其美
[00:03:05.520 --> 00:03:07.960]  另外一個就是這句
[00:03:07.960 --> 00:03:12.040]  《Better is one day in your court than thousands elsewhere》
[00:03:12.040 --> 00:03:15.480]  我寧願住在你的原址裡面一天
[00:03:15.480 --> 00:03:18.840]  好過千日在另外一個地方
[00:03:18.840 --> 00:03:22.240]  如果你有聽過這兩首歌
[00:03:22.240 --> 00:03:25.160]  這兩首歌都是告訴我們
[00:03:25.160 --> 00:03:27.720]  我們回來教會是很開心的
[00:03:27.720 --> 00:03:29.200]  我現在馬上跟你說
[00:03:29.200 --> 00:03:32.200]  這兩首歌都是解錯了這段聖經
[00:03:32.200 --> 00:03:33.920]  也是應用錯了這段聖經
[00:03:33.920 --> 00:03:36.040]  完全是錯誤的
[00:03:36.040 --> 00:03:38.200]  其實你外面聽很多歌
[00:03:38.200 --> 00:03:40.160]  如果引用詩篇的話
[00:03:40.160 --> 00:03:43.040]  我想十成九都會是錯的
[00:03:43.040 --> 00:03:44.320]  我一會兒告訴你
[00:03:44.320 --> 00:03:47.920]  為什麼十成九會是錯的
[00:03:47.920 --> 00:03:49.160]  我開始的時候
[00:03:49.160 --> 00:03:53.240]  我想跟你一起讀一讀這段詩篇
[00:03:53.240 --> 00:03:54.920]  不如我們一起讀好不好?
[00:03:54.920 --> 00:03:55.680]  好
[00:03:55.680 --> 00:03:57.680]  一、二、三
[00:03:57.680 --> 00:04:00.040]  萬君子耶和華
[00:04:00.040 --> 00:04:03.040]  你的居所何等可愛
[00:04:03.040 --> 00:04:06.880]  我羨慕喝賞耶和華的婉語
[00:04:06.880 --> 00:04:09.720]  我的內心我的肉體
[00:04:09.720 --> 00:04:12.680]  向永上上帝歡愉
[00:04:12.680 --> 00:04:15.920]  萬君子耶和華
[00:04:15.920 --> 00:04:18.560]  我的王我的上帝
[00:04:18.560 --> 00:04:20.720]  在你濟貧那裡
[00:04:20.720 --> 00:04:23.960]  麻雀為自己找到了家
[00:04:23.960 --> 00:04:28.520]  燕子為自己找著寶座之窩
[00:04:28.520 --> 00:04:32.440]  如此住在你殿中的有福了
[00:04:32.440 --> 00:04:35.440]  他們不斷地讚美你
[00:04:35.440 --> 00:04:36.480]  讀完那個了
[00:04:36.480 --> 00:04:37.080]  什麼?
[00:04:37.080 --> 00:04:38.080]  「細奶」
