
[00:00:00.000 --> 00:00:04.160]  各位兄弟姐妹們,平安
[00:00:04.160 --> 00:00:09.440]  剛才Benny他大唱詩
[00:00:09.440 --> 00:00:14.000]  我很喜歡他最後的首詩歌
[00:00:14.000 --> 00:00:21.280]  「我們的主是我們的神,我們的王是我們生命的導引」
[00:00:21.280 --> 00:00:26.640]  所以他說他要一生深愛耶穌
[00:00:26.640 --> 00:00:29.520]  是不是大家的心聲
[00:00:29.520 --> 00:00:35.520]  如果大家也有Benny牧師的這種心
[00:00:35.520 --> 00:00:39.120]  你會很想去做一件事
[00:00:39.120 --> 00:00:41.840]  就是傳福音
[00:00:41.840 --> 00:00:44.560]  我自己最近感謝主
[00:00:44.560 --> 00:00:50.480]  我們在Vicfield找到一間我和師母很深愛的房子
[00:00:50.480 --> 00:00:55.520]  在那裡我們回想我們來英國
[00:00:55.520 --> 00:00:57.760]  二十多年前來過
[00:00:57.760 --> 00:01:09.280]  到2014年的8月
[00:01:09.280 --> 00:01:11.360]  我失憶了
[00:01:11.360 --> 00:01:16.240]  你二三而已,不是,你二二我二三
[00:01:16.240 --> 00:01:20.160]  看到其實一直都有主很多恩典
[00:01:20.160 --> 00:01:26.320]  不是這樣我們就沒辦法來到和安居
[00:01:26.320 --> 00:01:32.480]  所以實在是有很多恩典我們都很想去和人分享
[00:01:32.480 --> 00:01:37.840]  今天要和大家思想的題目是保羅的祝福
[00:01:37.840 --> 00:01:41.680]  就是「無要傳道,無要傳道」
[00:01:41.680 --> 00:01:45.200]  那麼盼望我們大家都有這個心
[00:01:45.200 --> 00:01:47.600]  我們一起先有個禱告
[00:01:47.600 --> 00:01:51.680]  主啊,你是我們的主,我們的神
[00:01:51.680 --> 00:01:55.760]  是我們人生的領導,引導
[00:01:55.760 --> 00:02:00.880]  主啊,我們沒有了你,我們也沒有今天
[00:02:00.880 --> 00:02:06.000]  是你賜予生命,賜予力量,賜予能力
[00:02:06.000 --> 00:02:12.400]  求主讓我們在每一天都能夠常傳一個感恩的心
[00:02:12.400 --> 00:02:14.960]  特別是屬於主你的日子
[00:02:14.960 --> 00:02:17.520]  我們能夠去數算主恩
[00:02:17.520 --> 00:02:22.640]  以致我們是願意去和人分享主的恩
[00:02:22.640 --> 00:02:26.480]  主的愛,主的大能
[00:02:26.480 --> 00:02:30.080]  奉耶穌的名堂,阿們
[00:02:30.080 --> 00:02:34.640]  好,無要傳道,今天的講題
[00:02:34.640 --> 00:02:40.800]  請問大家,你信了主有多少年了?
[00:02:40.800 --> 00:02:44.400]  有沒有超過十年的?
[00:02:44.400 --> 00:02:50.160]  哇,也不少,三十年的!
[00:02:50.160 --> 00:02:55.280]  少了一點,五十年有沒有?
[00:02:55.280 --> 00:03:00.640]  哇,五十年,我岳母立刻舉手了,超過了
[00:03:00.640 --> 00:03:06.800]  我們很感恩,但是我們可能信了主很多年
[00:03:06.800 --> 00:03:10.640]  但是有沒有去傳福音呢?
[00:03:10.640 --> 00:03:15.760]  傳福音?可能有些人說我都沒有
[00:03:15.760 --> 00:03:19.600]  但是每一個信徒都是應該傳福音的
[00:03:19.600 --> 00:03:22.400]  我相信你有的
[00:03:22.400 --> 00:03:27.680]  因為傳福音,我覺得有三種方式的
[00:03:27.680 --> 00:03:32.400]  最好就是你直接向人傳福音,這是一種
[00:03:32.400 --> 00:03:36.000]  第二種就是在你的生活上
[00:03:36.000 --> 00:03:41.120]  在你的行為上,你表現你是一個基督徒
[00:03:41.120 --> 00:03:44.560]  已經在傳福音了,各位
[00:03:44.560 --> 00:03:49.920]  所以有些人信耶穌,不是因為有人跟他說的
[00:03:49.920 --> 00:03:54.800]  而是他看到有些基督徒,他們滿有愛心
[00:03:54.800 --> 00:03:58.400]  他們做事很均真,很認真
[00:03:58.400 --> 00:04:03.760]  那些基督徒是面對很多困難
[00:04:03.760 --> 00:04:07.600]  他們對神的那種信心
[00:04:07.600 --> 00:04:11.440]  是引發他們去信耶穌的
[00:04:11.440 --> 00:04:15.280]  所以你的生命表現也是,還有
[00:04:15.280 --> 00:04:19.760]  你很想傳福音,但是你不懂怎麼傳福音
[00:04:19.760 --> 00:04:25.280]  像我媽媽,她不識字,她說話又不正
[00:04:25.280 --> 00:04:29.600]  來到香港都是潮州福建音
[00:04:29.600 --> 00:04:34.240]  但是她不懂說,她就帶領人
[00:04:34.240 --> 00:04:39.600]  特別帶領我們由福建來到香港的人
[00:04:39.600 --> 00:04:44.720]  來到教會,去教會就找她的兒子來
[00:04:44.720 --> 00:04:49.840]  跟他談,說耶穌,因為我做牧師
[00:04:49.840 --> 00:04:56.240]  所以你可以帶領人來教會,如果你不懂說的時候
[00:04:56.240 --> 00:05:00.080]  所以人人是不是都可以傳道
[00:05:00.080 --> 00:05:02.640]  你不要說我不可以傳道
[00:05:02.640 --> 00:05:07.760]  不過我更鼓勵你,直接去跟人說耶穌
[00:05:07.760 --> 00:05:11.600]  現在那些人一說耶穌他就走了
