
[00:00:00.000 --> 00:00:03.840]  我想問在座大家有沒有人是沒有手機的
[00:00:03.840 --> 00:00:08.320]  應該沒有吧 現在今時今日個個都有手機
[00:00:08.320 --> 00:00:11.400]  如果你是結了婚的 或者你是在拍拖的
[00:00:11.400 --> 00:00:14.980]  你有沒有將你的配偶的照片
[00:00:14.980 --> 00:00:17.160]  或者你男女朋友的照片
[00:00:17.160 --> 00:00:20.220]  放在手機做那個螢幕牆紙的
[00:00:20.220 --> 00:00:21.840]  有多少人這樣做的
[00:00:21.840 --> 00:00:24.540]  也多吧
[00:00:24.540 --> 00:00:27.480]  這樣做你覺得是不是很溫馨 你看下去
[00:00:27.480 --> 00:00:29.960]  你將你的配偶 你最愛的那個人
[00:00:29.960 --> 00:00:32.020]  放在手機上 整天都在看 是不是
[00:00:32.020 --> 00:00:33.680]  很溫馨
[00:00:33.680 --> 00:00:36.820]  你眼見就是一個很愛的表現
[00:00:36.820 --> 00:00:40.460]  有一對夫婦 丈夫就
[00:00:40.460 --> 00:00:43.800]  在手機的螢幕牆紙 放了太太的樣子在那裏
[00:00:43.800 --> 00:00:46.600]  還有就整天都拿出來看
[00:00:46.600 --> 00:00:49.800]  他特別幾時 當他工作困難
[00:00:49.800 --> 00:00:52.100]  很大壓力 就拿出來看
[00:00:52.100 --> 00:00:54.820]  看完之後就勇氣百倍
[00:00:55.080 --> 00:00:58.760]  這個太太看在眼裏 甜在心裏
[00:00:58.760 --> 00:01:01.260]  如果你是太太 你會怎樣
[00:01:01.260 --> 00:01:03.380]  老公整天都看我的樣子
[00:01:03.380 --> 00:01:06.120]  看我的樣子可以有勇氣
[00:01:06.120 --> 00:01:08.200]  有一次忍不住就問老公
[00:01:08.200 --> 00:01:12.000]  老公 老公 為什麼你整天看我的樣子
[00:01:12.000 --> 00:01:15.560]  老公一開始就知吾以對
[00:01:15.560 --> 00:01:17.680]  就咿咿咬咬的
[00:01:17.680 --> 00:01:19.520]  後來老婆就逼得很緊
[00:01:19.520 --> 00:01:22.260]  為什麼你整天看呢 好想知道為什麼
[00:01:22.520 --> 00:01:27.340]  那個老公就說 我每逢遇到困難
[00:01:27.340 --> 00:01:30.740]  我就拿出這個手機 看著你的樣子
[00:01:30.740 --> 00:01:35.060]  我跟自己說 這個世界沒有一個困難大過這個
[00:01:35.060 --> 00:01:42.980]  那他就勇氣百倍
[00:01:42.980 --> 00:01:48.660]  弟兄姊妹 憑眼見 信不過
[00:01:49.560 --> 00:01:53.700]  這個世界很多事你憑眼見 以為很溫馨 錯
[00:01:53.700 --> 00:01:56.600]  很多事你憑眼見 信不過
[00:01:56.600 --> 00:01:59.320]  你以為你有錢很穩妥 錯
[00:01:59.320 --> 00:02:05.480]  你以為你有很安全的工作 錯
[00:02:05.480 --> 00:02:07.120]  隨時一夜就沒有了
[00:02:07.120 --> 00:02:09.580]  這個世界不是憑眼見
[00:02:09.580 --> 00:02:11.500]  這個世界是憑信心
[00:02:11.500 --> 00:02:13.420]  你是不是真的信
[00:02:13.420 --> 00:02:15.380]  今天這段經文
[00:02:15.380 --> 00:02:20.700]  就講了耶穌和兩班人的相處
[00:02:20.700 --> 00:02:22.620]  第一班就是法利塞人
[00:02:22.620 --> 00:02:25.740]  第二班就是他的門徒
[00:02:25.740 --> 00:02:29.400]  耶穌和他們相處 說給我們聽的訊息
[00:02:29.400 --> 00:02:31.400]  這個世界不是憑眼見的
[00:02:31.400 --> 00:02:33.400]  你求神即是見到也沒有用
[00:02:33.400 --> 00:02:35.400]  這個世界是憑信心
[00:02:35.400 --> 00:02:38.720]  我們看看耶穌和他們的相遇
[00:02:38.720 --> 00:02:42.140]  第一段是和法利塞人的相遇 在11到13節
[00:02:42.720 --> 00:02:45.560]  法利塞人出來盤問耶穌
[00:02:45.560 --> 00:02:47.840]  盤問這個字是負面的
[00:02:47.840 --> 00:02:50.960]  是質問 他和祂爭論 和祂爭拗
[00:02:50.960 --> 00:02:54.360]  他質問的內容就是要看神蹟
[00:02:54.360 --> 00:02:59.180]  而質問的目的是試探耶穌
[00:02:59.180 --> 00:03:01.180]  不懷好意
[00:03:01.180 --> 00:03:03.420]  他要耶穌行神蹟的目的
[00:03:03.420 --> 00:03:06.020]  其實是想找機會去攻擊祂
[00:03:06.020 --> 00:03:08.020]  抹黑祂 陷害祂
[00:03:08.020 --> 00:03:11.440]  所以不是真的想顯個神蹟讓我信
[00:03:11.440 --> 00:03:14.120]  他是想去試探祂
[00:03:14.120 --> 00:03:18.920]  他要求耶穌從天上顯個神蹟給他們看
[00:03:18.920 --> 00:03:22.760]  神蹟大家知道這個字就是記號 即是憑據
[00:03:22.760 --> 00:03:26.600]  見到神蹟就指向一個記號 一個憑據
[00:03:26.600 --> 00:03:29.760]  法利塞人要求什麼呢?
[00:03:29.760 --> 00:03:34.280]  他要求耶穌從天上顯一個神蹟 顯一個憑據
[00:03:34.280 --> 00:03:37.560]  去證明你是從天而來的
[00:03:37.560 --> 00:03:40.680]  你是從天上 從神而來的
[00:03:40.680 --> 00:03:44.240]  猶太人不敢直呼神的名字
