
[00:00:00.000 --> 00:00:02.600]  今個星期日是中資主日
[00:00:02.600 --> 00:00:06.200]  是紀念耶穌基督騎路進入耶路撒冷
[00:00:06.200 --> 00:00:08.600]  耶穌騎著路進到城裏
[00:00:08.600 --> 00:00:10.800]  是代表謙卑和和平
[00:00:10.800 --> 00:00:14.000]  而不是以一個戰爭將軍的姿態出現
[00:00:14.000 --> 00:00:17.200]  而是對君王身份的重新詮釋
[00:00:17.200 --> 00:00:19.000]  好像領袖那樣進城
[00:00:19.000 --> 00:00:21.400]  但卻是以謙卑為記號
[00:00:21.400 --> 00:00:23.000]  在這個星期日
[00:00:23.000 --> 00:00:26.400]  耶穌基督將會走到城裏
[00:00:26.400 --> 00:00:30.200]  我曾經看過一套有關耶穌基督的影片
[00:00:30.200 --> 00:00:33.400]  其中一幕令我留下了很深刻的印象
[00:00:33.400 --> 00:00:38.000]  那一幕是講耶穌基督騎著路進入耶路撒冷
[00:00:38.000 --> 00:00:40.800]  當時路旁聚集了很多人
[00:00:40.800 --> 00:00:44.000]  當中還有些人將衣服鋪在地面上
[00:00:44.000 --> 00:00:47.000]  又有人斬了樹枝鋪在路上
[00:00:47.000 --> 00:00:49.200]  前呼後應地大聲喊叫
[00:00:49.200 --> 00:00:52.000]  「和撒冷,歸於大衛的子孫
[00:00:52.000 --> 00:00:54.200]  奉主明來的恩人」
[00:00:54.200 --> 00:00:58.400]  「大衛的子孫,奉主明來的是應當稱頌的
[00:00:58.400 --> 00:01:01.000]  高高在上,和撒冷」
[00:01:01.000 --> 00:01:04.800]  群眾高聲歡呼迎接他們心目中的王
[00:01:04.800 --> 00:01:10.600]  鏡頭特意拍攝群眾腳踏著地上新鮮斬下來的樹枝
[00:01:10.600 --> 00:01:12.600]  接著鏡頭一轉
[00:01:12.600 --> 00:01:17.800]  同樣的群眾腳踏著地上還未乾的樹枝
[00:01:17.800 --> 00:01:19.600]  但群眾卻是跟著冰釘
[00:01:19.600 --> 00:01:22.400]  帶著耶穌前往各國他山
[00:01:22.400 --> 00:01:24.600]  要去釘他的十字架
[00:01:24.600 --> 00:01:26.200]  同樣一群的群眾
[00:01:26.200 --> 00:01:28.400]  同樣那堆樹枝
[00:01:28.400 --> 00:01:30.000]  透過電影的剪接
[00:01:30.000 --> 00:01:33.400]  凸顯出人心逆轉的迅速
[00:01:33.400 --> 00:01:37.200]  宗之主日是要來提醒我們時常警醒
[00:01:37.200 --> 00:01:39.800]  因為我們同樣好像其他人一樣
[00:01:39.800 --> 00:01:43.600]  很容易就離棄和背叛了耶穌
[00:01:43.600 --> 00:01:45.800]  《生命記》十一章第十六節
[00:01:45.800 --> 00:01:47.000]  經文這樣說
[00:01:47.000 --> 00:01:48.400]  你們要謹慎
[00:01:48.400 --> 00:01:50.400]  免得心中受迷惑
[00:01:50.400 --> 00:01:55.000]  就偏離正路去侍奉敬拜別身
