
[00:00:00.000 --> 00:00:02.500]  親愛的姊妹們,平安!
[00:00:02.500 --> 00:00:07.580]  我想問大家有沒有去過耶路撒冷?
[00:00:07.580 --> 00:00:10.540]  有些人沒有去過,有些人去過
[00:00:10.540 --> 00:00:13.740]  今天讀的經課
[00:00:13.740 --> 00:00:16.940]  你聽到以賽亞先知見到一個玄像
[00:00:16.940 --> 00:00:18.540]  他說有一天
[00:00:18.540 --> 00:00:22.460]  那些人從世界各地湧去耶路撒冷那裡
[00:00:22.460 --> 00:00:26.700]  有沒有想過耶路撒冷有什麼特別呢?
[00:00:26.700 --> 00:00:29.340]  那麼多人會湧去那裡呢?
[00:00:29.340 --> 00:00:32.700]  我沒有去過,所以我不知道那裡有什麼特別
[00:00:32.700 --> 00:00:36.060]  我只能夠從文字上知道那裡的資料
[00:00:36.060 --> 00:00:38.260]  原來那裡是一個很小的地方
[00:00:38.260 --> 00:00:42.740]  在2006年,它的城區面積是126平方公里
[00:00:42.740 --> 00:00:45.900]  是多大呢?就好像我們西貢那麼大
[00:00:45.900 --> 00:00:48.700]  它人口有70萬
[00:00:48.700 --> 00:00:53.580]  那就是多少呢?就好像我們新界東的地區
[00:00:53.580 --> 00:00:56.980]  還少過,因為我們有80萬
[00:00:56.980 --> 00:00:58.780]  那些人去耶路撒冷做什麼呢?
[00:00:58.780 --> 00:01:01.300]  所謂何事呢?
[00:01:01.300 --> 00:01:07.300]  其實這個湧去耶路撒冷的人潮在古代曾經出現過
[00:01:07.300 --> 00:01:10.260]  那時候沒有火車
[00:01:10.260 --> 00:01:12.220]  沒有汽車,也沒有飛機
[00:01:12.220 --> 00:01:14.500]  但是在那段時間裡面
[00:01:14.500 --> 00:01:17.580]  總共加起來有200萬人
[00:01:17.580 --> 00:01:20.700]  從歐洲各地湧去耶路撒冷
[00:01:20.700 --> 00:01:26.180]  那個時間歷史上稱為十字軍東征
[00:01:26.180 --> 00:01:30.060]  其實令我們問一個問題
[00:01:30.060 --> 00:01:32.580]  究竟從古至今
[00:01:32.580 --> 00:01:36.140]  為什麼耶路撒冷都能吸引那麼多人去那裡呢?
[00:01:36.140 --> 00:01:41.380]  究竟那些人想去耶路撒冷得到什麼呢?
[00:01:41.380 --> 00:01:46.540]  耶路撒冷又可以給人什麼呢?
[00:01:46.540 --> 00:01:48.420]  其實令我們聯想起一個問題
[00:01:48.420 --> 00:01:54.260]  那個問題就是教會在世界各地出現
[00:01:54.260 --> 00:01:58.300]  究竟世界想在教會得到什麼呢?
[00:01:58.300 --> 00:02:06.300]  教會又能夠給世界什麼呢?
[00:02:06.300 --> 00:02:08.940]  在以賽亞書剛才讀的那段
[00:02:08.940 --> 00:02:10.500]  以賽亞先知這樣說
[00:02:10.500 --> 00:02:17.580]  我們翻開以賽亞書第二章第一節五節
[00:02:17.580 --> 00:02:20.380]  以賽亞書第二章第一節
[00:02:20.380 --> 00:02:25.180]  阿摩斯的兒子以賽亞德默士論到猶大和耶路撒冷
[00:02:25.180 --> 00:02:27.100]  他說在末後的日子
[00:02:27.100 --> 00:02:29.180]  耶和華殿的山必建立
[00:02:29.180 --> 00:02:32.860]  超乎珠山高舉過於萬靈
[00:02:32.860 --> 00:02:37.180]  萬民都要留歸這山
[00:02:37.180 --> 00:02:39.460]  當你讀的時候你會不會問
[00:02:39.460 --> 00:02:43.220]  是什麼東西令耶路撒冷超乎珠山呢?
[00:02:43.220 --> 00:02:46.580]  是什麼東西令耶路撒冷高舉過於萬靈呢?
[00:02:46.580 --> 00:02:50.300]  是什麼東西吸引萬民留歸這山呢?
[00:02:50.300 --> 00:02:57.420]  如果我們將這個問題問當時那個年代的以色列人
[00:02:57.420 --> 00:03:00.420]  你猜他們會想起什麼呢?
[00:03:00.420 --> 00:03:06.740]  什麼時候列國會走來你那裡呢?
[00:03:06.740 --> 00:03:09.220]  想起大衛王朝
[00:03:09.220 --> 00:03:12.060]  想起所羅門王朝
[00:03:12.060 --> 00:03:14.100]  曾經出現過的
