
[00:00:00.000 --> 00:00:03.080]  今天很高興和大家在港台見面
[00:00:03.080 --> 00:00:06.120]  很高興今天在講台上再和大家見面
[00:00:06.120 --> 00:00:09.320]  大家知道我一直在講這個題目
[00:00:09.320 --> 00:00:12.440]  叫做靈命的維生素
[00:00:12.440 --> 00:00:16.760]  大家知道 Andrew 他一直在講一個講題的題目
[00:00:16.760 --> 00:00:19.080]  叫做靈命維生素
[00:00:19.080 --> 00:00:22.080]  大家知道什麼是維生素 維他命 是不是
[00:00:22.080 --> 00:00:24.080]  大家知道什麼叫維生素了吧
[00:00:24.080 --> 00:00:27.480]  我們很多健康的食物
[00:00:27.480 --> 00:00:31.120]  裏面都是有很豐富的維他命
[00:00:31.120 --> 00:00:34.400]  很多健康的食物裏面都有很豐富的維他命
[00:00:34.400 --> 00:00:38.520]  現在維他命裏面也有一種元素
[00:00:38.520 --> 00:00:42.400]  我們叫它做抗氧元素
[00:00:42.400 --> 00:00:44.880]  維生素裏面有一種很重要的元素
[00:00:44.880 --> 00:00:47.280]  我們稱呼它為抗氧元素
[00:00:47.280 --> 00:00:50.040]  就是抗衡我們身體氧化的
[00:00:50.040 --> 00:00:51.960]  就是抗衡我們身體的氧化
[00:00:51.960 --> 00:00:54.080]  原來我們身體是會氧化的
[00:00:54.080 --> 00:00:56.800]  原來我們的身體會氧化的
[00:00:56.800 --> 00:00:59.840]  如果你不相信的話 你照一照鏡子就知道了
[00:00:59.840 --> 00:01:02.200]  如果不相信的話 你照一照鏡子就知道了
[00:01:02.200 --> 00:01:04.800]  為什麼我這星期多了兩條皺紋呢
[00:01:04.800 --> 00:01:07.360]  為什麼這星期多了兩條皺紋呢
[00:01:07.360 --> 00:01:10.720]  或者你去臉書看十年前的照片就更加明顯了
[00:01:10.720 --> 00:01:14.720]  或者去臉書看十年前的照片就更加明顯了
[00:01:14.720 --> 00:01:18.520]  原來的氧化過程是因為環境造成的
[00:01:18.520 --> 00:01:22.080]  原來在氧化的過程裏是環境造成的
[00:01:22.080 --> 00:01:24.080]  特別是一個污染的環境
[00:01:24.080 --> 00:01:25.680]  特別是污染的環境
[00:01:25.680 --> 00:01:27.080]  多輻射
[00:01:27.080 --> 00:01:28.280]  多輻射
[00:01:28.280 --> 00:01:30.960]  還有很多不健康的食品
[00:01:30.960 --> 00:01:32.600]  還有不健康的食品
[00:01:32.600 --> 00:01:36.280]  裏面有很多所謂的游離基
[00:01:36.280 --> 00:01:38.200]  食物裏面有很多所謂的游離基
[00:01:38.200 --> 00:01:40.280]  令到你身體產生很多的游離基
[00:01:40.280 --> 00:01:42.400]  讓你的身體產生很多的游離基
[00:01:42.400 --> 00:01:44.480]  加速這個氧化過程
[00:01:44.480 --> 00:01:47.200]  加速了氧化的過程
[00:01:47.200 --> 00:01:50.760]  維他命裏面有些抗氧的元素裏面
[00:01:50.760 --> 00:01:53.920]  是可以減慢你的氧化過程
[00:01:53.920 --> 00:01:57.040]  維他命裏面有些抗氧的元素裏面
[00:01:57.040 --> 00:01:59.360]  是可以減慢你的氧化過程
[00:01:59.360 --> 00:02:01.800]  只不過是減慢,是不會停止的
[00:02:01.800 --> 00:02:05.400]  只不過是減慢,是不可以停止的
[00:02:05.400 --> 00:02:07.400]  所以我們仍然會衰老
[00:02:07.400 --> 00:02:09.600]  所以我們仍然會衰老
[00:02:09.600 --> 00:02:12.080]  細胞也會變異
[00:02:12.080 --> 00:02:13.440]  細胞也會變異
[00:02:13.440 --> 00:02:15.840]  細胞變異我們就很可怕了
[00:02:15.840 --> 00:02:17.960]  細胞的變異就很可怕了
[00:02:17.960 --> 00:02:20.720]  原來我們屬靈的生命也會氧化
[00:02:20.720 --> 00:02:23.000]  原來我們屬靈的生命也會氧化
[00:02:23.000 --> 00:02:27.000]  我們信主的人雖然是信了主很多年
[00:02:27.000 --> 00:02:31.160]  或者你很熟悉聖經了
[00:02:31.160 --> 00:02:34.440]  或者你每個星期回教會了
[00:02:34.440 --> 00:02:35.960]  或者你每個星期回教會了
[00:02:35.960 --> 00:02:38.680]  但因為我們仍然住在一個有罪的世界裏面
[00:02:38.680 --> 00:02:40.680]  但因為我們仍然住在一個有罪的世界裏面
[00:02:40.680 --> 00:02:42.160]  這個世界有很多競爭
[00:02:42.160 --> 00:02:43.440]  這個世界有很多競爭
[00:02:43.440 --> 00:02:44.520]  很多罪惡
[00:02:44.520 --> 00:02:45.240]  很多罪惡
[00:02:45.240 --> 00:02:47.280]  差不多不少我們都會被污染到
[00:02:47.280 --> 00:02:49.120]  差不多不少我們都會被污染到
[00:02:49.120 --> 00:02:51.680]  所以我們的屬靈生命也會氧化
[00:02:51.680 --> 00:02:53.880]  所以我們的屬靈的生命也會氧化
[00:02:53.880 --> 00:02:56.320]  所以難怪那些人信了主很多年
[00:02:56.320 --> 00:02:58.520]  所以難怪很多人信主了很多年
[00:02:58.520 --> 00:03:01.360]  他們的靈命仍然是停留不動
[00:03:01.360 --> 00:03:04.520]  他們的靈命仍然是停留不動
[00:03:04.520 --> 00:03:07.560]  還有可能是慢慢減退
[00:03:07.560 --> 00:03:09.520]  還有可能是慢慢減退
[00:03:09.520 --> 00:03:14.040]  開始在教會對主沒有這麼熱心了
