
[00:00:00.000 --> 00:00:02.000]  兄弟妹早晨
[00:00:02.000 --> 00:00:05.000]  十二月是開心的日子
[00:00:05.000 --> 00:00:08.000]  十二月是很多的慶祝
[00:00:08.000 --> 00:00:09.000]  很多的禮物
[00:00:09.000 --> 00:00:12.000]  很多的開心的試過
[00:00:12.000 --> 00:00:19.000]  十二月也是我們看到疫情一直減退
[00:00:19.000 --> 00:00:22.000]  雖然這兩個禮拜又好像
[00:00:22.000 --> 00:00:26.000]  那些的個案又好像多一點
[00:00:26.000 --> 00:00:27.000]  入醫院的人又多一點
[00:00:27.000 --> 00:00:33.000]  但我們都知道那個病的程度輕了
[00:00:33.000 --> 00:00:35.000]  所以大家都是開心
[00:00:35.000 --> 00:00:37.000]  而且是很多的兄弟妹妹
[00:00:37.000 --> 00:00:40.000]  就會在十二月一月的時候
[00:00:40.000 --> 00:00:45.000]  就出外旅行探親可以坐飛機
[00:00:45.000 --> 00:00:48.000]  也是很開心的日子
[00:00:48.000 --> 00:00:52.000]  在這個的將臨期
[00:00:52.000 --> 00:00:56.000]  我們叫做預備迎接聖誕
[00:00:56.000 --> 00:00:59.000]  其實上個主日已經是開始
[00:00:59.000 --> 00:01:01.000]  將臨期的時段
[00:01:01.000 --> 00:01:06.000]  一直到正式的聖誕日之前
[00:01:06.000 --> 00:01:09.000]  都是我們預備我們的心
[00:01:09.000 --> 00:01:13.000]  預備我們再次紀念迎接
[00:01:13.000 --> 00:01:16.000]  耶穌來臨的日子
[00:01:16.000 --> 00:01:19.000]  我們再次一起同心圖告
[00:01:19.000 --> 00:01:21.000]  多謝我們全能的天父
[00:01:21.000 --> 00:01:23.000]  在你的愛裏面
[00:01:23.000 --> 00:01:25.000]  你差派你的獨生子耶穌
[00:01:25.000 --> 00:01:27.000]  來到這個世上
[00:01:27.000 --> 00:01:29.000]  和我們一起經歷人間的
[00:01:29.000 --> 00:01:32.000]  各種的喜怒哀樂
[00:01:32.000 --> 00:01:34.000]  主我們多謝你
[00:01:34.000 --> 00:01:35.000]  我們的主耶穌
[00:01:35.000 --> 00:01:38.000]  你甘願來到這個世界
[00:01:38.000 --> 00:01:42.000]  甚至替我們死在十字架上
[00:01:42.000 --> 00:01:44.000]  在聖誕的預備的時候
[00:01:44.000 --> 00:01:48.000]  我們等待這個的日子
[00:01:48.000 --> 00:01:49.000]  提醒我們
[00:01:49.000 --> 00:01:51.000]  讓我們和聖靈一起
[00:01:51.000 --> 00:01:53.000]  繼續的同行
[00:01:53.000 --> 00:01:55.000]  祈求禱告奉耶穌的命
[00:01:55.000 --> 00:01:57.000]  阿們
[00:01:57.000 --> 00:01:59.000]  如果在座或在網上
[00:01:59.000 --> 00:02:01.000]  崇拜的弟兄姊妹
[00:02:01.000 --> 00:02:03.000]  如果你信主可能
[00:02:03.000 --> 00:02:06.000]  已經有十年二十年三十年
[00:02:06.000 --> 00:02:10.000]  你會聽關於聖誕的訊息
[00:02:10.000 --> 00:02:12.000]  我估有些可能會
[00:02:12.000 --> 00:02:14.000]  接近有一百次那麼多
[00:02:14.000 --> 00:02:18.000]  其實你可以去講聖誕給人聽
[00:02:18.000 --> 00:02:22.000]  不需要再是人家講給你聽
[00:02:22.000 --> 00:02:25.000]  所以我們都要預備
[00:02:25.000 --> 00:02:28.000]  可以講聖誕節究竟是什麼
[00:02:28.000 --> 00:02:29.000]  我們可以講給人聽
[00:02:29.000 --> 00:02:33.000]  當然也有一些弟兄姊妹
[00:02:33.000 --> 00:02:35.000]  可能信主不是很久
[00:02:35.000 --> 00:02:37.000]  以前聽過關於聖誕
[00:02:37.000 --> 00:02:41.000]  但實在在聖經裏面講的聖誕
[00:02:41.000 --> 00:02:43.000]  和我們平時所聽到的聖誕
[00:02:43.000 --> 00:02:45.000]  有沒有不同的呢
[00:02:45.000 --> 00:02:47.000]  我們都要想一想
[00:02:47.000 --> 00:02:50.000]  在剛剛過了這個禮拜三
[00:02:50.000 --> 00:02:55.000]  說來這裡的SBS廣東話電台
[00:02:55.000 --> 00:02:57.000]  有一位基督徒的姊妹
