
[00:00:00.000 --> 00:00:01.160]  這個月是感恩節
[00:00:01.160 --> 00:00:04.440]  我們每年感恩節的時候都會有一場習禮
[00:00:04.440 --> 00:00:05.240]  很感恩
[00:00:05.240 --> 00:00:10.400]  今年我們可能會有八位的弟兄姊妹在下個周接受習禮
[00:00:10.400 --> 00:00:13.120]  所以我今天選了一段經文
[00:00:13.120 --> 00:00:16.240]  我的主題是從習禮到聖餐禮
[00:00:16.240 --> 00:00:20.440]  當然我也不是隻給這八位弟兄姊妹
[00:00:20.440 --> 00:00:22.800]  八位要受喜的弟兄姊妹講的
[00:00:22.800 --> 00:00:28.120]  我們每個人我們都需要帶着一顆敬錢的心來領受今天的話
[00:00:28.120 --> 00:00:29.680]  在這一段經文當中
[00:00:29.680 --> 00:00:33.240]  我們剛纔長老和弟兄姊妹一起讀了
[00:00:33.240 --> 00:00:35.600]  在第十章一開始的時候
[00:00:35.600 --> 00:00:39.640]  我們就發現保羅他用了一種非常強烈的語氣
[00:00:39.640 --> 00:00:42.280]  他說 我不願意你們不知道
[00:00:42.280 --> 00:00:44.360]  這叫雙重否定對不對
[00:00:44.360 --> 00:00:46.920]  他用一種非常強烈的語氣
[00:00:46.920 --> 00:00:50.880]  來把舊約當中的一箇舊贖的事件
[00:00:50.880 --> 00:00:55.560]  和新約當中耶穌所成就的那個舊恩連在了一起
[00:00:55.560 --> 00:00:57.680]  就是把舊約過紅海
[00:00:57.680 --> 00:01:00.320]  在雲裏海裏
[00:01:00.320 --> 00:01:03.760]  他們走過去和新約當中
[00:01:03.760 --> 00:01:09.960]  我們新耶穌之後要受喜要受敬
[00:01:09.960 --> 00:01:13.920]  這兩個事件連在了一起對不對
[00:01:13.920 --> 00:01:16.640]  究竟習禮意味着什麼
[00:01:16.640 --> 00:01:19.120]  其實各位
[00:01:19.120 --> 00:01:21.680]  你如果是瞭解很多的宗教的話
[00:01:21.680 --> 00:01:23.600]  其實不單在基督教裏邊
[00:01:23.600 --> 00:01:25.880]  在各樣的宗教當中
[00:01:25.880 --> 00:01:27.440]  在各樣的文化當中
[00:01:27.440 --> 00:01:30.080]  他們都有自己的洗禮
[00:01:30.080 --> 00:01:34.320]  就是用水洗代表一種道德上的潔淨
[00:01:34.320 --> 00:01:37.720]  心靈上的洗滌
[00:01:37.720 --> 00:01:40.240]  我們都知道疫情期間要洗手對不對
[00:01:40.240 --> 00:01:41.760]  洗手是爲了什麼
[00:01:41.760 --> 00:01:46.080]  是要洗去手上的灰塵 細菌
[00:01:46.080 --> 00:01:47.360]  那各位
[00:01:47.360 --> 00:01:49.080]  但是這些宗教文化
[00:01:49.080 --> 00:01:53.560]  他們是要用水洗來洗淨心靈上的
[00:01:53.560 --> 00:01:56.200]  道德上的那些的污穢
[00:01:56.200 --> 00:01:58.600]  其實在聖經當中就有這樣的案例對吧
[00:01:58.600 --> 00:02:01.280]  你記不記得在耶穌被釘十字架之前
[00:02:01.280 --> 00:02:03.080]  本丟彼拉多就做過一個動作
[00:02:03.080 --> 00:02:05.120]  他幹什麼
[00:02:05.120 --> 00:02:06.440]  他在那裏洗手
