
[00:00:00.000 --> 00:00:02.000]  頂子們,祝大家新年蒙蔭
[00:00:02.000 --> 00:00:05.000]  剛才我聽到「月年傳道」
[00:00:05.000 --> 00:00:09.000]  也跟大家一起讀過我們的年題
[00:00:09.000 --> 00:00:13.000]  我相信這個也不是一個口號
[00:00:13.000 --> 00:00:16.000]  而是真的希望我們每一個都可以跟基督
[00:00:16.000 --> 00:00:17.000]  能夠成為光
[00:00:17.000 --> 00:00:20.000]  就像這個 PowerPoint 這樣說
[00:00:20.000 --> 00:00:23.000]  希望我們藉著一個微笑
[00:00:23.000 --> 00:00:24.000]  一個微小的行動
[00:00:24.000 --> 00:00:28.000]  讓人可以在塵不中見主的陣光
[00:00:28.000 --> 00:00:32.000]  剛才曾慕絲在影片中也跟我們說了
[00:00:32.000 --> 00:00:34.000]  我們今季的季題就是
[00:00:34.000 --> 00:00:37.000]  「照你門出黑暗,入奇妙光明」
[00:00:37.000 --> 00:00:40.000]  我們會選讀「出埃及記」
[00:00:40.000 --> 00:00:43.000]  頂子們,我相信你一定也聽過
[00:00:43.000 --> 00:00:46.000]  「人生不如意事」什麼?
[00:00:46.000 --> 00:00:48.000]  「十常八九」
[00:00:48.000 --> 00:00:53.000]  我們怎樣在黑暗中可以進入光明呢?
[00:00:53.000 --> 00:00:55.000]  你們有沒有試過?
[00:00:55.000 --> 00:00:57.000]  你們有沒有試過?
[00:00:57.000 --> 00:01:00.000]  有啊,有人點頭
[00:01:00.000 --> 00:01:03.000]  不如我們一起想想三條問題
[00:01:03.000 --> 00:01:05.000]  回想過去一年
[00:01:05.000 --> 00:01:07.000]  第一個問題就是
[00:01:07.000 --> 00:01:11.000]  面對不如意的困境
[00:01:11.000 --> 00:01:14.000]  其實你最怕的是什麼?
[00:01:14.000 --> 00:01:16.000]  你最怕的是誰?
[00:01:16.000 --> 00:01:19.000]  第二個就是在困境裡面
[00:01:19.000 --> 00:01:21.000]  你會做自己可以做的
