
[00:00:00.000 --> 00:00:06.080]  我們這次真的,其實路途一點都不險了,不知道為何會覺得危險了
[00:00:06.080 --> 00:00:09.680]  因為坐著路由巴,又不是我駕車
[00:00:09.680 --> 00:00:16.520]  所以,是很安全的,但當然也需要行走
[00:00:16.520 --> 00:00:21.080]  有時真的很有趣,我覺得,做了紀錄圖,看聖經
[00:00:21.080 --> 00:00:24.840]  聖經是真的可以走出來的,真的可以行出來
[00:00:24.960 --> 00:00:31.520]  真的可以去到不同的地點去看看,當中有甚麼事跡發生過,或者聖經裡面提過的
[00:00:31.520 --> 00:00:39.280]  真的,我在第一天到埗的時候,在路由巴那裡跟他們說
[00:00:39.280 --> 00:00:45.280]  因為我們有個小冊子,其實也不算小冊子,已經有三百頁了
[00:00:45.280 --> 00:00:48.880]  其實我只是將所有東西塞進去
[00:00:48.880 --> 00:00:56.080]  我一開始有跟他們說,說聖經是一本經書,就算你不信主
[00:00:56.080 --> 00:00:59.920]  你看這本經書,也要明白這本經書是多麼特別
[00:00:59.920 --> 00:01:04.160]  因為所有宗教都有它自己的經書,是吧
[00:01:04.160 --> 00:01:06.400]  但只有聖經是可以走出來的
[00:01:06.400 --> 00:01:13.120]  最近我才知道,你知道回教有本經書,叫做《古蘭經》,是吧
[00:01:13.120 --> 00:01:20.720]  《古蘭經》,這本經書,我最近才知道,近這幾年
[00:01:20.720 --> 00:01:26.480]  才有人出了一本地圖集,是講這本經書的
[00:01:26.480 --> 00:01:29.040]  是第一本,第一本
[00:01:29.040 --> 00:01:37.520]  但為甚麼是第一本?因為一向那本經書都不會講甚麼地理,或者歷史裡面的東西
[00:01:37.520 --> 00:01:42.880]  因為宗教始終不是,很多時候我們印象中的宗教不是這樣,是吧
[00:01:42.880 --> 00:01:49.600]  但是聖經的信仰卻不是這樣的,是能夠腳踏實地
[00:01:49.600 --> 00:01:52.480]  所以真的可以 walk the Bible,這才是神奇的地方
[00:01:52.480 --> 00:01:55.360]  只有聖經這本經書才會是這樣
[00:01:55.360 --> 00:01:58.720]  你只是當它是一本歷史的書,你在看的時候
[00:01:58.720 --> 00:02:00.880]  你都會發現它那個獨特的地方
[00:02:00.880 --> 00:02:06.240]  所以這次我想選一些地方去看一些經文
[00:02:06.240 --> 00:02:09.360]  雖然你未必有機會去到
[00:02:09.360 --> 00:02:17.280]  我也知道要 line up 很多東西,然後錢的問題,或者放假的問題
[00:02:17.280 --> 00:02:21.200]  不是每個人都能夠抽到,特定的時間能夠去到
[00:02:21.200 --> 00:02:26.240]  所以不是容易的,去到的大英智媒去過的
[00:02:26.240 --> 00:02:31.280]  你都知道不是每樣東西都很順利
[00:02:31.280 --> 00:02:34.320]  每樣東西都 line up,然後你才能去到
[00:02:34.320 --> 00:02:37.840]  去不到的不要緊,在這裡可以拋磚引玉,是吧
[00:02:37.840 --> 00:02:43.680]  可以告訴大家,到底為什麼這本聖經是這麼獨特
[00:02:43.680 --> 00:02:48.880]  我想說第一個地方叫做蓋薩利亞,或者是海薩利亞,Ceceria
[00:02:48.880 --> 00:02:52.880]  在這個圖片背面的背景照片
[00:02:52.880 --> 00:02:59.840]  就是在 Ceceria 其中一個景點,即是其中一個地方,是一個海灘
[00:02:59.840 --> 00:03:04.880]  是一個海港,所以我想先說說這個地方
[00:03:04.880 --> 00:03:11.280]  首先這個地方和聖經裡面有一些事跡,是有那個關係的
[00:03:11.280 --> 00:03:15.760]  這個事跡就是在《史萊行傳》第十章
[00:03:15.760 --> 00:03:20.640]  我們先看一些經文,我們先處理了聖經想跟我們說些什麼
[00:03:20.640 --> 00:03:23.600]  然後我們試一下怎樣去做一些關連
[00:03:23.600 --> 00:03:29.920]  特別在我們地上,無論是地理上,或者我們自己生命裡面有什麼關連
[00:03:29.920 --> 00:03:32.880]  第十章第一節,《史萊行傳》
[00:03:32.880 --> 00:03:36.400]  在海薩利亞有一個人,名叫哥利劉
[00:03:36.400 --> 00:03:41.200]  是意大利型的百夫長,他是虔誠人
[00:03:41.200 --> 00:03:45.120]  他,他是虔誠人,虔誠人這個字呢
[00:03:45.120 --> 00:03:51.840]  可能就是早期,即是後期有一個特定的名詞叫做 God Fierce
[00:03:51.840 --> 00:03:57.680]  即是那些歸信了猶太教的外邦人
[00:03:57.680 --> 00:03:59.360]  那些叫做虔誠人
[00:03:59.360 --> 00:04:03.680]  這個可能是早期路加去記載《史萊行傳》的時候
[00:04:03.680 --> 00:04:13.200]  他有提過,就是那些放棄了外邦宗教,然後歸信了猶太教的這些外邦人
[00:04:13.200 --> 00:04:17.040]  這個人就是哥利劉,虔誠人
[00:04:17.040 --> 00:04:20.960]  他和全家都敬畏上帝
[00:04:20.960 --> 00:04:25.440]  多多周濟百姓,常常向上帝禱告
[00:04:25.440 --> 00:04:34.240]  說到敬畏上帝,虔誠人,是多多周濟百姓和常常向上帝禱告
[00:04:34.240 --> 00:04:37.680]  當然他已經歸信了猶太教
[00:04:37.680 --> 00:04:45.360]  周濟和禱告都是當時猶太教裡面一個虔誠的生命的表現來的
[00:04:45.360 --> 00:04:48.800]  即是正如你今日問一個虔誠的基督徒
[00:04:48.800 --> 00:04:55.040]  一個所謂信主的基督徒,應該有什麼樣的表現呢?
[00:04:55.040 --> 00:04:57.200]  他應該看聖經,對不對?
[00:04:57.200 --> 00:05:04.080]  他應該起碼開始學習聖經,聽上帝的道,去禱告,等等
[00:05:04.080 --> 00:05:10.400]  這些標記,就這樣去形容哥利劉這個人
[00:05:10.400 --> 00:05:14.880]  第三節,有一天,約在下午三點鐘的時候
[00:05:14.880 --> 00:05:20.800]  他在異象中清楚地看見上帝的一個使者進來
[00:05:20.800 --> 00:05:25.440]  到他那裡,幾點鐘?下午三點鐘,對不對?
