
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 聖誕快樂
[00:00:02.000 --> 00:00:03.520]  很高興
[00:00:03.520 --> 00:00:06.480]  昨晚我們報道會很多弟兄姊妹
[00:00:06.480 --> 00:00:07.980]  也帶了新朋友來
[00:00:07.980 --> 00:00:10.040]  坐滿了整個禮堂
[00:00:10.040 --> 00:00:12.440]  不僅是隔壁的庫堂
[00:00:12.440 --> 00:00:14.220]  樓上全部都坐滿了
[00:00:14.220 --> 00:00:17.120]  所以我們為了神使用我們弟兄姊妹
[00:00:17.120 --> 00:00:18.920]  樂意傳福音而感恩
[00:00:18.920 --> 00:00:21.880]  求神繼續去兼顧我們
[00:00:21.880 --> 00:00:24.400]  也讓我們手所做的功蒙月立
[00:00:24.400 --> 00:00:26.040]  繼續去傳福音
[00:00:26.040 --> 00:00:27.840]  今天是聖誕節
[00:00:27.840 --> 00:00:31.340]  其實聖誕節不是信主人都很多慶祝的
[00:00:31.340 --> 00:00:34.040]  不過他當年多數是去吃自助餐
[00:00:34.040 --> 00:00:35.120]  去其他
[00:00:35.120 --> 00:00:37.520]  如果我小時候
[00:00:37.520 --> 00:00:38.480]  不是小時候
[00:00:38.480 --> 00:00:39.040]  是很多年前
[00:00:39.040 --> 00:00:39.920]  我喜歡看日劇
[00:00:39.920 --> 00:00:41.280]  你有看日劇嗎?
[00:00:41.280 --> 00:00:42.240]  日劇呢
[00:00:42.240 --> 00:00:43.240]  現在不流行
[00:00:43.240 --> 00:00:44.640]  年輕人看韓劇
[00:00:44.640 --> 00:00:48.600]  日劇很多時候聖誕節很重要的
[00:00:48.600 --> 00:00:50.120]  日本男女
[00:00:50.120 --> 00:00:52.440]  聖誕節約誰與不約誰
[00:00:52.440 --> 00:00:53.680]  送什麼禮物給誰
[00:00:53.680 --> 00:00:55.360]  是很重要的表示
[00:00:55.360 --> 00:00:56.760]  聖誕節沒有人約過
[00:00:56.760 --> 00:00:58.680]  他很傷心、很難過的
[00:00:58.680 --> 00:01:01.200]  那個少男或者少女
[00:01:01.200 --> 00:01:04.120]  所以聖誕節對於信主人、不信主人
[00:01:04.120 --> 00:01:06.120]  可能都有些意思在當中
[00:01:06.120 --> 00:01:07.840]  不過意思未必正確
[00:01:07.840 --> 00:01:10.080]  我們看看經文第十五節
[00:01:10.080 --> 00:01:12.440]  聖誕節的重點在哪裡呢?
[00:01:12.440 --> 00:01:14.040]  是第十五節
[00:01:14.040 --> 00:01:15.120]  第十五節說
[00:01:15.120 --> 00:01:17.840]  基督耶穌降世是為了什麼?
[00:01:17.840 --> 00:01:19.440]  拯救罪人
[00:01:19.440 --> 00:01:21.360]  這個我們向世界宣告
[00:01:21.360 --> 00:01:24.400]  這句說話並不是保羅自己作出來的
[00:01:24.400 --> 00:01:28.120]  原來你看到有個「」
[00:01:28.120 --> 00:01:31.720]  是那時候常用的一句句語
[00:01:31.720 --> 00:01:33.720]  就好像基督是主
[00:01:33.720 --> 00:01:35.400]  或者信耶穌得永生這樣
[00:01:35.400 --> 00:01:36.160]  「」
[00:01:36.160 --> 00:01:37.800]  經常都四處唸的
[00:01:37.800 --> 00:01:39.800]  那對於保羅
[00:01:39.800 --> 00:01:42.600]  對於那時候常用的說話
[00:01:42.600 --> 00:01:44.360]  他覺得是可信的
[00:01:44.360 --> 00:01:45.800]  是十分可佩服的
