
[00:00:00.000 --> 00:00:02.000]  第一聲準備 好
[00:00:02.000 --> 00:00:06.300]  12年年底
[00:00:06.300 --> 00:00:10.600]  San送了給我一份很好的禮物
[00:00:10.600 --> 00:00:14.800]  這是過去差不多兩年的時間
[00:00:14.800 --> 00:00:20.600]  替我做物理治療的一位治療師
[00:00:20.600 --> 00:00:22.600]  對我說
[00:00:22.600 --> 00:00:27.800]  牧師 我有一個請求
[00:00:27.800 --> 00:00:30.000]  希望你可以答應
[00:00:30.000 --> 00:00:33.200]  我問他有什麼請求
[00:00:33.200 --> 00:00:35.200]  他說
[00:00:35.200 --> 00:00:40.800]  我的醫療所外面
[00:00:40.800 --> 00:00:43.200]  有一個土地
[00:00:43.200 --> 00:00:48.200]  就是那些偶像的東西
[00:00:48.200 --> 00:00:50.200]  我現在不拜了
[00:00:50.200 --> 00:00:52.000]  我不要了
[00:00:52.000 --> 00:00:55.000]  你可不可以替我除掉它
[00:00:55.000 --> 00:00:56.800]  我聽了以後非常高興
[00:00:56.800 --> 00:00:59.600]  我對他說 當然可以
[00:00:59.600 --> 00:01:02.800]  我有三十多年的經驗
[00:01:02.800 --> 00:01:08.000]  親手拆掉的這些偶像
[00:01:08.000 --> 00:01:10.400]  不少於五百
[00:01:10.400 --> 00:01:13.000]  從來沒有失手過
[00:01:13.000 --> 00:01:16.000]  神都是祝福的
[00:01:16.000 --> 00:01:18.400]  所以我就問他
[00:01:18.400 --> 00:01:21.400]  你打算什麼時候把它除掉
[00:01:21.400 --> 00:01:22.800]  他說我希望
[00:01:22.800 --> 00:01:27.200]  農曆年之前就把它處理掉
[00:01:27.200 --> 00:01:29.000]  那跟了下來
[00:01:29.000 --> 00:01:31.200]  他就問我 你什麼時間可以呢
[00:01:31.200 --> 00:01:34.200]  我說 我在農曆年之前
[00:01:34.200 --> 00:01:36.400]  再到你的那個診所
[00:01:36.400 --> 00:01:38.400]  接受你的一個治療前
[00:01:38.400 --> 00:01:40.400]  我找十五分鐘到
[00:01:40.400 --> 00:01:42.600]  我就可以把它處理了
[00:01:42.600 --> 00:01:45.000]  那跟了下來他有個請求
[00:01:45.000 --> 00:01:48.800]  葉牧師也曾經向我分享過福音
