
[00:00:00.000 --> 00:00:03.600]  我看過一篇文章,有一個商人
[00:00:03.600 --> 00:00:06.000]  他有一次去紐約做生意
[00:00:06.000 --> 00:00:08.840]  他的朋友去機場接機
[00:00:08.840 --> 00:00:14.000]  他們一起坐的士去酒店休息
[00:00:14.000 --> 00:00:17.280]  到達的時候
[00:00:17.280 --> 00:00:20.140]  這個做生意的人給了一點錢
[00:00:20.140 --> 00:00:22.500]  然後跟著跟的士司機說
[00:00:22.500 --> 00:00:25.440]  他說的士先生,司機先生
[00:00:25.440 --> 00:00:29.640]  我未來紐約之前聽見不少關於
[00:00:29.640 --> 00:00:32.320]  紐約的士的恐怖故事
[00:00:32.320 --> 00:00:36.260]  很多朋友跟我說,除非不得已
[00:00:36.260 --> 00:00:39.040]  千萬不要在紐約坐的士
[00:00:39.040 --> 00:00:42.440]  因為那些的士司機粗暴無禮
[00:00:42.440 --> 00:00:45.580]  在街上開車橫衝直撞
[00:00:45.580 --> 00:00:49.680]  真的比香港的小巴司機有過之而無不及
[00:00:49.680 --> 00:00:51.960]  而且他們很不誠實
[00:00:51.960 --> 00:00:55.560]  分分鐘騙你的錢,走很多冤枉路
[00:00:55.560 --> 00:00:57.820]  但當我
[00:00:58.320 --> 00:01:00.320]  坐你這輛車的時候
[00:01:00.320 --> 00:01:03.480]  又給我一個完全不同的感受
[00:01:03.480 --> 00:01:05.580]  你溫文有禮
[00:01:05.580 --> 00:01:07.820]  車又定
[00:01:07.820 --> 00:01:10.060]  又守規矩
[00:01:10.060 --> 00:01:13.820]  令我覺得有一種說不出的安全感
[00:01:13.820 --> 00:01:16.800]  而且你又誠實又有禮貌
[00:01:16.800 --> 00:01:19.100]  經過你這次的服務
[00:01:19.100 --> 00:01:23.420]  就等到我對紐約司機的服務
[00:01:23.420 --> 00:01:25.420]  完全改觀過來
[00:01:26.120 --> 00:01:28.940]  在這裡小小貼士,撩表謝意
[00:01:28.940 --> 00:01:30.480]  希望你不要介意
[00:01:30.480 --> 00:01:34.860]  司機一聽到的時候,臉都紅了
[00:01:34.860 --> 00:01:38.740]  又驚又喜,連聲多謝,就走了
[00:01:38.740 --> 00:01:44.000]  我朋友見到這個商人這麼有趣
[00:01:44.000 --> 00:01:46.000]  於是就問他,你搞什麼鬼
[00:01:46.000 --> 00:01:48.540]  這位司機又不是特別出色
[00:01:48.540 --> 00:01:52.340]  為什麼你說話爭得他這麼厲害
[00:01:53.020 --> 00:01:56.420]  這位商人就問他,你知不知道我來紐約做什麼
[00:01:56.420 --> 00:01:58.420]  他說做生意
[00:01:58.420 --> 00:02:01.140]  他說不是,我搞革命
[00:02:01.140 --> 00:02:07.020]  有沒有搞錯,搞革命?你做恐怖分子?不是,一點都不恐怖
[00:02:07.020 --> 00:02:10.020]  那你怎麼搞革命?我剛才不是已經開始了嗎
[00:02:10.020 --> 00:02:12.020]  你想一想
[00:02:12.020 --> 00:02:17.020]  當這位懂得使司機聽見我這樣稱讚他的時候
[00:02:17.020 --> 00:02:19.020]  下一個乘客上來的時候
[00:02:19.020 --> 00:02:21.020]  他為了要
[00:02:21.020 --> 00:02:25.020]  真的滿足我給他的稱讚
[00:02:25.020 --> 00:02:27.020]  他真的規規矩矩,溫文有禮
[00:02:27.020 --> 00:02:29.020]  開車就不會還衝斷狀
[00:02:29.020 --> 00:02:33.020]  對這位乘客非常有禮貌
[00:02:33.020 --> 00:02:37.020]  這位乘客想不到的士司機竟然對他這麼好
[00:02:37.020 --> 00:02:40.020]  於是他心花怒放,回到家對他太太特別好
[00:02:40.020 --> 00:02:44.020]  太太想不到丈夫回來對她這麼好,才對子女又很好
[00:02:44.020 --> 00:02:47.020]  子女想不到,今天媽媽不知道在做什麼
[00:02:47.020 --> 00:02:50.020]  她對我這麼好,日後上學對老師又好
[00:02:50.020 --> 00:02:54.020]  老師說,今天這些學生怎麼這麼有禮貌
[00:02:54.020 --> 00:02:56.020]  平時搞鬼搞罵的
[00:02:56.020 --> 00:03:00.020]  於是老師又非常好,一個傳十個,十個傳八個
[00:03:00.020 --> 00:03:02.020]  漸漸整個紐約就會改變了
[00:03:02.020 --> 00:03:05.020]  我看完這篇文章覺得很厲害
[00:03:05.020 --> 00:03:08.020]  為什麼我不在香港嘗試一下這個無聲革命呢
[00:03:08.020 --> 00:03:10.020]  於是我去法洛門喝茶
[00:03:10.020 --> 00:03:12.020]  當時不是叫法洛門,叫豪華
[00:03:12.020 --> 00:03:15.020]  當時還是推車的那些蝦餃燒賣
[00:03:15.020 --> 00:03:18.020]  有個嬸推著蝦餃燒賣
[00:03:18.020 --> 00:03:22.020]  她說你來你來,不知道我在搞什麼,以為我叫點心
[00:03:22.020 --> 00:03:24.020]  然後她跟我說,我喝了茶很多年了
[00:03:24.020 --> 00:03:28.020]  我從未見過一個嬸像你這麼有笑容的
[00:03:28.020 --> 00:03:30.020]  這麼溫文有禮的
[00:03:30.020 --> 00:03:33.020]  你說的蝦餃燒賣都非常動聽
[00:03:33.020 --> 00:03:37.020]  而且你非常服務一流至上
[00:03:37.020 --> 00:03:41.020]  我看見那個嬸蓮子容的面,但又面紅
[00:03:41.020 --> 00:03:44.020]  一味說吃多點吃多點
[00:03:44.020 --> 00:03:47.020]  之後我就問我自己的問題
[00:03:47.020 --> 00:03:49.020]  香港有沒有變呢
[00:03:49.020 --> 00:03:52.020]  有沒有我搞革命呢,革命成不成功呢
[00:03:52.020 --> 00:03:56.020]  這個就留給你自己做決定
[00:03:56.020 --> 00:04:00.020]  為什麼紐約現在可能都是這樣
[00:04:00.020 --> 00:04:02.020]  香港都是這樣呢
[00:04:02.020 --> 00:04:04.020]  我就想到原因
[00:04:04.020 --> 00:04:07.020]  因為旁邊的台沒多遠就有個大聲的說
[00:04:07.020 --> 00:04:09.020]  你搞什麼鬼
[00:04:09.020 --> 00:04:12.020]  於是他的惡就傳了出去
[00:04:12.020 --> 00:04:14.020]  一個傳十個,十個傳八個
