
[00:00:00.000 --> 00:00:03.440]  今天的題目是「再撕十二塊石頭」
[00:00:03.440 --> 00:00:07.120]  為什麼會改這個題目叫「再撕十二塊石頭」呢?
[00:00:07.120 --> 00:00:11.400]  因為很多時候你看聖經
[00:00:11.400 --> 00:00:14.760]  就算我這本和合本修訂版的聖經
[00:00:14.760 --> 00:00:16.720]  其實在這個段落
[00:00:16.720 --> 00:00:18.800]  約書亞記第四章的段落
[00:00:18.800 --> 00:00:23.520]  其實它通常會用「納石遺記」作為主題
[00:00:23.520 --> 00:00:27.440]  但是為什麼今天會選擇「十二塊石頭」呢?
[00:00:27.440 --> 00:00:33.200]  因為這間教堂的地址
[00:00:33.200 --> 00:00:36.120]  第一堂的崇拜
[00:00:36.120 --> 00:00:40.480]  當時是用「十二塊石頭」作為當日的訊息
[00:00:40.480 --> 00:00:44.320]  所以在我們這個堂可以獻給神的時候
[00:00:44.320 --> 00:00:48.240]  當時是在一九年十月十九號的時間
[00:00:48.240 --> 00:00:52.880]  而當時的張牧師跟我們講的訊息是「十二塊石頭」
[00:00:52.880 --> 00:00:55.240]  所以我想在隔了這麼久
[00:00:55.240 --> 00:00:59.440]  很難得我們隔了一段時間
[00:00:59.440 --> 00:01:02.960]  都沒有去慶祝教會成立的週年
[00:01:02.960 --> 00:01:04.280]  藉著今天的日子
[00:01:04.280 --> 00:01:06.280]  藉著同一段經文
[00:01:06.280 --> 00:01:08.640]  讓我們去思考更多
[00:01:08.640 --> 00:01:11.000]  所以今天的題目是承接著
[00:01:11.000 --> 00:01:13.200]  之前張牧師的「十二塊石頭」
[00:01:13.200 --> 00:01:16.360]  而是我們「再撕十二塊石頭」
[00:01:16.360 --> 00:01:19.720]  在「再撕十二塊石頭」的事情裏
[00:01:19.720 --> 00:01:23.000]  實在有太多事情可以思考
[00:01:23.000 --> 00:01:25.120]  所以因為時間的關係
[00:01:25.120 --> 00:01:28.560]  我只可以集中思考某些地方
[00:01:28.560 --> 00:01:31.480]  因為約書亞這段經文
[00:01:31.480 --> 00:01:33.280]  第四章其實很豐富
[00:01:33.280 --> 00:01:36.080]  我自己預備的時候也有很多啟發
[00:01:36.080 --> 00:01:39.720]  不過我想我們也要集中焦點
[00:01:39.720 --> 00:01:45.320]  我們今天集中在「再撕」裏有三個「撕」
[00:01:45.320 --> 00:01:47.600]  第一個「撕」是什麼呢?
[00:01:47.600 --> 00:01:51.800]  就是「一步見歧視」
[00:01:51.800 --> 00:01:54.800]  就是那一步就見到歧視
[00:01:54.800 --> 00:02:01.400]  因為我們知道在以色列人離開埃及的時候
[00:02:01.400 --> 00:02:05.920]  其實你知道由埃及的地方一直逃亡
[00:02:05.920 --> 00:02:07.880]  然後過了紅海
[00:02:07.880 --> 00:02:10.080]  然後在曠野漂流
[00:02:10.080 --> 00:02:13.680]  事實上這個日子是一個漫長的日子
[00:02:13.680 --> 00:02:16.600]  在這個漫長的日子裏漂流了40年
[00:02:16.600 --> 00:02:19.280]  直至到今天我們讀到的經文
[00:02:19.280 --> 00:02:22.000]  說到剛剛好40年的時間
[00:02:22.000 --> 00:02:23.360]  就是正月初十
[00:02:23.360 --> 00:02:28.200]  他們終於到達了神鷹去的地方
[00:02:28.200 --> 00:02:31.240]  但在這個漫長的40年裏
[00:02:31.240 --> 00:02:34.120]  現在其實你看回今天我們讀的經文
[00:02:34.120 --> 00:02:37.320]  在約書亞記無論第三章和第四章裏
[00:02:37.320 --> 00:02:39.800]  都是在說最後的時刻
[00:02:39.800 --> 00:02:40.800]  就是怎樣呢?
[00:02:40.800 --> 00:02:43.040]  就是在說怎樣由十亭
[00:02:43.040 --> 00:02:47.040]  過約旦河到吉格
[00:02:47.040 --> 00:02:53.200]  他們已經是去到約旦河的東面
[00:02:53.200 --> 00:02:54.680]  繞過去那邊
[00:02:54.680 --> 00:02:56.720]  在東面的時候
[00:02:56.720 --> 00:02:58.560]  差點就已經去到
[00:02:58.560 --> 00:03:03.080]  過約旦河就進入到神鷹去的迦南的地方
[00:03:03.080 --> 00:03:04.720]  而這個過程裏面
[00:03:04.720 --> 00:03:06.720]  十亭就是差一個約旦河
[00:03:06.720 --> 00:03:10.040]  就能夠去到吉格
[00:03:10.040 --> 00:03:12.440]  而我們看回約書亞記第三章
[00:03:12.440 --> 00:03:14.240]  三至五節的段落
[00:03:14.240 --> 00:03:15.920]  你會知道
[00:03:15.920 --> 00:03:20.240]  神就吩咐百姓說
[00:03:20.240 --> 00:03:22.640]  當你們看見利美加的祭司
[00:03:22.640 --> 00:03:23.920]  台爵耶和華
[00:03:23.920 --> 00:03:25.840]  你們上帝的約會的時候
[00:03:25.840 --> 00:03:29.560]  你們就要起行離開所住的地方
[00:03:29.560 --> 00:03:31.120]  跟著約會走
[00:03:31.120 --> 00:03:33.560]  使你們知道所當走的路
[00:03:33.560 --> 00:03:37.080]  因為這條路是你們從來沒有走過的
[00:03:37.080 --> 00:03:40.960]  只是你們要與約會相隔約二千走
[00:03:40.960 --> 00:03:42.960]  不可太靠近約會
[00:03:42.960 --> 00:03:45.120]  約書亞吩咐百姓說
[00:03:45.120 --> 00:03:48.280]  你們要使自己分別為聖
[00:03:48.280 --> 00:03:53.400]  因為明天耶和華必在你們中間行祈禱
[00:03:53.400 --> 00:03:56.000]  在最後這個時刻
[00:03:56.000 --> 00:03:57.040]  約書亞記的時候
[00:03:57.040 --> 00:03:58.600]  正正好就是神就說
[00:03:58.600 --> 00:04:03.360]  神要讓他們離開他們所在的地方
[00:04:03.360 --> 00:04:06.440]  他們在曠野已經漂流有足夠的日子
[00:04:06.440 --> 00:04:12.880]  神說你們現在可以跟著這個約會去到神所應許的地方
[00:04:12.880 --> 00:04:16.000]  不過當中特別提到一個很有趣的話
[00:04:16.000 --> 00:04:19.800]  這條路是你們從來沒有走過的
[00:04:19.800 --> 00:04:23.040]  這條路為什麼是一個從來沒有走過的路呢?
[00:04:23.040 --> 00:04:27.600]  因為跟著他們所要見的是一件奇事
[00:04:27.600 --> 00:04:32.520]  這件奇事是他們大部分人都沒有見過的
[00:04:32.520 --> 00:04:34.960]  為什麼這樣說呢?
[00:04:34.960 --> 00:04:36.680]  在這件事之前
[00:04:36.680 --> 00:04:40.160]  有一件大的奇事是什麼呢?
[00:04:40.160 --> 00:04:43.720]  就是他們來出埃及過紅海
[00:04:43.720 --> 00:04:44.880]  在這個時刻裡面
