
[00:00:00.000 --> 00:00:04.220]  在這五個月裏面
[00:00:04.220 --> 00:00:06.960]  其實如果對比起這個佔領運動
[00:00:06.960 --> 00:00:10.500]  有個同學經常提醒我們
[00:00:10.500 --> 00:00:13.360]  佔領運動只不過是擦選一下
[00:00:13.360 --> 00:00:18.320]  這次真的令我們手足無措
[00:00:18.320 --> 00:00:22.820]  喚起我自己一個很大的衝動
[00:00:22.820 --> 00:00:24.820]  真的要重新學習祈禱
[00:00:24.820 --> 00:00:31.220]  而祈禱不是因為我們在教會的信徒必定要
[00:00:31.220 --> 00:00:35.440]  而是反而看到自己的有限性
[00:00:35.440 --> 00:00:38.040]  因為我們有限 我們無能為力
[00:00:38.040 --> 00:00:40.040]  所以我們真的要去祈禱
[00:00:40.040 --> 00:00:44.320]  在祈禱裏面當我們意識到自己不再工作的時候
[00:00:44.320 --> 00:00:47.840]  其實反而意識到上帝正在工作
[00:00:47.840 --> 00:00:50.960]  所以在祈禱裏面在路加福音18章
[00:00:50.960 --> 00:00:56.740]  再次重新讓我們在祈禱裏面有少許學習
[00:00:56.740 --> 00:01:01.280]  一個怎樣的祈禱或者方向的祈禱
[00:01:01.280 --> 00:01:06.800]  是我們需要在信徒群體之間繼續學習
[00:01:06.800 --> 00:01:11.060]  第一次其實在聖經裏面講一個比喻
[00:01:11.060 --> 00:01:13.760]  不複雜的 常常禱告不要灰心
[00:01:13.760 --> 00:01:16.780]  這是老生常談到不得了的事
[00:01:16.780 --> 00:01:18.780]  常常禱告不可灰心
[00:01:18.780 --> 00:01:22.780]  基本上他沒有違反到聖經任何的神學
[00:01:22.780 --> 00:01:26.780]  不過當我們在祈禱裏面
[00:01:26.780 --> 00:01:30.200]  我們用一種心態 為何我們要祈禱
[00:01:30.200 --> 00:01:33.060]  因為在聖經裏面這個比喻裏面
[00:01:33.060 --> 00:01:35.060]  寡婦被人欺負到上心口
[00:01:35.060 --> 00:01:38.800]  所以搖動上帝的手為我們伸冤
[00:01:38.800 --> 00:01:41.660]  我們這樣的心態去祈禱的話
[00:01:41.660 --> 00:01:45.680]  我只能夠講我們仍然維持在一個比較低層次的裏面
[00:01:45.680 --> 00:01:49.280]  我們仍然只會關注自己所關注的事
[00:01:49.280 --> 00:01:53.780]  或者這一種可能只是停留在一種民間宗教
[00:01:53.780 --> 00:01:56.880]  是呀 現在我不可以了 上帝你來幫我吧
[00:01:56.880 --> 00:02:02.220]  仍然都是以自己為中心的禱告來關注自己的事
[00:02:02.220 --> 00:02:05.760]  在整個祈禱裏面或者整個聖經
[00:02:05.760 --> 00:02:08.260]  甚至在我們祈禱的傳統裏面
[00:02:08.260 --> 00:02:12.400]  其實在祈禱裏面不是單是關注自己關注的事
[00:02:12.400 --> 00:02:14.140]  如果只是關注自己的事
[00:02:14.140 --> 00:02:17.460]  其實我們仍然停留在一種民間宗教
[00:02:17.460 --> 00:02:21.180]  阿拉丁 黃大仙式的一種禱告
[00:02:21.180 --> 00:02:24.600]  在祈禱裏面 其實第一節我相信大家都有這樣的經驗
[00:02:24.600 --> 00:02:26.840]  就是當我們一直在祈禱的時候
[00:02:26.840 --> 00:02:29.720]  我們不是在留意著我們的關注
[00:02:29.720 --> 00:02:33.020]  我們好像一直在祈禱 被上帝帶動我們
[00:02:33.020 --> 00:02:35.700]  去留意著上帝在關注著甚麼事
[00:02:35.700 --> 00:02:37.580]  這個才是祈禱的中心
[00:02:37.580 --> 00:02:40.160]  在祈禱裏面其實我們一直被上帝帶著
[00:02:40.160 --> 00:02:43.080]  是在留意著上帝是誰
[00:02:43.080 --> 00:02:45.360]  當我們知道上帝是誰的時候
[00:02:45.360 --> 00:02:48.020]  我們才開始意識到祂怎樣工作
[00:02:48.020 --> 00:02:49.720]  祂怎樣行事
[00:02:49.720 --> 00:02:52.220]  這個就是以上帝為中心的禱告
[00:02:52.220 --> 00:02:57.040]  所以在祈禱裏面 其實我們都有一個轉向
[00:02:57.040 --> 00:03:00.640]  這個轉向是由我們自己自我的關注
[00:03:00.640 --> 00:03:03.920]  到我們開始有關注著上帝關注著甚麼事
[00:03:03.920 --> 00:03:06.400]  甚至我們開始從上帝的眼睛
[00:03:06.400 --> 00:03:08.680]  關注著祂怎樣關注這個世界
[00:03:08.680 --> 00:03:13.480]  這個是一個在祈禱裏面我們要再一次操練
[00:03:13.480 --> 00:03:16.120]  教父有一個故事
[00:03:16.120 --> 00:03:18.200]  他這樣提訊徒
[00:03:18.200 --> 00:03:19.080]  甚麼叫祈禱呢?
[00:03:19.080 --> 00:03:21.720]  祈禱就是好像一個人
[00:03:21.720 --> 00:03:25.040]  漆黑裏面進入了一間黑漆漆的房間
[00:03:25.040 --> 00:03:26.400]  當他進入房間的時候
[00:03:26.400 --> 00:03:29.880]  其實你想像一下當你在晚上的時候
[00:03:29.880 --> 00:03:32.160]  這裏全都關燈 或者在你房間裏全都關燈
[00:03:32.160 --> 00:03:34.080]  沒有窗 沒有任何的東西
[00:03:34.080 --> 00:03:37.440]  你進入去的時候 你會甚麼都看不到
[00:03:37.440 --> 00:03:39.360]  你看不到你的書桌在哪裏
[00:03:39.360 --> 00:03:42.320]  你看不到你的床放在哪裏
[00:03:42.320 --> 00:03:44.840]  你看不到你的飯桌放在哪裏
[00:03:44.840 --> 00:03:46.320]  直到甚麼時候看到呢?
[00:03:46.320 --> 00:03:51.240]  直到你的手一直摸著牆上的燈
[00:03:51.240 --> 00:03:53.680]  當你開著燈的時候
[00:03:53.680 --> 00:03:56.480]  光來到房間裏面
[00:03:56.480 --> 00:03:57.920]  因為有光的緣故
[00:03:57.920 --> 00:04:01.520]  所以你重新看到這房間的擺設
[00:04:01.520 --> 00:04:05.400]  這個就是祈禱的一個轉向
[00:04:05.400 --> 00:04:07.480]  聖靈在祈禱裏面光照我們
[00:04:07.480 --> 00:04:11.080]  讓我們看到上帝的世界是怎樣
[00:04:11.080 --> 00:04:12.520]  所以很有趣
[00:04:12.520 --> 00:04:15.200]  我們有時 這是我自己的經驗
[00:04:15.200 --> 00:04:18.240]  我有時睜大眼睛回教會
[00:04:18.240 --> 00:04:20.080]  和我閉上眼睛
[00:04:20.080 --> 00:04:22.160]  突然閉上眼睛想祈禱的時候
[00:04:22.160 --> 00:04:25.120]  我彷彿好像看到兩個世界
[00:04:25.120 --> 00:04:26.480]  當我們閉上眼睛的時候
[00:04:26.480 --> 00:04:30.360]  好像彷彿上帝的世界呈現在我們的腦裏
[00:04:30.360 --> 00:04:32.120]  是我們睜大眼睛的人看不到
[00:04:32.120 --> 00:04:33.720]  我不知道大家明不明白我說甚麼
[00:04:33.720 --> 00:04:35.000]  這些經歷很神
[00:04:35.000 --> 00:04:36.760]  但我卻是很多時候
[00:04:36.760 --> 00:04:39.640]  因著一個這樣的過程
[00:04:39.640 --> 00:04:42.120]  我看到上帝讓我看到的世界
[00:04:42.120 --> 00:04:45.640]  所以我經常和我的學生
[00:04:45.640 --> 00:04:48.160]  為了要他明白祈禱是甚麼
[00:04:48.160 --> 00:04:51.680]  我又會用一個物理現象和學生說
[00:04:51.680 --> 00:04:53.920]  我說如果一早起床
[00:04:53.920 --> 00:04:58.040]  你猜一下你看到甚麼呢
[00:04:58.040 --> 00:04:58.880]  一早起床
[00:04:58.880 --> 00:05:01.400]  即是當你睜大眼睛 早上起床
[00:05:01.400 --> 00:05:02.720]  很多學生就回答我
[00:05:02.720 --> 00:05:04.640]  就是看到天花板
[00:05:04.640 --> 00:05:06.040]  我有一個結婚的導師
[00:05:06.040 --> 00:05:07.560]  就看到另一半
[00:05:07.560 --> 00:05:09.120]  就看到甚麼
[00:05:09.120 --> 00:05:10.040]  我就和他說
[00:05:10.040 --> 00:05:12.520]  如果物理現象就不是看到這些東西
[00:05:12.520 --> 00:05:14.320]  物理現象看到甚麼
[00:05:14.320 --> 00:05:16.400]  先是看到光
[00:05:16.400 --> 00:05:20.440]  因為光你才能夠看到其他東西
[00:05:20.440 --> 00:05:22.480]  祈禱其實是一樣
[00:05:22.480 --> 00:05:26.240]  聖靈在祈禱裏光照我們
[00:05:26.240 --> 00:05:29.240]  讓我們看到上帝是誰
[00:05:29.240 --> 00:05:31.760]  當我們看到上帝是誰的時候
[00:05:31.760 --> 00:05:34.720]  我們才能夠看到祂在關注這個世界
[00:05:34.720 --> 00:05:36.200]  或者這個世界要怎樣運作
[00:05:36.200 --> 00:05:38.400]  所以祈禱是非常重要的
[00:05:38.400 --> 00:05:42.800]  當我們仍然停留在我們自我中心式的祈禱的時候
[00:05:42.800 --> 00:05:46.280]  我們可能會得到一些很基本的東西
[00:05:46.280 --> 00:05:50.200]  但我們永遠看不到上帝讓我們看到的世界
[00:05:50.200 --> 00:05:51.280]  所以我想說
[00:05:51.280 --> 00:05:54.680]  如果在祈禱裏面
[00:05:54.680 --> 00:05:56.200]  上帝是中心的話
[00:05:56.200 --> 00:06:00.920]  整個故事你要重新擺放自己的角色
[00:06:00.920 --> 00:06:02.880]  寡婦不是主角
[00:06:02.880 --> 00:06:04.360]  寡婦是配角
[00:06:04.360 --> 00:06:06.080]  主角是誰
[00:06:06.080 --> 00:06:07.920]  主角是那個官
[00:06:07.920 --> 00:06:11.000]  那個官呈現著上帝的屬性
[00:06:11.000 --> 00:06:13.920]  所以你要重新擺放這個角色
[00:06:13.920 --> 00:06:15.880]  我們有時看到寡婦
[00:06:15.880 --> 00:06:17.040]  我們就是那個寡婦
[00:06:17.040 --> 00:06:18.680]  彷彿寡婦是主角
[00:06:18.680 --> 00:06:19.680]  其實不是
[00:06:19.680 --> 00:06:20.920]  反過來
[00:06:20.920 --> 00:06:22.560]  那個官才是主角
[00:06:22.560 --> 00:06:24.600]  寡婦是襯托
[00:06:24.600 --> 00:06:27.280]  而這個故事很明顯有一個設定
[00:06:27.280 --> 00:06:30.840]  就是一個很有權威很有權勢的官
[00:06:30.840 --> 00:06:33.560]  和一個逼得走投無路的寡婦
[00:06:33.560 --> 00:06:38.320]  是一個非常清楚的場景設定
[00:06:38.320 --> 00:06:41.080]  那麼這個官
[00:06:41.080 --> 00:06:42.160]  或者這個寡婦
[00:06:42.160 --> 00:06:43.800]  如果看下去的時候
[00:06:43.800 --> 00:06:45.320]  大家都知道她走投無路
[00:06:45.320 --> 00:06:47.840]  第一就是她是一個寡婦
[00:06:47.840 --> 00:06:49.280]  失去了丈夫
[00:06:49.280 --> 00:06:51.000]  代表沒有經濟能力
[00:06:51.000 --> 00:06:52.840]  當時還要是女性
[00:06:52.840 --> 00:06:59.880]  所以更加不能夠在生活上有靠耳
[00:06:59.880 --> 00:07:02.600]  被她的死對頭冤屈
[00:07:02.600 --> 00:07:04.040]  所以她走投無路之下
[00:07:04.040 --> 00:07:06.080]  要逼著找地上的官去伸冤
[00:07:06.080 --> 00:07:08.400]  我想說她是不想的
[00:07:08.400 --> 00:07:09.560]  但是沒辦法
[00:07:09.560 --> 00:07:10.440]  要這麼做
[00:07:10.440 --> 00:07:12.080]  那麼這個官
[00:07:12.080 --> 00:07:13.360]  就有兩大特性
[00:07:13.360 --> 00:07:16.400]  大家一看就看到
[00:07:16.400 --> 00:07:18.480]  既不怕神
[00:07:18.480 --> 00:07:19.960]  也不尊重人
[00:07:19.960 --> 00:07:22.960]  就是不怕神就是沒有良知
[00:07:22.960 --> 00:07:24.280]  不尊重人
[00:07:24.280 --> 00:07:25.960]  其實他也不用尊重你
[00:07:25.960 --> 00:07:27.800]  你這個窮寡婦
[00:07:27.800 --> 00:07:29.280]  無權無勢
[00:07:29.280 --> 00:07:30.560]  就是我有權有勢
[00:07:30.560 --> 00:07:32.240]  你這樣的小事
[00:07:32.240 --> 00:07:35.640]  我真的不需要理會你
[00:07:35.640 --> 00:07:37.360]  讀到這裡
[00:07:37.360 --> 00:07:41.000]  我昨天在預備查經的時候
[00:07:41.000 --> 00:07:43.320]  讀到這裡我必須要勸勉弟兄姊妹
