
[00:00:00.000 --> 00:00:02.360]  兄弟姐妹,又來到新一天了
[00:00:02.360 --> 00:00:04.360]  我們今天來看一個
[00:00:04.360 --> 00:00:08.160]  上次昨天看是「任性的參宣」
[00:00:08.160 --> 00:00:09.680]  今次我再「任性」一點
[00:00:09.680 --> 00:00:12.920]  我就說參宣是一個好殺
[00:00:12.920 --> 00:00:15.680]  嘩,是殺成性的參宣
[00:00:15.680 --> 00:00:17.600]  厲害,很好殺人的
[00:00:17.600 --> 00:00:18.960]  這樣就挺有趣的
[00:00:18.960 --> 00:00:20.400]  就是說,怎麼會好殺呢?
[00:00:20.400 --> 00:00:22.960]  就是內心比較兇惡
[00:00:22.960 --> 00:00:26.800]  聖經是由生命樹向大家提供
[00:00:26.800 --> 00:00:29.880]  去認識更多我們的上主
[00:00:29.880 --> 00:00:31.880]  好殺的參宣
[00:00:31.880 --> 00:00:33.840]  很長,我要快一點
[00:00:33.840 --> 00:00:35.680]  他父親下去見女子
[00:00:35.680 --> 00:00:39.320]  參宣在那裡就擺設筵席了
[00:00:39.320 --> 00:00:41.160]  做什麼呢?
[00:00:41.160 --> 00:00:43.200]  主要就是見過了
[00:00:43.200 --> 00:00:45.320]  看了,嘩,喜歡
[00:00:45.320 --> 00:00:47.720]  然後就告訴爸爸媽媽
[00:00:47.720 --> 00:00:49.120]  是告訴你
[00:00:49.120 --> 00:00:53.120]  給我拿那個女孩子來做我太太
[00:00:53.120 --> 00:00:55.040]  為什麼?沒有女孩子嗎?
[00:00:55.040 --> 00:00:57.040]  我喜歡了
[00:00:57.040 --> 00:00:58.880]  給我拿來,喜歡了
[00:00:58.880 --> 00:01:02.840]  就逼著爸爸媽媽下去提親
[00:01:02.840 --> 00:01:05.360]  下去就提親了
[00:01:05.360 --> 00:01:07.480]  他走過見到獅子就殺了
[00:01:07.480 --> 00:01:11.280]  然後再去見到獅子死了
[00:01:11.280 --> 00:01:14.400]  裡面有蜂蜜拿來吃
[00:01:14.400 --> 00:01:17.000]  不能夠接近死屍的拿西爾人
[00:01:17.000 --> 00:01:18.840]  他又犯了
[00:01:18.840 --> 00:01:20.080]  父親下去見女子
[00:01:20.080 --> 00:01:21.920]  就參宣在那裡結婚
[00:01:21.920 --> 00:01:24.960]  就擺設宴宴了
[00:01:24.960 --> 00:01:29.000]  向來少年人結婚都有這個規矩
[00:01:29.000 --> 00:01:31.240]  當地的菲利士人見到
[00:01:31.240 --> 00:01:34.600]  參宣這個人來娶我們的女孩子
[00:01:34.600 --> 00:01:36.040]  好啊,都是一個婚宴
[00:01:36.040 --> 00:01:38.680]  好,不要五鼓鼎鼎
[00:01:38.680 --> 00:01:40.200]  我兒子也有頭有臉
[00:01:40.200 --> 00:01:43.040]  我女兒出嫁也被人知道
[00:01:43.040 --> 00:01:45.240]  我也有頭有臉
[00:01:45.240 --> 00:01:50.240]  於是女子那邊就請了三十個人
[00:01:50.240 --> 00:01:54.240]  這三十個我推測都是年輕的菲利士人
[00:01:54.240 --> 00:01:56.680]  請來陪伴參宣
[00:01:56.680 --> 00:01:59.080]  陪伴他,是指參宣的
[00:01:59.080 --> 00:02:01.840]  見眾人看見參宣
[00:02:01.840 --> 00:02:04.440]  說結婚了,大家去吧
[00:02:04.440 --> 00:02:06.840]  有三十個人
[00:02:06.840 --> 00:02:08.600]  參宣對他們說
[00:02:08.600 --> 00:02:12.120]  我給你們出一個謎語
[00:02:12.120 --> 00:02:14.320]  你們在七天宴宴之內
[00:02:14.320 --> 00:02:16.040]  如果能夠猜出意思
[00:02:16.040 --> 00:02:17.120]  告訴我
[00:02:17.120 --> 00:02:19.920]  我就給你們三十件內衣
[00:02:19.920 --> 00:02:23.080]  女衣,三十套衣裳
[00:02:23.080 --> 00:02:25.560]  這個故事真有趣
[00:02:25.560 --> 00:02:27.080]  三十個人說
[00:02:27.080 --> 00:02:28.120]  各位兄弟
[00:02:28.120 --> 00:02:30.880]  跟我做兄弟鄧穿石
[00:02:30.880 --> 00:02:32.000]  好啊
[00:02:32.000 --> 00:02:34.040]  我們就飲宴七天
[00:02:34.040 --> 00:02:36.240]  這是他們一路的規矩
[00:02:36.240 --> 00:02:38.080]  他們說好啊
[00:02:38.080 --> 00:02:40.760]  如果我出一個謎語給你們猜
[00:02:40.760 --> 00:02:41.640]  猜到
[00:02:41.640 --> 00:02:42.960]  一人送一套衣服
[00:02:42.960 --> 00:02:45.360]  內外衣全齊
[00:02:45.360 --> 00:02:48.360]  你們若不能猜出意思告訴我
[00:02:48.360 --> 00:02:50.720]  你們就給我三十件女衣
[00:02:50.720 --> 00:02:52.640]  三十套衣裳
[00:02:52.640 --> 00:02:55.000]  猜不到就一人一件
[00:02:55.000 --> 00:02:57.240]  猜到我送你們一人一件
[00:02:57.240 --> 00:02:59.160]  猜不到你們三十人
[00:02:59.160 --> 00:03:01.240]  都一人一件送給我
[00:03:01.240 --> 00:03:03.720]  我拿著三十套衣服走了
[00:03:03.720 --> 00:03:05.480]  他們說好啊
[00:03:05.480 --> 00:03:07.200]  將謎語告訴我們
[00:03:07.200 --> 00:03:08.720]  因為心裏想
[00:03:08.720 --> 00:03:10.920]  請將謎語說給我們聽
[00:03:10.920 --> 00:03:12.920]  因為我們有三十人
[00:03:12.920 --> 00:03:14.640]  有七天
[00:03:14.640 --> 00:03:16.200]  想都想得到
[00:03:16.200 --> 00:03:18.120]  什麼謎語都破解到
[00:03:18.120 --> 00:03:19.880]  這次好好告訴我們
[00:03:19.880 --> 00:03:21.040]  心裏想
[00:03:21.040 --> 00:03:23.040]  預備穿新衣服
[00:03:23.040 --> 00:03:24.840]  這樣都不一定
[00:03:24.840 --> 00:03:26.560]  參孫對貪門孫
[00:03:26.560 --> 00:03:28.840]  第一個
[00:03:28.840 --> 00:03:32.320]  吃的從吃者出來
[00:03:32.320 --> 00:03:35.720]  甜的從強者出來
[00:03:35.720 --> 00:03:37.600]  謎語謎面
[00:03:37.600 --> 00:03:39.520]  吃的從吃者出來
