
[00:00:00.000 --> 00:00:02.320]  弟兄姊妹,早日平安!
[00:00:02.320 --> 00:00:04.200]  我想問大家一個問題
[00:00:04.200 --> 00:00:06.640]  你有沒有想過在你一生當中
[00:00:06.640 --> 00:00:11.340]  會花多少時間在等候的裏面?
[00:00:11.340 --> 00:00:13.560]  沒有標準答案的
[00:00:13.560 --> 00:00:17.720]  在網上裏面有一些很有趣的統計
[00:00:17.720 --> 00:00:19.340]  原來我們一生人當中
[00:00:19.340 --> 00:00:23.540]  會花上大概兩至三年來排隊
[00:00:23.540 --> 00:00:27.840]  另外可能大家今早來教會之前都經歷過的
[00:00:27.840 --> 00:00:30.240]  我們在紅綠燈面前等過馬路
[00:00:30.240 --> 00:00:34.160]  一生人當中會用上兩至三個星期的時間
[00:00:34.160 --> 00:00:35.780]  不知道大家有沒有想過
[00:00:35.780 --> 00:00:37.320]  站在燈前面
[00:00:37.320 --> 00:00:41.540]  都會用了我們一生當中大概三個星期的時間
[00:00:41.540 --> 00:00:44.320]  原來這些零碎的等候
[00:00:44.320 --> 00:00:48.960]  都會佔據了我們人生這麼多的光陰
[00:00:48.960 --> 00:00:50.240]  在人生當中
[00:00:50.240 --> 00:00:52.400]  其實還有很多不同的等候
[00:00:52.400 --> 00:00:54.800]  等候難處的過去
[00:00:54.800 --> 00:00:57.080]  等候病患得到醫治
[00:00:57.080 --> 00:01:00.560]  等候關係復和等等
[00:01:00.560 --> 00:01:05.260]  等候可以說是我們生活裏面的一個常數
[00:01:05.260 --> 00:01:07.920]  而在逆境當中的等候
[00:01:07.920 --> 00:01:09.760]  是特別難捱的
[00:01:09.760 --> 00:01:12.560]  不知道大家有沒有這樣的經歷、體會
[00:01:12.560 --> 00:01:16.920]  而且往往是考驗我們信仰的時刻
[00:01:16.920 --> 00:01:19.560]  在等候當中
[00:01:19.560 --> 00:01:22.960]  很容易心裏會浮現種種的疑問
[00:01:22.960 --> 00:01:24.480]  信仰的疑問
[00:01:24.480 --> 00:01:27.920]  神是不是已經撇下我,不再理我呢?
[00:01:27.920 --> 00:01:30.880]  神是不是真的掌管一切呢?
[00:01:30.880 --> 00:01:32.320]  神如果這麼愛我
[00:01:32.320 --> 00:01:35.520]  為什麼我會在這個處境裏面這麼久呢?
[00:01:35.520 --> 00:01:41.920]  這些時刻都是考驗我們對神的認識和信靠
[00:01:41.920 --> 00:01:46.600]  等候既然是我們人生裏面不能夠逃避的一環
[00:01:46.600 --> 00:01:47.920]  那我們要問
[00:01:47.920 --> 00:01:51.120]  究竟我們怎樣才有更加有力量
[00:01:51.120 --> 00:01:54.040]  來面對種種的等候?
[00:01:54.040 --> 00:01:55.240]  在等候當中
[00:01:55.240 --> 00:02:00.560]  究竟我們最重要的期盼是什麼呢?
[00:02:00.560 --> 00:02:03.240]  今天想和大家一起來思想
[00:02:03.240 --> 00:02:07.520]  以色列民族在一個很漫長的等候當中
[00:02:07.520 --> 00:02:10.200]  神帶給他們怎樣的安慰
[00:02:10.200 --> 00:02:12.800]  怎樣去激勵他們繼續堅持下去
[00:02:12.800 --> 00:02:16.560]  在絕望裏面能夠看見盼望
[00:02:16.560 --> 00:02:18.360]  讓我們同德激勵
[00:02:18.360 --> 00:02:21.400]  首先讓我們一同來看今天的經文
[00:02:21.400 --> 00:02:26.240]  二創書四十章一至十一節
[00:02:26.240 --> 00:02:28.240]  我們一起讀出這段經文
[00:02:28.240 --> 00:02:29.720]  預備起
[00:02:29.720 --> 00:02:31.240]  你們的神說
[00:02:31.240 --> 00:02:34.760]  你們要安慰安慰我的百姓
[00:02:34.760 --> 00:02:37.840]  要對耶路撒冷說安慰的話
[00:02:37.840 --> 00:02:40.120]  又向他宣告說
[00:02:40.120 --> 00:02:42.920]  他征戰的日子已滿了
[00:02:42.920 --> 00:02:45.080]  他的罪孽赦免了
[00:02:45.080 --> 00:02:47.320]  他為自己的一切罪
[00:02:47.320 --> 00:02:50.960]  從耶和華手中加倍受罰
[00:02:50.960 --> 00:02:52.760]  有人聲喊著說
[00:02:52.760 --> 00:02:55.800]  在曠野預備耶和華的路
[00:02:55.800 --> 00:02:59.400]  在沙漠地修平我們神的道
[00:02:59.400 --> 00:03:02.080]  一切山窪都要填滿
[00:03:02.080 --> 00:03:04.960]  大小山崗都要削平
[00:03:04.960 --> 00:03:08.120]  高高低低的要改為平坦
[00:03:08.120 --> 00:03:11.560]  崎崎嶇嶇的必成為平原
[00:03:11.560 --> 00:03:14.560]  耶和華的榮耀必然顯現
[00:03:14.560 --> 00:03:17.520]  凡有血氣的必一同看見
[00:03:17.520 --> 00:03:20.880]  因為這是耶和華親口說的
