
[00:00:00.000 --> 00:00:15.000]  我相信在座的裡面,每個人在人生都經歷過一些不人為明白的苦難,苦難已經夠了。
[00:00:15.000 --> 00:00:29.000]  比方說你有疾病,或者你失去一個親友,或者在格外困難的當中,發現你要承擔的壓力很重。
[00:00:29.000 --> 00:00:38.000]  所以不管如何,臨到你的身上的苦痛是什麼,我相信這個苦難已經夠了。
[00:00:38.000 --> 00:00:45.000]  但是在約伯的醫生授作苦難的背後,還有另外一種的苦難。
[00:00:45.000 --> 00:00:54.000]  這個苦難就記載在約伯記的十九章十三節,往下去到十九節。
[00:00:54.000 --> 00:01:09.000]  他將看到這些的平常很親近的弟兄,親戚,密友,連他的太太,小孩子都拒絕的與他交往。
[00:01:09.000 --> 00:01:22.000]  我相信當一個人接受做苦難的煎熬背後,還要領受做別人對你苦難的評價跟誤解。
[00:01:22.000 --> 00:01:26.000]  我覺得這個就是另外一個層次的苦難。
[00:01:26.000 --> 00:01:38.000]  我剛才說過,我說肉身的苦難已經夠了,為什麼在人不明白的苦難外面,還加上另外一個更大的苦難。
[00:01:38.000 --> 00:01:52.000]  就是別人以他們的看法,看你所走過的苦難是罪,是神的刑罰。
[00:01:52.000 --> 00:02:00.000]  他們的定語,他們的判斷,讓你內心受到另外一種更大的痛苦。
[00:02:00.000 --> 00:02:08.000]  大家有沒有聽過一句話,寡婦門前多什麼?
[00:02:08.000 --> 00:02:17.000]  寡婦已經夠慘了,門前還有很多是非。
[00:02:17.000 --> 00:02:25.000]  在座當中可能沒有一些人有三次的經歷。
[00:02:25.000 --> 00:02:33.000]  你曾經有沒有一個智能當中有缺陷的小孩子?
[00:02:33.000 --> 00:02:39.000]  接受做這個小孩子,要培育他已經夠難了。
[00:02:39.000 --> 00:02:46.000]  但是這些的婦人的面前,還是存在著別人給他的是非。
[00:02:46.000 --> 00:02:57.000]  比方說,你怎麼樣教小孩子?你上一代是有什麼冤仇,神要刑罰你。
[00:02:57.000 --> 00:03:07.000]  約伯經過的苦難,大家都曉得,出於上帝的手,是一個神旨意,容許禮煞進行。
[00:03:07.000 --> 00:03:16.000]  但是往後約伯走過的道路,竟然就給他三個最好的朋友來拒絕否定他。
[00:03:16.000 --> 00:03:28.000]  我剛才講過15章到21章,是三個約伯最好的朋友,第二次跟他談到苦難的一個記載。
[00:03:28.000 --> 00:03:40.000]  在當中,我用一個很粗略的方法,來把這三個人對約伯的否定記載下來。
[00:03:40.000 --> 00:03:54.000]  這三個人否定了,約伯是個義人,是無辜的受苦。
[00:03:54.000 --> 00:04:03.000]  伊利法批評約伯,說他是一個傲慢的人。
[00:04:03.000 --> 00:04:07.000]  約伯記得15章17到18節。
[00:04:07.000 --> 00:04:17.000]  伊利法說,你為什麼不聽?這是智慧人從列祖所受,傳說不隱瞞的事呢?
[00:04:17.000 --> 00:04:28.000]  我覺得受苦已經困難了,還要加上別人對他的攻擊,說約伯是一個傲慢無禮的人。
[00:04:28.000 --> 00:04:33.000]  過去智慧的人所教導的事情,難道沒有聽過嗎?
[00:04:33.000 --> 00:04:37.000]  為什麼不肯動聽?
[00:04:37.000 --> 00:04:48.000]  比利達他上座約伯這樣說,這個叫做罪有應得。
[00:04:48.000 --> 00:04:54.000]  所以否定了約伯申訴的權利。
[00:04:54.000 --> 00:05:06.000]  約伯這樣說,神用泥巴攔住了我的道路,使我不得經過,又使我的路徑黑暗。
[00:05:06.000 --> 00:05:12.000]  約伯復仇卻沒有一個公斷。
[00:05:12.000 --> 00:05:16.000]  這個是約伯的心情。
[00:05:16.000 --> 00:05:20.000]  一方面約伯曉得痛苦出於神,
[00:05:20.000 --> 00:05:28.000]  另外一方面約伯就只有在神的面前尋求他所賜予他的公義。
[00:05:28.000 --> 00:05:41.000]  索伐他這樣子對約伯說,約伯啊,你就是一個罪人,可以接受罪的刑罰嗎?
[00:05:41.000 --> 00:05:48.000]  在這三個否定的裡面,否定了約伯是一個義人,
[00:05:48.000 --> 00:05:53.000]  否定了約伯有向神尋求的權利,
[00:05:53.000 --> 00:05:57.000]  也否定了約伯與神的關係。
[00:05:57.000 --> 00:06:02.000]  你覺得痛苦嗎?
[00:06:02.000 --> 00:06:08.000]  我不知道是不是中國的社會,但是我相信所有世界的社會裡面,
[00:06:08.000 --> 00:06:12.000]  當一個人落在一個危難的裡面,
[00:06:12.000 --> 00:06:23.000]  總有一群人起來,會加上了他們覺得是上帝給他們的聲音。
[00:06:23.000 --> 00:06:34.000]  最近中國有水災,有地震,我們都找出一些原因來的。
[00:06:34.000 --> 00:06:46.000]  但是我們這個人生所經歷的事情,是否真的落在這個範圍裡面?
[00:06:46.000 --> 00:06:54.000]  在約伯所經歷的裡面,人容易犯上的錯誤有三個。
[00:06:54.000 --> 00:07:03.000]  就是人容易定一個不喜歡的人的罪,同意嗎?
[00:07:03.000 --> 00:07:06.000]  我們喜歡的人呢,我們就不會定他的罪。
[00:07:06.000 --> 00:07:12.000]  你小為不喜歡呢,這個人在你面前受的這個說話就多了,對不對?
[00:07:12.000 --> 00:07:18.000]  一個你喜歡的人你就說,沒有關係的,我幫你陪過你走過這個道路。
[00:07:18.000 --> 00:07:22.000]  你不喜歡的人呢,你在背後就說,應該的。
