
[00:00:00.000 --> 00:00:03.580]  讓我們一同同心低頭禱告
[00:00:03.580 --> 00:00:04.780]  慈悲的天父多謝祢
[00:00:04.780 --> 00:00:08.480]  讓我們在今天裏面一同再次去敬拜
[00:00:08.480 --> 00:00:10.400]  一同去侍奉祢
[00:00:10.400 --> 00:00:12.820]  讓我們能夠在祢的說話當中
[00:00:12.820 --> 00:00:15.440]  能夠抓緊主祢的應許
[00:00:15.440 --> 00:00:17.480]  也從祢的啟示當中
[00:00:17.480 --> 00:00:20.760]  讓我們更明白上帝的心思意念
[00:00:20.760 --> 00:00:22.240]  求祢與我們同在
[00:00:22.240 --> 00:00:24.180]  讓我們每一個弟兄姊妹
[00:00:24.180 --> 00:00:28.120]  都能夠有一個隨著聖靈引導的生命
[00:00:28.120 --> 00:00:30.660]  能夠去明白主因
[00:00:30.660 --> 00:00:34.320]  並且緊隨主祢的腳步而行
[00:00:34.320 --> 00:00:35.820]  求祢的幫助
[00:00:35.820 --> 00:00:36.820]  Amen
[00:00:36.820 --> 00:00:39.540]  好 從今個主日裏面
[00:00:39.540 --> 00:00:41.940]  我們很高興能夠再次
[00:00:41.940 --> 00:00:44.280]  能夠去到學習主的說話
[00:00:44.280 --> 00:00:46.420]  也都是很興奮的
[00:00:46.420 --> 00:00:47.660]  可以跟大家這樣說
[00:00:47.660 --> 00:00:51.420]  我們今天會開始一卷全新的書卷
[00:00:51.420 --> 00:00:54.600]  這卷書卷在新約聖經裏面
[00:00:54.600 --> 00:00:58.520]  是我們非常容易接觸的第一卷書卷
[00:00:58.520 --> 00:01:00.180]  就是《馬太福音》
[00:01:00.180 --> 00:01:02.100]  我會用好一段時間
[00:01:02.100 --> 00:01:04.760]  和大家一起仔細去看看
[00:01:04.760 --> 00:01:07.400]  《馬太福音》裏面的教導
[00:01:07.400 --> 00:01:12.080]  也從這卷書卷裏面
[00:01:12.080 --> 00:01:15.400]  讓我們能夠更明白主的心思意念
[00:01:15.400 --> 00:01:18.000]  我相信作為一個基督徒
[00:01:18.000 --> 00:01:19.760]  我們一定會明白到
[00:01:19.760 --> 00:01:21.960]  在聖經裏面
[00:01:21.960 --> 00:01:27.680]  總共有《舊約聖經》和《新約聖經》兩個部份
[00:01:27.680 --> 00:01:31.840]  但是不知道大家有沒有同時間去留意到
[00:01:31.840 --> 00:01:34.040]  這兩卷其實在裏面
[00:01:34.040 --> 00:01:38.280]  都有很多類似的內容和結構
[00:01:38.280 --> 00:01:42.640]  是值得我們去仔細去掌握
[00:01:42.640 --> 00:01:46.080]  和去明白上帝的心意
[00:01:46.080 --> 00:01:51.640]  而如果用一個比較神學性的描述的話
[00:01:51.640 --> 00:01:56.640]  就是我們研究到究竟兩約之間的關係
[00:01:56.640 --> 00:01:59.840]  這個正正就是我在這麼多年
[00:01:59.840 --> 00:02:04.760]  去研讀聖經裏面一個最核心的問題
[00:02:04.760 --> 00:02:11.360]  就是《舊約》怎樣在《新約聖經》裏面的運用和意義
[00:02:11.360 --> 00:02:17.480]  從這個主要開始我們會去看的這個《馬太福音》
[00:02:17.480 --> 00:02:21.600]  亦都我會同時去輕輕地介紹一下
[00:02:21.600 --> 00:02:27.040]  這個所謂《舊約》和《新約》兩者之間的關係
[00:02:27.040 --> 00:02:28.840]  亦都從而去看下
[00:02:28.840 --> 00:02:31.040]  在《新約聖經》裏面
[00:02:31.040 --> 00:02:37.000]  怎樣和《舊約》的啟示能夠打成一脈相通
[00:02:37.000 --> 00:02:42.840]  這個亦都正正是我希望在這個《馬太福音》的
[00:02:42.840 --> 00:02:46.080]  講讀裏面希望達成的目標
[00:02:46.080 --> 00:02:51.360]  今天我們會去看很短的一節的經文
[00:02:51.360 --> 00:02:56.400]  就是《馬太福音》的第一章的第一節
[00:02:56.400 --> 00:03:03.720]  「阿伯拉罕的後裔,大衛的子孫,耶穌基督的家譜」
[00:03:03.720 --> 00:03:04.920]  我們再讀多一次
[00:03:04.920 --> 00:03:13.360]  「阿伯拉罕的後裔,大衛的子孫,耶穌基督的家譜」
[00:03:13.360 --> 00:03:17.720]  這節《聖經》是非常短的一節的經文
[00:03:17.720 --> 00:03:21.840]  但是已經是值得我們要花很多的時間
[00:03:21.840 --> 00:03:25.280]  去用英文「unpack」去解說
[00:03:25.280 --> 00:03:29.120]  這一句《聖經》裏面所介紹的陳述
[00:03:29.120 --> 00:03:31.520]  其實在個人我自己講到的裏面
[00:03:31.520 --> 00:03:34.160]  解釋這個《馬太福音》的第一章
[00:03:34.160 --> 00:03:35.720]  其實都講過很多次
[00:03:35.720 --> 00:03:38.640]  但是總是想找一個機會
[00:03:38.640 --> 00:03:42.400]  很仔細地和弟兄姊妹去了解一下
[00:03:42.400 --> 00:03:48.000]  《馬太福音》整卷的福音書裏面的陳述
[00:03:48.000 --> 00:03:49.680]  和那個寫作結構
[00:03:49.680 --> 00:03:54.600]  以及和我們整本《聖經》的關係是怎樣的一回事
[00:03:54.600 --> 00:03:56.600]  終於我們來到今天
[00:03:56.600 --> 00:04:01.160]  我們可以仔細地開始去看看這個題目
