
[00:00:00.000 --> 00:00:01.800]  我們要向低頭禱告
[00:00:01.800 --> 00:00:05.500]  感謝天父今天早上
[00:00:05.500 --> 00:00:09.080]  讓我們再一次被你的愛吸引
[00:00:09.080 --> 00:00:12.420]  召集我們一同去敬拜你
[00:00:12.420 --> 00:00:14.920]  求主教導我們
[00:00:14.920 --> 00:00:17.000]  在我們每日生活中間
[00:00:17.000 --> 00:00:19.720]  不單止懂得如何敬畏你
[00:00:19.720 --> 00:00:22.360]  亦能夠了解如何歌頌讚美
[00:00:22.360 --> 00:00:25.000]  更讓我們懂得如何敬拜你
[00:00:25.000 --> 00:00:27.160]  因為你是一位永活者
[00:00:27.160 --> 00:00:30.140]  你常常看顧與我們同行同在
[00:00:30.140 --> 00:00:32.720]  今天早上求聖靈在我們中間
[00:00:32.720 --> 00:00:34.720]  賜福恩待
[00:00:34.720 --> 00:00:37.160]  讓我們眾人從你的話語裏面
[00:00:37.160 --> 00:00:40.120]  看到不單止你律法裏面的奇妙
[00:00:40.120 --> 00:00:42.920]  更看到你是眷顧人的神
[00:00:42.920 --> 00:00:45.400]  我們這樣的禱告求你隨聽
[00:00:45.400 --> 00:00:47.240]  願我們口裏面的言語
[00:00:47.240 --> 00:00:49.880]  心裏的意念都能夠蒙你的願立
[00:00:49.880 --> 00:00:51.880]  奉耶穌名字祈求
[00:00:54.680 --> 00:00:59.520]  感謝神讓我們能夠在2024年
[00:00:59.520 --> 00:01:02.200]  今天是第三個星期主任
[00:01:02.200 --> 00:01:04.200]  我相信
[00:01:04.200 --> 00:01:08.160]  可能因為過去這幾年
[00:01:08.160 --> 00:01:10.520]  世界上的局勢的變化
[00:01:10.520 --> 00:01:13.680]  以及很多疫情的流行等等
[00:01:13.680 --> 00:01:17.080]  令到我們在世界上每日生活的時候
[00:01:17.080 --> 00:01:19.320]  我們期望的是好事
[00:01:19.320 --> 00:01:21.160]  但是結果出來的事情
[00:01:21.160 --> 00:01:25.280]  都令到我們很擔心、很沮喪
[00:01:25.280 --> 00:01:28.640]  不知道隨著倒數的時候
[00:01:28.640 --> 00:01:32.080]  你有沒有期望新一年又盼望
