
[00:00:00.000 --> 00:00:03.000]  好 弟兄姊妹 接下來是正道的時間
[00:00:03.000 --> 00:00:06.000]  今天很想跟大家去分享
[00:00:06.000 --> 00:00:09.000]  舊約裏面的一首詩篇
[00:00:09.000 --> 00:00:12.000]  是記載在詩篇的39篇
[00:00:12.000 --> 00:00:15.000]  那在開始分享之前
[00:00:15.000 --> 00:00:18.000]  我想先跟大家一起來誦讀
[00:00:18.000 --> 00:00:21.000]  這段的經文 今天給大家分享的題目是
[00:00:21.000 --> 00:00:24.000]  客履人生 我們先來
[00:00:24.000 --> 00:00:27.000]  一起來誦讀這段的經文 在詩篇
[00:00:27.000 --> 00:00:30.000]  39篇的4節到13節
[00:00:30.000 --> 00:00:33.000]  好 如果你
[00:00:33.000 --> 00:00:36.000]  手頭上有聖經呢 請你打開聖經
[00:00:36.000 --> 00:00:39.000]  如果沒有呢 你可以看我們的屏幕 我們一起來誦讀
[00:00:39.000 --> 00:00:42.000]  耶和華
[00:00:42.000 --> 00:00:45.000]  求你教我曉得
[00:00:45.000 --> 00:00:48.000]  我身之中我的壽數幾何
[00:00:48.000 --> 00:00:51.000]  教我知道我的生命不長
[00:00:51.000 --> 00:00:54.000]  你使我的年日載如手掌
[00:00:54.000 --> 00:00:57.000]  我一生的年歲 在你面前
[00:00:57.000 --> 00:01:00.000]  如同無有 個人最穩妥的時候
[00:01:00.000 --> 00:01:03.000]  真是全然虛幻
[00:01:03.000 --> 00:01:06.000]  世人行動時兮幻影
[00:01:06.000 --> 00:01:09.000]  他們忙亂 真是枉然
[00:01:09.000 --> 00:01:12.000]  積蓄財寶 不知將來
[00:01:12.000 --> 00:01:15.000]  有誰收取
[00:01:15.000 --> 00:01:18.000]  主啊 如今我等什麼呢
[00:01:18.000 --> 00:01:21.000]  我的指望在乎你
[00:01:21.000 --> 00:01:24.000]  救我脫離一切的過犯
[00:01:24.000 --> 00:01:27.000]  不要使我受愚頑人的羞辱
[00:01:27.000 --> 00:01:30.000]  因我所遭遇的是出於你
[00:01:30.000 --> 00:01:33.000]  我就默然不語
[00:01:33.000 --> 00:01:36.000]  求你把你的責罰從我身上免去
[00:01:36.000 --> 00:01:39.000]  因你手的責打
[00:01:39.000 --> 00:01:42.000]  我便消滅
[00:01:42.000 --> 00:01:45.000]  你因人的罪惡懲罰他的時候
[00:01:45.000 --> 00:01:48.000]  叫他的笑容消滅
[00:01:48.000 --> 00:01:51.000]  如今所有 世人真是虛幻
[00:01:51.000 --> 00:01:54.000]  耶和華 求你聽我的禱告
[00:01:54.000 --> 00:01:57.000]  留心聽我的呼求
[00:01:57.000 --> 00:02:00.000]  我流淚 求你不要靜默不無聲
[00:02:00.000 --> 00:02:03.000]  因爲我在你面前是客旅
[00:02:03.000 --> 00:02:06.000]  是寄居的 像我列祖一般
[00:02:06.000 --> 00:02:09.000]  求你寬容我
